date,time,invested_amount,etf_count,etf_details
2026-01-21,17:38:28,380.43,8,"[{""SYMBOL"": ""ALPHAETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 48.4}, {""SYMBOL"": ""MOCAPITAL"", ""USER_QTY"": 1, ""USER_AMOUNT"": 45.45}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWLOVOL"", ""USER_QTY"": 5, ""USER_AMOUNT"": 51.900000000000006}, {""SYMBOL"": ""BANKBETA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 60.65}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 43.08}, {""SYMBOL"": ""GROWWCAPM"", ""USER_QTY"": 9, ""USER_AMOUNT"": 85.95}, {""SYMBOL"": ""VAL30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 45.0}]"
2026-01-21,17:41:08,380.43,8,"[{""SYMBOL"": ""ALPHAETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 48.4}, {""SYMBOL"": ""MOCAPITAL"", ""USER_QTY"": 1, ""USER_AMOUNT"": 45.45}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWLOVOL"", ""USER_QTY"": 5, ""USER_AMOUNT"": 51.900000000000006}, {""SYMBOL"": ""BANKBETA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 60.65}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 43.08}, {""SYMBOL"": ""GROWWCAPM"", ""USER_QTY"": 9, ""USER_AMOUNT"": 85.95}, {""SYMBOL"": ""VAL30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 45.0}]"
2026-01-21,17:55:28,380.43,8,"[{""SYMBOL"": ""ALPHAETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 48.4}, {""SYMBOL"": ""MOCAPITAL"", ""USER_QTY"": 1, ""USER_AMOUNT"": 45.45}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWLOVOL"", ""USER_QTY"": 5, ""USER_AMOUNT"": 51.900000000000006}, {""SYMBOL"": ""BANKBETA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 60.65}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 43.08}, {""SYMBOL"": ""GROWWCAPM"", ""USER_QTY"": 9, ""USER_AMOUNT"": 85.95}, {""SYMBOL"": ""VAL30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 45.0}]"
2026-01-21,17:58:36,380.43,8,"[{""SYMBOL"": ""ALPHAETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 48.4}, {""SYMBOL"": ""MOCAPITAL"", ""USER_QTY"": 1, ""USER_AMOUNT"": 45.45}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWLOVOL"", ""USER_QTY"": 5, ""USER_AMOUNT"": 51.900000000000006}, {""SYMBOL"": ""BANKBETA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 60.65}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 43.08}, {""SYMBOL"": ""GROWWCAPM"", ""USER_QTY"": 9, ""USER_AMOUNT"": 85.95}, {""SYMBOL"": ""VAL30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 45.0}]"
2026-01-21,18:08:55,380.43,8,"[{""SYMBOL"": ""ALPHAETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 48.4}, {""SYMBOL"": ""MOCAPITAL"", ""USER_QTY"": 1, ""USER_AMOUNT"": 45.45}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWLOVOL"", ""USER_QTY"": 5, ""USER_AMOUNT"": 51.900000000000006}, {""SYMBOL"": ""BANKBETA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 60.65}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 43.08}, {""SYMBOL"": ""GROWWCAPM"", ""USER_QTY"": 9, ""USER_AMOUNT"": 85.95}, {""SYMBOL"": ""VAL30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 45.0}]"
2026-01-27,16:22:10,258.22,3,"[{""SYMBOL"": ""FINIETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 61.28}, {""SYMBOL"": ""LOWVOL1"", ""USER_QTY"": 6, ""USER_AMOUNT"": 126.53999999999999}, {""SYMBOL"": ""MASPTOP50"", ""USER_QTY"": 1, ""USER_AMOUNT"": 70.4}]"
