date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
14-10-2025,0,25295.4,49.35,52.7,28.4,16.2,8.6,5.15,2.95,82.8,118.05,162.55,208.7,256.3,28.4,16.2,8.6,5.15,2.95,82.8,118.05,162.55,208.7,256.3
15-10-2025,6,25221.5,179.25,74.8,145,114.7,89.8,71.3,53.45,94.35,116.95,140.35,168.1,207.5,145,114.7,89.8,71.3,53.45,94.35,116.95,140.35,168.1,207.5
16-10-2025,5,25408.9,138.1,67.25,106.35,78.55,56.55,37.15,26.6,85.6,109.75,137.85,179.2,207.5,106.35,78.55,56.55,37.15,26.6,85.6,109.75,137.85,179.2,207.5
17-10-2025,4,25561.25,95,87.2,70,49.6,33.8,22.6,14.9,111.9,141.45,177.65,216.3,259.95,70,49.6,33.8,22.6,14.9,111.9,141.45,177.65,216.3,259.95
20-10-2025,1,25907.45,76.2,45.25,50.3,32.2,19,11.65,7.7,71.25,101.3,139.25,181.65,227.25,50.3,32.2,19,11.65,7.7,71.25,101.3,139.25,181.65,227.25
23-10-2025,5,26037.95,154.15,104.4,125.85,100.7,79.75,61.8,46.9,125.6,151.2,178.65,211.8,244.85,125.85,100.7,79.75,61.8,46.9,125.6,151.2,178.65,211.8,244.85
24-10-2025,4,25868.2,173.25,69.15,142.05,113.3,89,67.95,50.5,86,106.7,131.55,160.7,195.7,142.05,113.3,89,67.95,50.5,86,106.7,131.55,160.7,195.7
27-10-2025,1,25873.8,117.75,51.9,89.55,65.55,46.25,33.1,23.3,71.3,96.3,130.3,166.1,205.55,89.55,65.55,46.25,33.1,23.3,71.3,96.3,130.3,166.1,205.55
28-10-2025,0,25991.95,81.2,60.95,54.7,36.5,24.15,14.25,8,86.65,116,148.5,192.5,238.85,54.7,36.5,24.15,14.25,8,86.65,116,148.5,192.5,238.85
29-10-2025,6,26020.15,201.8,114.8,173,146.95,126,102.65,86.75,135.4,158.65,184.25,216.2,246.95,173,146.95,126,102.65,86.75,135.4,158.65,184.25,216.2,246.95
30-10-2025,5,25972,177.6,97.85,149.85,124.1,102.85,81.55,66.6,115.05,141.25,166.75,201,232.2,149.85,124.1,102.85,81.55,66.6,115.05,141.25,166.75,201,232.2
31-10-2025,4,25844,124.85,102.9,98,78.05,60.25,46.55,35.05,129.2,158.5,190.55,226.25,266.35,98,78.05,60.25,46.55,35.05,129.2,158.5,190.55,226.25,266.35
03-11-2025,1,25673.9,141.25,56.9,111.25,85.15,63.15,48.3,35.7,77.45,103.25,131.9,164.25,201.75,111.25,85.15,63.15,48.3,35.7,77.45,103.25,131.9,164.25,201.75
04-11-2025,0,25781.1,54.85,77.9,36.4,23.35,14.7,9.5,6.1,109.15,147.05,189.05,232.95,279.1,36.4,23.35,14.7,9.5,6.1,109.15,147.05,189.05,232.95,279.1
06-11-2025,5,25644.55,153.6,103.8,125.8,100.95,79.65,61.75,47.6,125.8,149.25,181.4,213.3,250.25,125.8,100.95,79.65,61.75,47.6,125.8,149.25,181.4,213.3,250.25
07-11-2025,4,25364.35,132.2,78.6,105.55,81.9,63.2,48.3,36.9,100.25,130.85,161.2,197.75,233.9,105.55,81.9,63.2,48.3,36.9,100.25,130.85,161.2,197.75,233.9
10-11-2025,1,25557.25,104.15,54.05,76.05,52.25,34.85,22.5,14.5,73,101.5,131.4,170.05,213.85,76.05,52.25,34.85,22.5,14.5,73,101.5,131.4,170.05,213.85
11-11-2025,0,25583.25,70.05,45.25,43.15,24.3,13.15,6.3,3.15,66.5,97.4,135.95,179.2,226.8,43.15,24.3,13.15,6.3,3.15,66.5,97.4,135.95,179.2,226.8
12-11-2025,6,25817.45,201.8,95.9,169.85,139.7,117.75,93.8,75.15,115.6,138,161.9,191.4,220.55,169.85,139.7,117.75,93.8,75.15,115.6,138,161.9,191.4,220.55
13-11-2025,5,25846.2,132.1,116.8,108.6,87,67.2,52.4,40.1,140.55,168.4,200,234.45,271,108.6,87,67.2,52.4,40.1,140.55,168.4,200,234.45,271
14-11-2025,4,25784.45,164.7,109.15,136.25,111.55,89.1,72.05,56.75,131.5,158.2,188.85,219.1,255.75,136.25,111.55,89.1,72.05,56.75,131.5,158.2,188.85,219.1,255.75
17-11-2025,1,25924.25,116.15,63.6,90.25,66.25,47.3,33.7,23.1,82.4,109.55,145.1,180.85,219.25,90.25,66.25,47.3,33.7,23.1,82.4,109.55,145.1,180.85,219.25
18-11-2025,0,25942.7,52.6,66.2,33.65,21.55,12.55,7.1,4.3,99.55,133.6,177.5,224,270,33.65,21.55,12.55,7.1,4.3,99.55,133.6,177.5,224,270
