date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
16-03-2026,1,23133,218.55,166.3,190,166.55,145.2,119,102.25,189.9,210.75,234,259.6,296.05,190,166.55,145.2,119,102.25,189.9,210.75,234,259.6,296.05
17-03-2026,0,23401.95,78,92.5,57.65,40.8,29,19.4,13.65,116.85,153.65,186.6,232.55,270.7,57.65,40.8,29,19.4,13.65,116.85,153.65,186.6,232.55,270.7
18-03-2026,6,23701.7,207.85,227.55,180.75,156.5,134.55,114.9,99.1,251.65,279.8,308.05,340.65,369,180.75,156.5,134.55,114.9,99.1,251.65,279.8,308.05,340.65,369
19-03-2026,5,23303.85,249.55,218.15,218.95,190.1,164.95,142.1,121.45,236.05,263.8,287.1,309.8,345.65,218.95,190.1,164.95,142.1,121.45,236.05,263.8,287.1,309.8,345.65
20-03-2026,4,23253.2,222,237.9,194.8,174.55,152.1,130.25,113.15,264.5,290.25,317.95,355.6,385.35,194.8,174.55,152.1,130.25,113.15,264.5,290.25,317.95,355.6,385.35
23-03-2026,1,22692.9,197.25,250.6,173.05,151.2,131.35,113.8,97.45,278.5,306.2,338.1,365.8,399.4,173.05,151.2,131.35,113.8,97.45,278.5,306.2,338.1,365.8,399.4
24-03-2026,0,22802.25,140.7,87.9,113.25,88.95,70.35,54.8,41.65,109.1,139.05,169.05,203.95,239.25,113.25,88.95,70.35,54.8,41.65,109.1,139.05,169.05,203.95,239.25
25-03-2026,6,23156.1,276.4,299,250.9,227.05,203.85,183.2,164,323.4,348.5,375.65,403.4,433.8,250.9,227.05,203.85,183.2,164,323.4,348.5,375.65,403.4,433.8
30-03-2026,1,22487.95,205.05,92.1,263,149.95,129.55,129,91.1,110.35,131.5,180.1,240,202.05,263,149.95,129.55,129,91.1,110.35,131.5,180.1,240,202.05
01-04-2026,6,22824.1,350.25,284.75,324.4,298.6,273.55,248.95,227.3,307.6,332.05,356.95,384.85,412.35,324.4,298.6,273.55,248.95,227.3,307.6,332.05,356.95,384.85,412.35
02-04-2026,5,22254.65,299.25,297.45,273.65,248.4,224.5,202.9,182.95,323.35,351,374.2,399.45,432.1,273.65,248.4,224.5,202.9,182.95,323.35,351,374.2,399.45,432.1
06-04-2026,1,22669.15,237.15,208.8,209.35,184.1,160.65,140.7,120.65,231.25,258.25,284.9,311,342.9,209.35,184.1,160.65,140.7,120.65,231.25,258.25,284.9,311,342.9
07-04-2026,0,22739.3,105.95,105.7,82.75,62.9,47.1,35.25,25.55,129.85,160.9,195.55,230.1,275.15,82.75,62.9,47.1,35.25,25.55,129.85,160.9,195.55,230.1,275.15
08-04-2026,6,23875.25,228.55,289.7,204,181.25,161.1,142.85,126.3,317.45,344.9,375.15,404.1,428.05,204,181.25,161.1,142.85,126.3,317.45,344.9,375.15,404.1,428.05
09-04-2026,5,23881.8,172,219.4,149.9,128.6,110.65,94.95,80,245.2,276.95,308,340.5,376.45,149.9,128.6,110.65,94.95,80,245.2,276.95,308,340.5,376.45
10-04-2026,4,23938.5,145.8,192.15,123.35,103.25,85.85,70.55,57.45,221.1,250.45,283.25,320.2,355.8,123.35,103.25,85.85,70.55,57.45,221.1,250.45,283.25,320.2,355.8
13-04-2026,1,23583.95,119.4,77.05,88.8,65.95,46.3,31.3,20.25,96.75,121.75,153,189,222.75,88.8,65.95,46.3,31.3,20.25,96.75,121.75,153,189,222.75
15-04-2026,6,24232,222.55,220,194.4,172,146.6,126.7,107.95,244.65,269.2,296.2,326.15,356.2,194.4,172,146.6,126.7,107.95,244.65,269.2,296.2,326.15,356.2
16-04-2026,5,24360.9,189.8,205.8,164.35,142.05,120.15,102.2,85,229.8,256.25,287.55,315,351.3,164.35,142.05,120.15,102.2,85,229.8,256.25,287.55,315,351.3
