date,time,invested_amount,etf_count,etf_details
2026-02-21,11:44:34,1420.89,2,"[{""SYMBOL"": ""ITIETF"", ""USER_QTY"": 21, ""USER_AMOUNT"": 742.35}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 3, ""USER_AMOUNT"": 678.54}]"
2026-02-22,15:14:16,1420.89,2,"[{""SYMBOL"": ""ITIETF"", ""USER_QTY"": 21, ""USER_AMOUNT"": 742.35}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 3, ""USER_AMOUNT"": 678.54}]"
2026-02-23,16:49:49,17779.69,4,"[{""SYMBOL"": ""ITBEES"", ""USER_QTY"": 34, ""USER_AMOUNT"": 1185.92}, {""SYMBOL"": ""NIFTY100EW"", ""USER_QTY"": 435, ""USER_AMOUNT"": 14998.8}, {""SYMBOL"": ""ELM250"", ""USER_QTY"": 53, ""USER_AMOUNT"": 863.37}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 10, ""USER_AMOUNT"": 731.5999999999999}]"
2026-02-23,16:54:23,14779.93,4,"[{""SYMBOL"": ""ITBEES"", ""USER_QTY"": 34, ""USER_AMOUNT"": 1185.92}, {""SYMBOL"": ""NIFTY100EW"", ""USER_QTY"": 348, ""USER_AMOUNT"": 11999.039999999999}, {""SYMBOL"": ""ELM250"", ""USER_QTY"": 53, ""USER_AMOUNT"": 863.37}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 10, ""USER_AMOUNT"": 731.5999999999999}]"
