date,time,invested_amount,etf_count,etf_details
2026-02-21,11:44:36,367.58,2,"[{""SYMBOL"": ""ITIETF"", ""USER_QTY"": 4, ""USER_AMOUNT"": 141.4}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 1, ""USER_AMOUNT"": 226.18}]"
2026-02-22,15:14:20,367.58,2,"[{""SYMBOL"": ""ITIETF"", ""USER_QTY"": 4, ""USER_AMOUNT"": 141.4}, {""SYMBOL"": ""MON100"", ""USER_QTY"": 1, ""USER_AMOUNT"": 226.18}]"
2026-02-23,16:49:52,3518.26,4,"[{""SYMBOL"": ""ITBEES"", ""USER_QTY"": 6, ""USER_AMOUNT"": 209.28000000000003}, {""SYMBOL"": ""NIFTY100EW"", ""USER_QTY"": 87, ""USER_AMOUNT"": 2999.7599999999998}, {""SYMBOL"": ""ELM250"", ""USER_QTY"": 10, ""USER_AMOUNT"": 162.89999999999998}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 146.32}]"
2026-02-23,16:54:27,2897.6200000000003,4,"[{""SYMBOL"": ""ITBEES"", ""USER_QTY"": 6, ""USER_AMOUNT"": 209.28000000000003}, {""SYMBOL"": ""NIFTY100EW"", ""USER_QTY"": 69, ""USER_AMOUNT"": 2379.12}, {""SYMBOL"": ""ELM250"", ""USER_QTY"": 10, ""USER_AMOUNT"": 162.89999999999998}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 146.32}]"
