id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,CHF,2021-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2021-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2021-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2021-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2021-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2021-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2021-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2021-01-03T00:00:00Z,None,,,,true,false
,Final Manufacturing PMI,JPY,2021-01-03T19:30:00Z,None,49.7,49.7,50.0,false,false
,RatingDog Manufacturing PMI,CNY,2021-01-03T20:45:00Z,None,54.7,54.9,53.0,false,false
,OPEC-JMMC Meetings,All,2021-01-04T00:00:00Z,High,,,,true,false
,Commodity Prices y/y,AUD,2021-01-04T00:30:00Z,None,,2.5%,11.7%,false,false
,Spanish Manufacturing PMI,EUR,2021-01-04T03:15:00Z,None,52.6,49.8,51.0,false,false
,Manufacturing PMI,CHF,2021-01-04T03:30:00Z,None,54.4,55.2,58.0,false,false
,Italian Manufacturing PMI,EUR,2021-01-04T03:45:00Z,None,53.5,51.5,52.8,false,false
,French Final Manufacturing PMI,EUR,2021-01-04T03:50:00Z,None,51.1,51.1,51.1,false,false
,German Final Manufacturing PMI,EUR,2021-01-04T03:55:00Z,None,58.6,58.6,58.3,false,false
,Final Manufacturing PMI,EUR,2021-01-04T04:00:00Z,None,55.5,55.5,55.2,false,false
,Final Manufacturing PMI,GBP,2021-01-04T04:30:00Z,None,57.3,57.3,57.5,false,false
,M4 Money Supply m/m,GBP,2021-01-04T04:30:00Z,None,0.4%,0.7%,0.8%,false,false
,Mortgage Approvals,GBP,2021-01-04T04:30:00Z,None,82K,98K,105K,false,false
,Net Lending to Individuals m/m,GBP,2021-01-04T04:30:00Z,None,3.0B,3.8B,4.1B,false,false
,Manufacturing PMI,CAD,2021-01-04T09:30:00Z,None,,55.8,57.9,false,false
,Final Manufacturing PMI,USD,2021-01-04T09:45:00Z,None,56.3,56.5,57.1,false,false
,FOMC Member Evans Speaks,USD,2021-01-04T10:00:00Z,None,,,,false,false
,FOMC Member Bostic Speaks,USD,2021-01-04T10:00:00Z,None,,,,false,false
,Construction Spending m/m,USD,2021-01-04T10:00:00Z,None,1.1%,1.6%,0.9%,false,false
,Monetary Base y/y,JPY,2021-01-04T18:50:00Z,None,18.0%,16.5%,18.3%,false,false
,ANZ Job Advertisements m/m,AUD,2021-01-04T19:30:00Z,None,,13.5%,9.2%,false,false
,OPEC-JMMC Meetings,All,2021-01-05T00:00:00Z,High,,,,true,false
,Omdia Total Vehicle Sales,USD,2021-01-05T00:00:00Z,None,15.8M,15.6M,16.3M,true,false
,German Retail Sales m/m,EUR,2021-01-05T02:00:00Z,None,-2.0%,2.6%,1.9%,false,false
,CPI m/m,CHF,2021-01-05T02:30:00Z,None,0.0%,-0.2%,-0.1%,false,false
,Spanish Unemployment Change,EUR,2021-01-05T03:00:00Z,None,30.5K,25.3K,36.8K,false,false
,German Unemployment Change,EUR,2021-01-05T03:55:00Z,None,10K,-40K,-37K,false,false
,Private Loans y/y,EUR,2021-01-05T04:00:00Z,None,3.3%,3.2%,3.1%,false,false
,M3 Money Supply y/y,EUR,2021-01-05T04:00:00Z,None,10.6%,10.5%,11.0%,false,false
,IPPI m/m,CAD,2021-01-05T08:30:00Z,None,-0.2%,-0.4%,-0.6%,false,false
,RMPI m/m,CAD,2021-01-05T08:30:00Z,None,0.9%,0.5%,0.6%,false,false
,GDT Price Index,NZD,2021-01-05T09:53:00Z,None,,1.3%,3.9%,false,false
,ISM Manufacturing Prices,USD,2021-01-05T10:00:00Z,None,66.0,65.4,77.6,false,false
,ISM Manufacturing PMI,USD,2021-01-05T10:00:00Z,None,56.6,57.5,60.7,false,false
,FOMC Member Evans Speaks,USD,2021-01-05T15:45:00Z,None,,,,false,false
,API Weekly Statistical Bulletin,USD,2021-01-05T16:30:00Z,None,,,,false,false
,BRC Shop Price Index y/y,GBP,2021-01-05T19:01:00Z,None,,-1.8%,-1.8%,false,false
,RatingDog Services PMI,CNY,2021-01-05T20:45:00Z,None,58.1,57.8,56.3,false,false
,10-y Bond Auction,JPY,2021-01-05T22:35:00Z,None,,0.02|3.4,0.02|3.4,false,false
,Consumer Confidence,JPY,2021-01-06T00:00:00Z,None,32.6,33.7,31.8,false,false
,Italian Bank Holiday,EUR,2021-01-06T00:00:00Z,None,,,,true,false
,German Prelim CPI m/m,EUR,2021-01-06T00:00:00Z,None,0.6%,-0.8%,0.5%,true,false
,French Prelim CPI m/m,EUR,2021-01-06T02:45:00Z,None,0.4%,0.2%,0.2%,false,false
,Spanish Services PMI,EUR,2021-01-06T03:15:00Z,None,44.5,39.5,48.0,false,false
,Italian Services PMI,EUR,2021-01-06T03:45:00Z,None,45.0,39.4,39.7,false,false
,French Final Services PMI,EUR,2021-01-06T03:50:00Z,None,49.2,49.2,49.1,false,false
,German Final Services PMI,EUR,2021-01-06T03:55:00Z,None,47.7,47.7,47.0,false,false
,Final Services PMI,EUR,2021-01-06T04:00:00Z,None,47.4,47.3,46.4,false,false
,Final Services PMI,GBP,2021-01-06T04:30:00Z,None,49.9,49.9,49.4,false,false
,PPI m/m,EUR,2021-01-06T05:00:00Z,None,0.2%,0.4%,0.4%,false,false
,10-y Bond Auction,GBP,2021-01-06T05:05:00Z,None,,0.43|2.7,0.33|2.9,false,false
,German 10-y Bond Auction,EUR,2021-01-06T05:36:00Z,None,,-0.57|2.0,-0.52|1.6,false,false
,ADP Non-Farm Employment Change,USD,2021-01-06T08:15:00Z,None,60K,304K,-123K,false,false
,BOE Gov Bailey Speaks,GBP,2021-01-06T09:30:00Z,High,,,,false,false
,Final Services PMI,USD,2021-01-06T09:45:00Z,None,55.2,55.3,54.8,false,false
,Factory Orders m/m,USD,2021-01-06T10:00:00Z,None,0.7%,1.3%,1.0%,false,false
,Crude Oil Inventories,USD,2021-01-06T10:30:00Z,None,-2.8M,-6.1M,-8.0M,false,false
,FOMC Meeting Minutes,USD,2021-01-06T14:00:00Z,High,,,,false,false
,Average Cash Earnings y/y,JPY,2021-01-06T18:30:00Z,None,-0.9%,-0.7%,-2.2%,false,false
,Building Approvals m/m,AUD,2021-01-06T19:30:00Z,None,1.9%,3.3%,2.6%,false,false
,Goods Trade Balance,AUD,2021-01-06T19:30:00Z,None,6.45B,6.58B,5.02B,false,false
,German Factory Orders m/m,EUR,2021-01-07T02:00:00Z,None,-0.6%,3.3%,2.3%,false,false
,Retail Sales y/y,CHF,2021-01-07T02:30:00Z,None,3.5%,4.3%,1.7%,false,false
,ECB Economic Bulletin,EUR,2021-01-07T04:00:00Z,None,,,,false,false
,Construction PMI,GBP,2021-01-07T04:30:00Z,None,54.6,54.7,54.6,false,false
,Housing Equity Withdrawal q/q,GBP,2021-01-07T04:32:00Z,None,-7.0B,-9.0B,-7.0B,false,false
,CPI Flash Estimate y/y,EUR,2021-01-07T05:00:00Z,None,-0.2%,-0.3%,-0.3%,false,false
,Italian Prelim CPI m/m,EUR,2021-01-07T05:00:00Z,None,0.2%,-0.1%,0.3%,false,false
,Retail Sales m/m,EUR,2021-01-07T05:00:00Z,None,-3.4%,1.4%,-6.1%,false,false
,Core CPI Flash Estimate y/y,EUR,2021-01-07T05:00:00Z,None,0.2%,0.2%,0.2%,false,false
,French 10-y Bond Auction,EUR,2021-01-07T05:04:00Z,None,,-0.26|2.1,-0.33|1.9,false,false
,Challenger Job Cuts y/y,USD,2021-01-07T07:30:00Z,None,,45.4%,134.5%,false,false
,Trade Balance,CAD,2021-01-07T08:30:00Z,None,-3.6B,-3.7B,-3.3B,false,false
,Unemployment Claims,USD,2021-01-07T08:30:00Z,None,798K,790K,787K,false,false
