id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,AUD,2022-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2022-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2022-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2022-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2022-01-03T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2022-01-03T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2022-01-03T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2022-01-03T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2022-01-03T00:00:00Z,None,,,,true,false
,Spanish Manufacturing PMI,EUR,2022-01-03T03:15:00Z,None,56.3,57.1,56.2,false,false
,Manufacturing PMI,CHF,2022-01-03T03:30:00Z,None,61.2,62.5,62.7,false,false
,Italian Manufacturing PMI,EUR,2022-01-03T03:45:00Z,None,61.6,62.8,62.0,false,false
,French Final Manufacturing PMI,EUR,2022-01-03T03:50:00Z,None,54.9,54.9,55.6,false,false
,German Final Manufacturing PMI,EUR,2022-01-03T03:55:00Z,None,57.9,57.9,57.4,false,false
,Final Manufacturing PMI,EUR,2022-01-03T04:00:00Z,None,58.0,58.0,58.0,false,false
,Final Manufacturing PMI,USD,2022-01-03T09:45:00Z,None,57.7,57.8,57.7,false,false
,Construction Spending m/m,USD,2022-01-03T10:00:00Z,None,0.8%,0.4%,0.4%,false,false
,BRC Shop Price Index y/y,GBP,2022-01-03T19:01:00Z,None,,0.3%,0.8%,false,false
,Final Manufacturing PMI,JPY,2022-01-03T19:30:00Z,None,54.3,54.2,54.3,false,false
,RatingDog Manufacturing PMI,CNY,2022-01-03T20:45:00Z,None,50.1,49.9,50.9,false,false
,Omdia Total Vehicle Sales,USD,2022-01-04T00:00:00Z,None,13.1M,12.9M,12.4M,true,false
,OPEC-JMMC Meetings,All,2022-01-04T00:00:00Z,High,,,,true,false
,Commodity Prices y/y,AUD,2022-01-04T00:30:00Z,None,,36.7%,25.7%,false,false
,German Retail Sales m/m,EUR,2022-01-04T02:00:00Z,None,-0.2%,0.5%,0.6%,false,false
,CPI m/m,CHF,2022-01-04T02:30:00Z,None,-0.1%,0.0%,-0.1%,false,false
,French Prelim CPI m/m,EUR,2022-01-04T02:45:00Z,None,0.3%,0.4%,0.2%,false,false
,Spanish Unemployment Change,EUR,2022-01-04T03:02:00Z,None,-32.5K,-74.4K,-76.8K,false,false
,German Unemployment Change,EUR,2022-01-04T03:55:00Z,None,-15K,-34K,-23K,false,false
,M4 Money Supply m/m,GBP,2022-01-04T04:30:00Z,None,0.5%,0.6%,0.7%,false,false
,Mortgage Approvals,GBP,2022-01-04T04:30:00Z,None,66K,67K,67K,false,false
,Final Manufacturing PMI,GBP,2022-01-04T04:30:00Z,None,57.6,57.6,57.9,false,false
,Net Lending to Individuals m/m,GBP,2022-01-04T04:32:00Z,None,3.9B,2.0B,4.9B,false,false
,RMPI m/m,CAD,2022-01-04T08:30:00Z,None,0.0%,4.8%,-1.0%,false,false
,IPPI m/m,CAD,2022-01-04T08:30:00Z,None,0.9%,1.3%,0.8%,false,false
,Manufacturing PMI,CAD,2022-01-04T09:30:00Z,None,,57.2,56.5,false,false
