id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,CHF,2008-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2008-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2008-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2008-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2008-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2008-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2008-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2008-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2008-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2008-01-01T00:00:00Z,None,,,,true,false
,AIG Manufacturing Index,AUD,2008-01-01T17:30:00Z,None,,53.8,57.6,false,false
,RatingDog Manufacturing PMI,CNY,2008-01-01T21:30:00Z,None,,52.8,53.3,false,false
,Bank Holiday,CHF,2008-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2008-01-02T00:00:00Z,None,,,,true,false
,Commodity Prices y/y,AUD,2008-01-02T00:30:00Z,None,,1.6%,1.8%,false,false
,Spanish Manufacturing PMI,EUR,2008-01-02T03:15:00Z,None,,50.7,49.5,false,false
,Italian Manufacturing PMI,EUR,2008-01-02T03:45:00Z,None,51.2,51.3,50.7,false,false
,Final Manufacturing PMI,EUR,2008-01-02T04:00:00Z,None,52.5,52.5,52.6,false,false
,Final Manufacturing PMI,GBP,2008-01-02T04:30:00Z,None,53.9,54.3,52.9,false,false
,German 10-y Bond Auction,EUR,2008-01-02T05:07:00Z,None,,4.19|2.0,4.35|1.2,false,false
,ISM Manufacturing PMI,USD,2008-01-02T10:00:00Z,High,50.7,50.8,47.7,false,false
,Construction Spending m/m,USD,2008-01-02T10:00:00Z,None,-0.4%,-0.4%,0.1%,false,false
,ISM Manufacturing Prices,USD,2008-01-02T10:00:00Z,None,65.0,67.5,68.0,false,false
,FOMC Meeting Minutes,USD,2008-01-02T14:00:00Z,High,,,,false,false
,Non-Manufacturing PMI,CNY,2008-01-02T20:00:00Z,None,,54.1,58.8,false,false
,Total Vehicle Sales,USD,2008-01-03T00:00:00Z,None,16.0M,16.2M,16.2M,true,false
,Spanish Unemployment Change,EUR,2008-01-03T03:00:00Z,None,,45.9K,35.1K,false,false
,Manufacturing PMI,CHF,2008-01-03T03:30:00Z,None,61.5,63.4,61.3,false,false
,German Unemployment Change,EUR,2008-01-03T03:55:00Z,None,-69K,-52K,-70K,false,false
,M3 Money Supply y/y,EUR,2008-01-03T04:00:00Z,None,12.3%,12.3%,12.3%,false,false
,Private Loans y/y,EUR,2008-01-03T04:00:00Z,None,11.2%,11.2%,11.0%,false,false
,BOE Credit Conditions Survey,GBP,2008-01-03T04:30:00Z,None,,,,false,false
,Construction PMI,GBP,2008-01-03T04:30:00Z,None,53.8,54.3,56.0,false,false
,French 10-y Bond Auction,EUR,2008-01-03T05:02:00Z,None,,4.25|2.9,4.31|2.5,false,false
