id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,German Bank Holiday,EUR,2019-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2019-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2019-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2019-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2019-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2019-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2019-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2019-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2019-01-01T00:00:00Z,None,,,,true,false
,RatingDog Manufacturing PMI,CNY,2019-01-01T20:45:00Z,None,50.1,50.2,49.7,false,false
,Bank Holiday,CHF,2019-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2019-01-02T00:00:00Z,None,,,,true,false
,Commodity Prices y/y,AUD,2019-01-02T00:30:00Z,None,,13.4%,10.5%,false,false
,Spanish Manufacturing PMI,EUR,2019-01-02T03:15:00Z,None,52.4,52.6,51.1,false,false
,Italian Manufacturing PMI,EUR,2019-01-02T03:45:00Z,None,48.5,48.6,49.2,false,false
,French Final Manufacturing PMI,EUR,2019-01-02T03:50:00Z,None,49.7,49.7,49.7,false,false
,German Final Manufacturing PMI,EUR,2019-01-02T03:55:00Z,None,51.5,51.5,51.5,false,false
,Final Manufacturing PMI,EUR,2019-01-02T04:00:00Z,None,51.4,51.4,51.4,false,false
,Final Manufacturing PMI,GBP,2019-01-02T04:30:00Z,None,52.5,53.6,54.2,false,false
,Manufacturing PMI,CAD,2019-01-02T09:30:00Z,None,,54.9,53.6,false,false
,Final Manufacturing PMI,USD,2019-01-02T09:45:00Z,None,53.9,53.9,53.8,false,false
,GDT Price Index,NZD,2019-01-02T09:56:00Z,None,,1.7%,2.8%,false,false
,Omdia Total Vehicle Sales,USD,2019-01-03T00:00:00Z,None,17.2M,17.4M,17.5M,true,false
,Total Vehicle Sales,USD,2019-01-03T00:00:00Z,None,17.2M,17.5M,17.6M,true,false
,Spanish Unemployment Change,EUR,2019-01-03T03:00:00Z,None,-56.3K,-1.8K,-50.6K,false,false
,Manufacturing PMI,CHF,2019-01-03T03:30:00Z,None,57.0,57.7,57.8,false,false
,M3 Money Supply y/y,EUR,2019-01-03T04:00:00Z,None,3.8%,3.9%,3.7%,false,false
,Private Loans y/y,EUR,2019-01-03T04:07:00Z,None,3.3%,3.2%,3.3%,false,false
,Construction PMI,GBP,2019-01-03T04:30:00Z,None,52.9,53.4,52.8,false,false
