id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Italian Bank Holiday,EUR,2016-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2016-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2016-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2016-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2016-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2016-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2016-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2016-01-03T00:00:00Z,None,,,,true,false
,FOMC Member Fischer Speaks,USD,2016-01-03T13:15:00Z,None,,,,false,false
,AIG Manufacturing Index,AUD,2016-01-03T17:30:00Z,None,,52.5,51.9,false,false
,FOMC Member Mester Speaks,USD,2016-01-03T17:30:00Z,None,,,,false,false
,Final Manufacturing PMI,JPY,2016-01-03T20:35:00Z,None,52.5,52.5,52.6,false,false
,RatingDog Manufacturing PMI,CNY,2016-01-03T20:45:00Z,High,48.9,48.6,48.2,false,false
,German Prelim CPI m/m,EUR,2016-01-04T00:00:00Z,None,0.2%,0.1%,-0.1%,true,false
,Commodity Prices y/y,AUD,2016-01-04T00:30:00Z,None,,-21.8%,-23.3%,false,false
,Spanish Manufacturing PMI,EUR,2016-01-04T03:15:00Z,None,53.1,53.1,53.0,false,false
,Manufacturing PMI,CHF,2016-01-04T03:30:00Z,None,50.2,49.7,52.1,false,false
,Italian Manufacturing PMI,EUR,2016-01-04T03:45:00Z,None,54.9,54.9,55.6,false,false
,French Final Manufacturing PMI,EUR,2016-01-04T03:50:00Z,None,51.6,51.6,51.4,false,false
,German Final Manufacturing PMI,EUR,2016-01-04T03:55:00Z,None,53.0,53.0,53.2,false,false
,Final Manufacturing PMI,EUR,2016-01-04T04:00:00Z,None,53.1,53.1,53.2,false,false
,Final Manufacturing PMI,GBP,2016-01-04T04:30:00Z,High,52.8,52.5,51.9,false,false
,Net Lending to Individuals m/m,GBP,2016-01-04T04:30:00Z,None,4.9B,4.8B,5.3B,false,false
,M4 Money Supply m/m,GBP,2016-01-04T04:30:00Z,None,0.5%,0.6%,0.4%,false,false
,Mortgage Approvals,GBP,2016-01-04T04:30:00Z,None,70K,70K,70K,false,false
,Manufacturing PMI,CAD,2016-01-04T09:30:00Z,None,,48.6,47.5,false,false
,Final Manufacturing PMI,USD,2016-01-04T09:45:00Z,None,51.1,51.3,51.2,false,false
,ISM Manufacturing PMI,USD,2016-01-04T10:00:00Z,High,49.1,48.6,48.2,false,false
,Construction Spending m/m,USD,2016-01-04T10:00:00Z,None,0.7%,0.3%,-0.4%,false,false
,ISM Manufacturing Prices,USD,2016-01-04T10:00:00Z,None,36.5,35.5,33.5,false,false
,Monetary Base y/y,JPY,2016-01-04T18:50:00Z,None,33.2%,32.5%,29.5%,false,false
,10-y Bond Auction,JPY,2016-01-04T22:45:00Z,None,,0.32|3.6,0.25|3.3,false,false
,Omdia Total Vehicle Sales,USD,2016-01-05T00:00:00Z,None,18.0M,18.0M,17.2M,true,false
,Total Vehicle Sales,USD,2016-01-05T00:00:00Z,None,18.1M,18.2M,17.3M,true,false
,Spanish Unemployment Change,EUR,2016-01-05T03:00:00Z,None,-52.6K,-27.1K,-55.8K,false,false
,German Unemployment Change,EUR,2016-01-05T03:55:00Z,None,-7K,-14K,-14K,false,false
,Construction PMI,GBP,2016-01-05T04:30:00Z,High,56.1,55.3,57.8,false,false
,Core CPI Flash Estimate y/y,EUR,2016-01-05T05:00:00Z,None,1.0%,0.9%,0.9%,false,false
,CPI Flash Estimate y/y,EUR,2016-01-05T05:00:00Z,None,0.4%,0.2%,0.2%,false,false
,Italian Prelim CPI m/m,EUR,2016-01-05T05:00:00Z,None,0.1%,-0.4%,0.0%,false,false
,10-y Bond Auction,GBP,2016-01-05T05:33:00Z,None,,1.94|1.5,1.88|1.6,false,false
,RMPI m/m,CAD,2016-01-05T08:30:00Z,None,-2.3%,0.0%,-4.0%,false,false
