id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,NZD,2023-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2023-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2023-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,AUD,2023-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2023-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2023-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2023-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2023-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2023-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2023-01-02T00:00:00Z,None,,,,true,false
,Spanish Manufacturing PMI,EUR,2023-01-02T03:15:00Z,None,45.9,45.7,46.4,false,false
,Italian Manufacturing PMI,EUR,2023-01-02T03:45:00Z,None,48.5,48.4,48.5,false,false
,French Final Manufacturing PMI,EUR,2023-01-02T03:50:00Z,None,48.9,48.9,49.2,false,false
,German Final Manufacturing PMI,EUR,2023-01-02T03:55:00Z,None,47.4,47.4,47.1,false,false
,Final Manufacturing PMI,EUR,2023-01-02T04:00:00Z,None,47.8,47.8,47.8,false,false
,RatingDog Manufacturing PMI,CNY,2023-01-02T20:45:00Z,None,49.2,49.4,49.0,false,false
,German Prelim CPI m/m,EUR,2023-01-03T00:00:00Z,None,-0.6%,-0.5%,-0.8%,true,false
,Commodity Prices y/y,AUD,2023-01-03T00:30:00Z,None,,19.6%,15.6%,false,false
,Spanish Unemployment Change,EUR,2023-01-03T03:00:00Z,None,-40.3K,-33.5K,-43.7K,false,false
,Manufacturing PMI,CHF,2023-01-03T03:30:00Z,None,53.0,53.9,54.1,false,false
,German Unemployment Change,EUR,2023-01-03T03:55:00Z,None,15K,15K,-13K,false,false
,Final Manufacturing PMI,GBP,2023-01-03T04:30:00Z,None,44.7,44.7,45.3,false,false
,Manufacturing PMI,CAD,2023-01-03T09:30:00Z,None,,49.6,49.2,false,false
,GDT Price Index,NZD,2023-01-03T09:39:00Z,None,,-3.8%,-2.8%,false,false
,Final Manufacturing PMI,USD,2023-01-03T09:45:00Z,None,46.2,46.2,46.2,false,false
,Construction Spending m/m,USD,2023-01-03T10:00:00Z,None,-0.4%,-0.2%,0.2%,false,false
,BRC Shop Price Index y/y,GBP,2023-01-03T19:01:00Z,None,,7.4%,7.3%,false,false
,Final Manufacturing PMI,JPY,2023-01-03T19:30:00Z,None,48.8,48.8,48.9,false,false
,Omdia Total Vehicle Sales,USD,2023-01-04T00:00:00Z,None,13.4M,14.1M,13.3M,true,false
,German Import Prices m/m,EUR,2023-01-04T02:00:00Z,None,-1.7%,-1.2%,-4.5%,false,false
,CPI m/m,CHF,2023-01-04T02:30:00Z,High,-0.1%,0.0%,-0.2%,false,false
,French Prelim CPI m/m,EUR,2023-01-04T02:45:00Z,None,0.5%,0.3%,-0.1%,false,false
,Spanish Services PMI,EUR,2023-01-04T03:15:00Z,None,50.8,51.2,51.6,false,false
