id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,ISM Services PMI,USD,2017-01-05T10:00:00Z,High,56.6,57.2,57.2,false,false
,Natural Gas Storage,USD,2017-01-05T10:30:00Z,None,-97B,-237B,-49B,false,false
,Crude Oil Inventories,USD,2017-01-05T11:00:00Z,High,-1.8M,0.6M,-7.1M,false,false
,Average Cash Earnings y/y,JPY,2017-01-05T19:00:00Z,None,0.2%,0.1%,0.2%,false,false
,Goods Trade Balance,AUD,2017-01-05T19:30:00Z,None,-0.55B,-1.12B,1.24B,false,false
,Italian Bank Holiday,EUR,2017-01-06T00:00:00Z,None,,,,true,false
,German Factory Orders m/m,EUR,2017-01-06T02:00:00Z,None,-2.5%,5.0%,-2.5%,false,false
,German Retail Sales m/m,EUR,2017-01-06T02:00:00Z,None,-0.8%,2.5%,-1.8%,false,false
,French Trade Balance,EUR,2017-01-06T02:45:00Z,None,-4.8B,-5.2B,-4.4B,false,false
,Foreign Currency Reserves,CHF,2017-01-06T03:00:00Z,None,,648B,645B,false,false
,Retail Sales m/m,EUR,2017-01-06T05:00:00Z,None,-0.3%,1.4%,-0.4%,false,false
,Employment Change,CAD,2017-01-06T08:30:00Z,High,-5.1K,10.7K,53.7K,false,false
,Trade Balance,CAD,2017-01-06T08:30:00Z,High,-1.6B,-1.0B,0.5B,false,false
,Unemployment Rate,CAD,2017-01-06T08:30:00Z,High,6.9%,6.8%,6.9%,false,false
,Average Hourly Earnings m/m,USD,2017-01-06T08:30:00Z,High,0.3%,-0.1%,0.4%,false,false
,Non-Farm Employment Change,USD,2017-01-06T08:30:00Z,High,175K,204K,156K,false,false
,Unemployment Rate,USD,2017-01-06T08:30:00Z,High,4.7%,4.6%,4.7%,false,false
,Trade Balance,USD,2017-01-06T08:30:00Z,None,-42.2B,-42.4B,-45.2B,false,false
,Ivey PMI,CAD,2017-01-06T10:00:00Z,None,56.0,56.8,60.8,false,false
,Factory Orders m/m,USD,2017-01-06T10:00:00Z,None,-2.1%,2.8%,-2.4%,false,false
,FOMC Member Evans Speaks,USD,2017-01-06T12:15:00Z,None,,,,false,false
,Bank Holiday,JPY,2017-01-08T00:00:00Z,None,,,,true,false
,AIG Construction Index,AUD,2017-01-08T17:30:00Z,None,,46.6,47.0,false,false
,Building Approvals m/m,AUD,2017-01-08T19:30:00Z,None,4.6%,-11.8%,7.0%,false,false
,ANZ Job Advertisements m/m,AUD,2017-01-08T19:30:00Z,None,,1.6%,-1.9%,false,false
