id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,CHF,2007-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2007-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2007-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2007-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2007-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2007-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2007-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2007-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2007-01-01T00:00:00Z,None,,,,true,false
,AIG Manufacturing Index,AUD,2007-01-01T17:30:00Z,None,,54.4,52.4,false,false
,Bank Holiday,CNY,2007-01-01T19:00:00Z,None,,,,false,false
,RatingDog Manufacturing PMI,CNY,2007-01-01T21:30:00Z,None,,53.0,52.4,false,false
,Bank Holiday,CHF,2007-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2007-01-02T00:00:00Z,None,,,,true,false
,Commodity Prices y/y,AUD,2007-01-02T00:30:00Z,None,,13.9%,11.0%,false,false
,Spanish Manufacturing PMI,EUR,2007-01-02T03:15:00Z,None,,56.1,57.2,false,false
,Italian Manufacturing PMI,EUR,2007-01-02T03:45:00Z,None,55.5,54.8,55.0,false,false
,Final Manufacturing PMI,EUR,2007-01-02T04:00:00Z,None,56.5,56.6,56.5,false,false
,Final Manufacturing PMI,GBP,2007-01-02T04:30:00Z,None,53.0,52.5,51.9,false,false
,Total Vehicle Sales,USD,2007-01-03T00:00:00Z,None,16.5M,16.1M,16.7M,true,false
,Spanish Unemployment Change,EUR,2007-01-03T03:00:00Z,None,,30.3K,-0.3K,false,false
,Manufacturing PMI,CHF,2007-01-03T03:30:00Z,None,66.0,67.0,65.0,false,false
,German Unemployment Change,EUR,2007-01-03T03:55:00Z,None,-110K,-90K,-96K,false,false
,Construction PMI,GBP,2007-01-03T04:30:00Z,None,54.5,54.8,57.5,false,false
,German 10-y Bond Auction,EUR,2007-01-03T05:09:00Z,None,,3.72|1.6,3.94|1.8,false,false
,ADP Non-Farm Employment Change,USD,2007-01-03T08:15:00Z,None,120K,230K,-40K,false,false
,ISM Manufacturing PMI,USD,2007-01-03T10:00:00Z,High,51.0,49.5,51.4,false,false
,Construction Spending m/m,USD,2007-01-03T10:00:00Z,None,-0.6%,-1.0%,-0.2%,false,false
,ISM Manufacturing Prices,USD,2007-01-03T10:00:00Z,None,54.0,53.5,47.5,false,false
,FOMC Meeting Minutes,USD,2007-01-03T14:00:00Z,High,,,,false,false
,Trade Balance,NZD,2007-01-03T16:45:00Z,High,-976M,-1174M,-785M,false,false
,AIG Services Index,AUD,2007-01-03T17:30:00Z,None,,48.5,49.5,false,false
,CPI m/m,CHF,2007-01-04T01:45:00Z,High,0.1%,0.0%,0.0%,false,false
,Spanish Services PMI,EUR,2007-01-04T03:15:00Z,None,,60.4,58.1,false,false
,Italian Services PMI,EUR,2007-01-04T03:45:00Z,None,56.2,56.2,55.0,false,false
,Final Services PMI,EUR,2007-01-04T04:00:00Z,None,57.5,57.6,57.2,false,false
,Final Services PMI,GBP,2007-01-04T04:30:00Z,None,60.0,59.8,60.6,false,false
,Mortgage Approvals,GBP,2007-01-04T04:30:00Z,None,120K,128K,129K,false,false
,Net Lending to Individuals m/m,GBP,2007-01-04T04:30:00Z,None,11.0B,10.8B,10.9B,false,false
,French 10-y Bond Auction,EUR,2007-01-04T04:55:00Z,None,,3.74|2.4,3.97|2.4,false,false
,CPI Flash Estimate y/y,EUR,2007-01-04T05:00:00Z,None,1.9%,1.9%,1.9%,false,false
,Italian Prelim CPI m/m,EUR,2007-01-04T05:00:00Z,None,0.1%,0.2%,0.1%,false,false
