id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,CHF,2009-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2009-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2009-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2009-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2009-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2009-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2009-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2009-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2009-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2009-01-01T00:00:00Z,None,,,,true,false
,AIG Manufacturing Index,AUD,2009-01-01T17:30:00Z,None,,32.7,33.7,false,false
,RatingDog Manufacturing PMI,CNY,2009-01-01T21:30:00Z,None,,40.9,41.2,false,false
,Bank Holiday,CHF,2009-01-02T00:00:00Z,None,,,,true,false
,Commodity Prices y/y,AUD,2009-01-02T00:30:00Z,None,,37.1%,34.3%,false,false
,Spanish Manufacturing PMI,EUR,2009-01-02T03:15:00Z,None,,29.4,28.5,false,false
,Italian Manufacturing PMI,EUR,2009-01-02T03:45:00Z,None,33.9,34.9,35.5,false,false
,French Final Manufacturing PMI,EUR,2009-01-02T03:50:00Z,None,35.8,35.9,34.9,false,false
,German Final Manufacturing PMI,EUR,2009-01-02T03:55:00Z,None,33.4,33.5,32.7,false,false
,Final Manufacturing PMI,EUR,2009-01-02T04:00:00Z,None,34.5,34.5,33.9,false,false
,Final Manufacturing PMI,GBP,2009-01-02T04:30:00Z,High,33.5,34.5,34.9,false,false
,BOE Credit Conditions Survey,GBP,2009-01-02T04:30:00Z,None,,,,false,false
,Net Lending to Individuals m/m,GBP,2009-01-02T04:30:00Z,None,1.1B,1.2B,1.5B,false,false
,Mortgage Approvals,GBP,2009-01-02T04:30:00Z,None,33K,31K,27K,false,false
,Lloyds HPI m/m,GBP,2009-01-02T05:00:00Z,High,-1.6%,-2.7%,-2.2%,false,false
,ISM Manufacturing PMI,USD,2009-01-02T10:00:00Z,High,35.5,36.2,32.4,false,false
,ISM Manufacturing Prices,USD,2009-01-02T10:00:00Z,None,20.5,25.5,18.0,false,false
,Non-Manufacturing PMI,CNY,2009-01-02T20:00:00Z,None,,45.4,48.9,false,false
,FOMC Member Evans Speaks,USD,2009-01-03T17:30:00Z,None,,,,false,false
,FOMC Member Kroszner Speaks,USD,2009-01-03T17:30:00Z,None,,,,false,false
,Manufacturing PMI,CNY,2009-01-03T20:00:00Z,High,,38.8,41.2,false,false
,FOMC Member Yellen Speaks,USD,2009-01-04T13:15:00Z,None,,,,false,false
,FOMC Member Yellen Speaks,USD,2009-01-04T17:30:00Z,None,,,,false,false
,Total Vehicle Sales,USD,2009-01-05T00:00:00Z,None,10.0M,10.2M,10.3M,true,false
,Manufacturing PMI,CHF,2009-01-05T03:30:00Z,None,34.8,35.2,36.9,false,false
,Sentix Investor Confidence,EUR,2009-01-05T04:30:00Z,None,-44.0,-42.3,-34.4,false,false
,Construction PMI,GBP,2009-01-05T04:30:00Z,None,30.5,31.8,29.3,false,false
,Italian Prelim CPI m/m,EUR,2009-01-05T05:00:00Z,None,-0.2%,-0.4%,-0.1%,false,false
,Construction Spending m/m,USD,2009-01-05T10:00:00Z,None,-1.3%,-0.4%,-0.6%,false,false
,FOMC Member Yellen Speaks,USD,2009-01-05T13:15:00Z,None,,,,false,false
,AIG Services Index,AUD,2009-01-05T17:30:00Z,None,,37.8,39.3,false,false
,Monetary Base y/y,JPY,2009-01-05T18:50:00Z,None,1.8%,1.9%,1.8%,false,false
,Nationwide Consumer Confidence,GBP,2009-01-05T19:01:00Z,None,47,51,47,false,false
,Italian Bank Holiday,EUR,2009-01-06T00:00:00Z,None,,,,true,false
,Nationwide HPI m/m,GBP,2009-01-06T02:00:00Z,High,-1.5%,-0.4%,-2.5%,false,false
,Spanish Services PMI,EUR,2009-01-06T03:15:00Z,None,,28.2,32.1,false,false
,Italian Services PMI,EUR,2009-01-06T03:45:00Z,None,39.2,39.5,40.3,false,false
,French Final Services PMI,EUR,2009-01-06T03:50:00Z,None,41.6,41.6,40.6,false,false
,German Final Services PMI,EUR,2009-01-06T03:55:00Z,None,46.4,46.4,46.6,false,false
,Final Services PMI,EUR,2009-01-06T04:00:00Z,None,42.0,42.0,42.1,false,false
,Final Services PMI,GBP,2009-01-06T04:30:00Z,High,39.0,40.1,40.2,false,false
,CPI Flash Estimate y/y,EUR,2009-01-06T05:00:00Z,None,1.8%,2.1%,1.6%,false,false
,RMPI m/m,CAD,2009-01-06T08:30:00Z,None,-9.0%,-12.9%,-13.4%,false,false
,IPPI m/m,CAD,2009-01-06T08:30:00Z,None,-0.9%,-0.1%,-2.6%,false,false
,GDT Price Index,NZD,2009-01-06T08:30:00Z,None,,-13.8%,-8.6%,false,false
,ISM Services PMI,USD,2009-01-06T10:00:00Z,High,36.9,37.3,40.6,false,false
,Pending Home Sales m/m,USD,2009-01-06T10:00:00Z,High,-0.9%,-4.2%,-4.0%,false,false
