id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,CNY,2013-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2013-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2013-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2013-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2013-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2013-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2013-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2013-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2013-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2013-01-01T00:00:00Z,None,,,,true,false
,AIG Manufacturing Index,AUD,2013-01-01T17:30:00Z,None,,44.3,44.3,false,false
,Bank Holiday,CNY,2013-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2013-01-02T00:00:00Z,None,,,,true,false
,German Prelim CPI m/m,EUR,2013-01-02T00:00:00Z,None,0.7%,-0.1%,0.9%,true,false
,Bank Holiday,JPY,2013-01-02T00:00:00Z,None,,,,true,false
,Commodity Prices y/y,AUD,2013-01-02T00:30:00Z,None,,-10.3%,-8.0%,false,false
,Spanish Flash CPI y/y,EUR,2013-01-02T03:00:00Z,None,2.9%,2.9%,2.9%,false,false
,Spanish Manufacturing PMI,EUR,2013-01-02T03:15:00Z,None,44.9,45.3,44.6,false,false
,Italian Manufacturing PMI,EUR,2013-01-02T03:45:00Z,None,45.4,45.1,46.7,false,false
,French Final Manufacturing PMI,EUR,2013-01-02T03:50:00Z,None,44.6,44.6,44.6,false,false
,German Final Manufacturing PMI,EUR,2013-01-02T03:55:00Z,None,46.3,46.3,46.0,false,false
,Final Manufacturing PMI,EUR,2013-01-02T04:00:00Z,None,46.3,46.3,46.1,false,false
,Final Manufacturing PMI,GBP,2013-01-02T04:30:00Z,High,49.2,49.2,51.4,false,false
,GDT Price Index,NZD,2013-01-02T08:30:00Z,None,,0.3%,1.6%,false,false
,Final Manufacturing PMI,USD,2013-01-02T09:00:00Z,None,53.2,54.2,54.0,false,false
,Manufacturing PMI,CAD,2013-01-02T09:30:00Z,None,,50.4,50.4,false,false
,ISM Manufacturing PMI,USD,2013-01-02T10:00:00Z,High,50.2,49.5,50.7,false,false
,Construction Spending m/m,USD,2013-01-02T10:00:00Z,None,0.6%,0.7%,-0.3%,false,false
,ISM Manufacturing Prices,USD,2013-01-02T10:00:00Z,None,51.4,52.5,55.5,false,false
,Non-Manufacturing PMI,CNY,2013-01-02T20:00:00Z,None,,55.6,56.1,false,false
,Total Vehicle Sales,USD,2013-01-03T00:00:00Z,None,15.3M,15.5M,15.4M,true,false
,Nationwide HPI m/m,GBP,2013-01-03T02:00:00Z,None,0.1%,0.0%,-0.1%,false,false
,KOF Economic Barometer,CHF,2013-01-03T03:00:00Z,None,1.39,1.50,1.28,false,false
,Spanish Unemployment Change,EUR,2013-01-03T03:00:00Z,None,50.3K,74.3K,-59.1K,false,false
,Manufacturing PMI,CHF,2013-01-03T03:30:00Z,None,48.7,48.5,49.5,false,false
,German Unemployment Change,EUR,2013-01-03T03:55:00Z,None,11K,5K,3K,false,false
,M3 Money Supply y/y,EUR,2013-01-03T04:00:00Z,None,3.8%,3.9%,3.8%,false,false
,Private Loans y/y,EUR,2013-01-03T04:00:00Z,None,-0.5%,-0.8%,-0.8%,false,false
,Construction PMI,GBP,2013-01-03T04:30:00Z,High,49.6,49.3,48.7,false,false
,BOE Credit Conditions Survey,GBP,2013-01-03T04:30:00Z,None,,,,false,false
,French 10-y Bond Auction,EUR,2013-01-03T05:00:00Z,None,,2.22|2.0,2.07|1.7,false,false
,Challenger Job Cuts y/y,USD,2013-01-03T07:30:00Z,None,,34.4%,-22.1%,false,false
,ADP Non-Farm Employment Change,USD,2013-01-03T08:15:00Z,High,134K,148K,215K,false,false
,Unemployment Claims,USD,2013-01-03T08:30:00Z,High,356K,362K,372K,false,false
,FOMC Meeting Minutes,USD,2013-01-03T14:00:00Z,High,,,,false,false
,AIG Services Index,AUD,2013-01-03T17:30:00Z,None,,47.1,43.2,false,false
,RatingDog Services PMI,CNY,2013-01-03T20:45:00Z,None,,52.1,51.7,false,false
,German Retail Sales m/m,EUR,2013-01-04T02:00:00Z,None,0.9%,-1.3%,1.2%,false,false
,Spanish Services PMI,EUR,2013-01-04T03:15:00Z,None,42.7,42.4,44.3,false,false
,Italian Services PMI,EUR,2013-01-04T03:45:00Z,None,45.1,44.6,45.6,false,false
,French Final Services PMI,EUR,2013-01-04T03:50:00Z,None,46.0,46.0,45.2,false,false
,German Final Services PMI,EUR,2013-01-04T03:55:00Z,None,52.1,52.1,52.0,false,false
,Final Services PMI,EUR,2013-01-04T04:00:00Z,None,47.8,47.8,47.8,false,false
,Mortgage Approvals,GBP,2013-01-04T04:30:00Z,None,54K,53K,54K,false,false
,M4 Money Supply m/m,GBP,2013-01-04T04:30:00Z,None,0.3%,0.2%,-0.2%,false,false
,Net Lending to Individuals m/m,GBP,2013-01-04T04:30:00Z,None,0.4B,-0.2B,-0.1B,false,false
,Final Services PMI,GBP,2013-01-04T04:30:00Z,High,50.4,50.2,48.9,false,false
,Italian Prelim CPI m/m,EUR,2013-01-04T05:00:00Z,None,0.2%,-0.2%,0.3%,false,false
,CPI Flash Estimate y/y,EUR,2013-01-04T05:00:00Z,None,2.1%,2.2%,2.2%,false,false
,Employment Change,CAD,2013-01-04T08:30:00Z,High,4.0K,59.3K,39.8K,false,false
,Unemployment Rate,CAD,2013-01-04T08:30:00Z,High,7.3%,7.2%,7.1%,false,false
,RMPI m/m,CAD,2013-01-04T08:30:00Z,None,-0.9%,0.1%,-1.9%,false,false
,IPPI m/m,CAD,2013-01-04T08:30:00Z,None,-0.2%,-0.1%,-0.3%,false,false
,Non-Farm Employment Change,USD,2013-01-04T08:30:00Z,High,150K,161K,155K,false,false
,Unemployment Rate,USD,2013-01-04T08:30:00Z,High,7.7%,7.7%,7.8%,false,false
,Average Hourly Earnings m/m,USD,2013-01-04T08:30:00Z,None,0.2%,0.3%,0.3%,false,false
,ISM Services PMI,USD,2013-01-04T10:00:00Z,High,54.2,54.7,56.1,false,false
,Factory Orders m/m,USD,2013-01-04T10:00:00Z,None,0.3%,0.8%,0.0%,false,false
,Natural Gas Storage,USD,2013-01-04T10:30:00Z,None,-129B,-72B,-135B,false,false
,Crude Oil Inventories,USD,2013-01-04T11:00:00Z,None,-0.7M,-0.6M,-11.1M,false,false
,FOMC Member Yellen Speaks,USD,2013-01-04T15:30:00Z,None,,,,false,false
,FOMC Member Yellen Speaks,USD,2013-01-05T10:15:00Z,None,,,,false,false
,Monetary Base y/y,JPY,2013-01-06T18:50:00Z,None,5.3%,5.0%,11.8%,false,false
,Foreign Currency Reserves,CHF,2013-01-07T03:00:00Z,High,,427B,427B,false,false
,Lloyds HPI m/m,GBP,2013-01-07T03:00:00Z,None,0.2%,1.6%,1.3%,false,false
,Sentix Investor Confidence,EUR,2013-01-07T04:30:00Z,None,-13.7,-16.8,-7.0,false,false
,PPI m/m,EUR,2013-01-07T05:00:00Z,None,-0.1%,0.1%,-0.2%,false,false
,Ivey PMI,CAD,2013-01-07T10:00:00Z,High,51.3,47.5,52.8,false,false
,AIG Construction Index,AUD,2013-01-07T17:30:00Z,None,,37.0,38.8,false,false
,BRC Retail Sales Monitor y/y,GBP,2013-01-07T19:00:00Z,None,,0.4%,0.3%,false,false
,Goods Trade Balance,AUD,2013-01-07T19:30:00Z,High,-2.21B,-2.44B,-2.64B,false,false
,10-y Bond Auction,JPY,2013-01-07T22:45:00Z,None,,0.73|3.8,0.82|3.6,false,false
,Unemployment Rate,CHF,2013-01-08T01:45:00Z,None,3.0%,3.0%,3.0%,false,false
,German Trade Balance,EUR,2013-01-08T02:00:00Z,None,15.4B,14.9B,14.6B,false,false
,French Trade Balance,EUR,2013-01-08T02:45:00Z,None,-4.8B,-4.7B,-4.3B,false,false
,Italian Monthly Unemployment Rate,EUR,2013-01-08T04:00:00Z,None,11.2%,11.1%,11.1%,false,false
,Retail Sales m/m,EUR,2013-01-08T05:00:00Z,None,0.3%,-0.7%,0.1%,false,false
,Unemployment Rate,EUR,2013-01-08T05:00:00Z,None,11.8%,11.7%,11.8%,false,false
,German Factory Orders m/m,EUR,2013-01-08T06:00:00Z,None,-1.4%,3.8%,-1.8%,false,false
,NFIB Small Business Index,USD,2013-01-08T07:30:00Z,None,87.2,87.5,88.0,false,false
,RCM/TIPP Economic Optimism,USD,2013-01-08T10:00:00Z,None,46.3,45.1,46.5,false,false
,Consumer Credit m/m,USD,2013-01-08T15:00:00Z,None,12.9B,14.1B,16.0B,false,false
,Building Consents m/m,NZD,2013-01-08T16:45:00Z,None,,-2.0%,-5.4%,false,false
,BRC Shop Price Index y/y,GBP,2013-01-08T19:01:00Z,None,,1.5%,1.5%,false,false
,HIA New Home Sales m/m,AUD,2013-01-08T19:09:00Z,None,,3.4%,4.7%,false,false
,Retail Sales m/m,AUD,2013-01-08T19:30:00Z,High,0.3%,0.0%,-0.1%,false,false
,Goods Trade Balance,GBP,2013-01-09T04:30:00Z,None,-9.1B,-9.5B,-9.2B,false,false
,Final GDP q/q,EUR,2013-01-09T05:00:00Z,None,-0.1%,-0.1%,-0.1%,false,false
,German Industrial Production m/m,EUR,2013-01-09T06:00:00Z,None,1.1%,-2.0%,0.2%,false,false
,Housing Starts,CAD,2013-01-09T08:13:00Z,None,198K,201K,198K,false,false
,Crude Oil Inventories,USD,2013-01-09T10:30:00Z,None,0.9M,-11.1M,1.3M,false,false
,10-y Bond Auction,USD,2013-01-09T13:00:00Z,None,,1.65|3.0,1.86|2.8,false,false
,Trade Balance,NZD,2013-01-09T16:45:00Z,None,-645M,-666M,-700M,false,false
,ANZ Commodity Prices m/m,NZD,2013-01-09T19:00:00Z,None,,0.9%,1.0%,false,false
,Building Approvals m/m,AUD,2013-01-09T19:30:00Z,High,4.0%,-5.1%,2.9%,false,false
,New Loans,CNY,2013-01-09T19:30:00Z,None,550B,523B,454B,false,false
,M2 Money Supply y/y,CNY,2013-01-09T19:30:00Z,None,14.1%,13.9%,13.8%,false,false
,USD-Denominated Trade Balance,CNY,2013-01-09T21:00:00Z,High,20.1B,19.6B,31.6B,false,false
,30-y Bond Auction,JPY,2013-01-09T22:45:00Z,None,,1.93|4.1,1.99|3.5,false,false
,Leading Indicators,JPY,2013-01-10T00:00:00Z,None,93.1%,92.8%,91.9%,false,false
,French Final CPI m/m,EUR,2013-01-10T02:45:00Z,None,0.4%,-0.2%,0.3%,false,false
,French Industrial Production m/m,EUR,2013-01-10T02:45:00Z,None,0.2%,-0.6%,0.5%,false,false
,Official Bank Rate,GBP,2013-01-10T07:00:00Z,High,0.50%,0.50%,0.50%,false,false
