id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,AUD,2012-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2012-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2012-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2012-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2012-01-02T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2012-01-02T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2012-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2012-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2012-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2012-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2012-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2012-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2012-01-02T00:00:00Z,None,,,,true,false
,Italian Manufacturing PMI,EUR,2012-01-02T03:45:00Z,None,43.8,44.0,44.3,false,false
,French Final Manufacturing PMI,EUR,2012-01-02T03:50:00Z,None,48.7,48.7,48.9,false,false
,German Final Manufacturing PMI,EUR,2012-01-02T03:55:00Z,None,48.1,48.1,48.4,false,false
,Final Manufacturing PMI,EUR,2012-01-02T04:00:00Z,None,46.9,46.9,46.9,false,false
,AIG Manufacturing Index,AUD,2012-01-02T17:30:00Z,None,,47.8,50.2,false,false
,Non-Manufacturing PMI,CNY,2012-01-02T20:00:00Z,None,,49.7,56.0,false,false
,Commodity Prices y/y,AUD,2012-01-03T00:30:00Z,None,,17.5%,10.9%,false,false
,Spanish Unemployment Change,EUR,2012-01-03T03:00:00Z,None,,59.5K,1.9K,false,false
,Manufacturing PMI,CHF,2012-01-03T03:30:00Z,None,44.5,44.8,50.7,false,false
,German Unemployment Change,EUR,2012-01-03T03:55:00Z,None,-9K,-23K,-22K,false,false
,Final Manufacturing PMI,GBP,2012-01-03T04:30:00Z,High,47.4,47.7,49.6,false,false
,GDT Price Index,NZD,2012-01-03T08:30:00Z,None,,-1.4%,-1.2%,false,false
,Manufacturing PMI,CAD,2012-01-03T09:30:00Z,None,,53.3,54.0,false,false
,ISM Manufacturing PMI,USD,2012-01-03T10:00:00Z,High,53.3,52.7,53.9,false,false
,Construction Spending m/m,USD,2012-01-03T10:00:00Z,None,0.6%,-0.2%,1.2%,false,false
,ISM Manufacturing Prices,USD,2012-01-03T10:00:00Z,None,47.6,45.0,47.5,false,false
,FOMC Meeting Minutes,USD,2012-01-03T14:00:00Z,High,,,,false,false
,Total Vehicle Sales,USD,2012-01-04T00:00:00Z,None,13.5M,13.6M,13.6M,true,false
,French Consumer Spending m/m,EUR,2012-01-04T02:45:00Z,None,0.3%,0.1%,-0.1%,false,false
,Spanish Manufacturing PMI,EUR,2012-01-04T03:15:00Z,None,,43.8,43.7,false,false
,Spanish Services PMI,EUR,2012-01-04T03:15:00Z,None,,36.8,42.1,false,false
,Italian Services PMI,EUR,2012-01-04T03:45:00Z,None,45.3,45.8,44.5,false,false
,French Final Services PMI,EUR,2012-01-04T03:50:00Z,None,50.2,50.2,50.3,false,false
,German Final Services PMI,EUR,2012-01-04T03:55:00Z,None,52.7,52.7,52.4,false,false
,Final Services PMI,EUR,2012-01-04T04:00:00Z,None,48.3,48.3,48.8,false,false
,Construction PMI,GBP,2012-01-04T04:30:00Z,High,51.8,52.3,53.2,false,false
,Net Lending to Individuals m/m,GBP,2012-01-04T04:30:00Z,None,1.0B,1.3B,1.0B,false,false
,M4 Money Supply m/m,GBP,2012-01-04T04:30:00Z,None,0.1%,-0.3%,-0.6%,false,false
,Mortgage Approvals,GBP,2012-01-04T04:30:00Z,None,53K,53K,53K,false,false
,CPI Flash Estimate y/y,EUR,2012-01-04T05:00:00Z,None,2.8%,3.0%,2.8%,false,false
,Italian Prelim CPI m/m,EUR,2012-01-04T05:00:00Z,None,0.3%,-0.1%,0.4%,false,false
,German 10-y Bond Auction,EUR,2012-01-04T05:43:00Z,None,,1.98|1.1,1.93|1.3,false,false
,Factory Orders m/m,USD,2012-01-04T10:00:00Z,None,1.9%,-0.2%,1.8%,false,false
,AIG Services Index,AUD,2012-01-04T17:30:00Z,None,,47.7,49.0,false,false
,Monetary Base y/y,JPY,2012-01-04T18:50:00Z,None,20.3%,19.5%,13.5%,false,false
,Goods Trade Balance,AUD,2012-01-04T19:30:00Z,High,1.68B,1.42B,1.38B,false,false
,RatingDog Services PMI,CNY,2012-01-04T21:30:00Z,None,,52.5,52.5,false,false
,German Retail Sales m/m,EUR,2012-01-05T02:00:00Z,None,0.2%,-0.2%,-0.9%,false,false
,Italian Monthly Unemployment Rate,EUR,2012-01-05T04:00:00Z,None,8.5%,8.5%,8.6%,false,false
,Italian Quarterly Unemployment Rate,EUR,2012-01-05T04:00:00Z,None,8.1%,8.0%,8.1%,false,false
,Final Services PMI,GBP,2012-01-05T04:30:00Z,High,51.6,52.1,54.0,false,false
,BOE Credit Conditions Survey,GBP,2012-01-05T04:30:00Z,None,,,,false,false
,Industrial New Orders m/m,EUR,2012-01-05T05:00:00Z,None,2.4%,-7.8%,1.8%,false,false
,PPI m/m,EUR,2012-01-05T05:00:00Z,None,0.1%,0.1%,0.2%,false,false
,French 10-y Bond Auction,EUR,2012-01-05T05:04:00Z,None,,3.18|3.1,3.29|1.6,false,false
,Challenger Job Cuts y/y,USD,2012-01-05T07:30:00Z,None,,-12.8%,30.6%,false,false
,ADP Non-Farm Employment Change,USD,2012-01-05T08:15:00Z,High,176K,204K,325K,false,false
,RMPI m/m,CAD,2012-01-05T08:30:00Z,None,0.1%,-1.0%,3.8%,false,false
,IPPI m/m,CAD,2012-01-05T08:30:00Z,None,0.2%,-0.1%,0.2%,false,false
