id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,NZD,2011-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,AUD,2011-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2011-01-02T00:00:00Z,None,,,,true,false
,Non-Manufacturing PMI,CNY,2011-01-02T20:00:00Z,None,,53.2,56.5,false,false
,Bank Holiday,CHF,2011-01-03T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2011-01-03T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2011-01-03T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2011-01-03T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2011-01-03T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2011-01-03T00:00:00Z,None,,,,true,false
,Spanish Manufacturing PMI,EUR,2011-01-03T03:15:00Z,None,,50.0,51.5,false,false
,Manufacturing PMI,CHF,2011-01-03T03:30:00Z,None,61.7,61.8,59.6,false,false
,Italian Manufacturing PMI,EUR,2011-01-03T03:45:00Z,None,52.3,52.0,54.7,false,false
,French Final Manufacturing PMI,EUR,2011-01-03T03:50:00Z,None,56.3,56.3,57.2,false,false
,German Final Manufacturing PMI,EUR,2011-01-03T03:55:00Z,None,60.9,60.9,60.7,false,false
,Final Manufacturing PMI,EUR,2011-01-03T04:00:00Z,None,56.9,56.8,57.1,false,false
,ISM Manufacturing PMI,USD,2011-01-03T10:00:00Z,High,57.0,56.6,57.0,false,false
,Construction Spending m/m,USD,2011-01-03T10:00:00Z,None,0.2%,0.7%,0.4%,false,false
,ISM Manufacturing Prices,USD,2011-01-03T10:00:00Z,None,71.2,69.5,72.5,false,false
,AIG Manufacturing Index,AUD,2011-01-03T17:30:00Z,None,,47.6,46.3,false,false
,Total Vehicle Sales,USD,2011-01-04T00:00:00Z,None,12.3M,12.3M,12.6M,true,false
,Commodity Prices y/y,AUD,2011-01-04T00:33:00Z,None,,45.7%,47.7%,false,false
,Spanish Unemployment Change,EUR,2011-01-04T03:00:00Z,None,,24.3K,-10.2K,false,false
,German Unemployment Change,EUR,2011-01-04T03:55:00Z,None,-12K,-8K,3K,false,false
,Final Manufacturing PMI,GBP,2011-01-04T04:30:00Z,High,57.3,57.5,58.3,false,false
,Net Lending to Individuals m/m,GBP,2011-01-04T04:30:00Z,None,0.9B,1.5B,0.7B,false,false
,M4 Money Supply m/m,GBP,2011-01-04T04:30:00Z,None,0.4%,0.7%,-0.8%,false,false
,Mortgage Approvals,GBP,2011-01-04T04:30:00Z,None,47K,47K,48K,false,false
,CPI Flash Estimate y/y,EUR,2011-01-04T05:00:00Z,None,2.0%,1.9%,2.2%,false,false
,Italian Prelim CPI m/m,EUR,2011-01-04T05:00:00Z,None,0.2%,0.0%,0.4%,false,false
,GDT Price Index,NZD,2011-01-04T08:30:00Z,None,,2.3%,5.8%,false,false
,Factory Orders m/m,USD,2011-01-04T10:00:00Z,None,-0.1%,-0.7%,0.7%,false,false
