id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,JPY,2014-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2014-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2014-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2014-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2014-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2014-01-01T00:00:00Z,None,,,,true,false
,Italian Bank Holiday,EUR,2014-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2014-01-01T00:00:00Z,None,,,,true,false
,French Bank Holiday,EUR,2014-01-01T00:00:00Z,None,,,,true,false
,German Bank Holiday,EUR,2014-01-01T00:00:00Z,None,,,,true,false
,AIG Manufacturing Index,AUD,2014-01-01T17:10:00Z,None,,47.7,47.6,false,false
,RatingDog Manufacturing PMI,CNY,2014-01-01T20:45:00Z,None,50.5,50.5,50.5,false,false
,Bank Holiday,JPY,2014-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2014-01-02T00:00:00Z,None,,,,true,false
,Commodity Prices y/y,AUD,2014-01-02T00:30:00Z,None,,-2.8%,-4.0%,false,false
,Spanish Manufacturing PMI,EUR,2014-01-02T03:15:00Z,None,49.9,48.6,50.8,false,false
,Italian Manufacturing PMI,EUR,2014-01-02T03:45:00Z,None,51.8,51.4,53.3,false,false
,French Final Manufacturing PMI,EUR,2014-01-02T03:50:00Z,None,47.1,47.1,47.0,false,false
,German Final Manufacturing PMI,EUR,2014-01-02T03:55:00Z,None,54.2,54.2,54.3,false,false
,Final Manufacturing PMI,EUR,2014-01-02T04:00:00Z,None,52.7,52.7,52.7,false,false
,Final Manufacturing PMI,GBP,2014-01-02T04:30:00Z,High,58.3,58.1,57.3,false,false
,Unemployment Claims,USD,2014-01-02T08:30:00Z,High,334K,341K,339K,false,false
,Final Manufacturing PMI,USD,2014-01-02T09:00:00Z,None,54.4,54.4,55.0,false,false
,Manufacturing PMI,CAD,2014-01-02T09:30:00Z,None,,55.3,53.5,false,false
,ISM Manufacturing PMI,USD,2014-01-02T10:00:00Z,High,56.8,57.3,57.0,false,false
,Construction Spending m/m,USD,2014-01-02T10:00:00Z,None,0.7%,0.9%,1.0%,false,false
,ISM Manufacturing Prices,USD,2014-01-02T10:00:00Z,None,53.0,52.5,53.5,false,false
,Non-Manufacturing PMI,CNY,2014-01-02T20:00:00Z,None,,56.0,54.6,false,false
,Total Vehicle Sales,USD,2014-01-03T00:00:00Z,None,16.0M,16.4M,15.4M,true,false
,Nationwide HPI m/m,GBP,2014-01-03T02:00:00Z,None,0.8%,0.7%,1.4%,false,false
,Spanish Unemployment Change,EUR,2014-01-03T03:00:00Z,None,24.3K,-2.5K,-107.6K,false,false
,KOF Economic Barometer,CHF,2014-01-03T03:00:00Z,None,1.92,1.85,1.95,false,false
,Spanish Flash CPI y/y,EUR,2014-01-03T03:00:00Z,None,0.2%,0.2%,0.2%,false,false
,Manufacturing PMI,CHF,2014-01-03T03:30:00Z,None,56.4,56.5,53.9,false,false
,Private Loans y/y,EUR,2014-01-03T04:00:00Z,None,-1.9%,-2.2%,-2.3%,false,false
,M3 Money Supply y/y,EUR,2014-01-03T04:00:00Z,None,1.5%,1.4%,1.5%,false,false
