tag,verdict,failed,note,n,net,avg,wr,pf,tr,ho,yrs_pos,maxdd,avg2x,avg3x
VCX JPN225 W48 q0.35 rr3 (short history),reject,train+,2022+ only,145,40.0746,0.2764,0.3448,1.4124,-1.1417,41.2163,4/5,-13.79,0.1883,0.1462
PULLBACK JPN225 dip3 rr3 (short history),PASS,,2022+ only,294,32.7695,0.1115,0.3061,1.1567,0.1125,32.657,4/5,-15.3701,0.0683,0.0369
VCX HK50 W48 q0.35 rr3 (short history),reject,"avg>=floor,train+,2x_cost_avg>0",2022+ only,156,-13.4905,-0.0865,0.2372,0.8884,-19.018,5.5276,2/7,-25.7545,-0.1105,-0.1671
PULLBACK HK50 dip3 rr3 (short history),reject,"avg>=floor,train+,2x_cost_avg>0",2022+ only,255,0.3793,0.0015,0.2588,1.002,-25.708,26.0872,2/7,-38.7651,-0.0539,-0.0995
BOLL30 EURUSD base hours14-24,reject,"avg>=floor,train+,2x_cost_avg>0",,2610,-130.34,-0.0499,0.4345,0.913,-136.3347,5.9946,6/19,-155.2995,-0.1115,-0.1687
BOLL30 EURUSD hours12-22 (neighbor),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,2482,-107.3166,-0.0432,0.4126,0.9265,-104.2607,-3.0558,7/19,-132.8389,-0.1039,-0.1603
BOLL30 EURUSD hours16-02 (neighbor),reject,"avg>=floor,train+,2x_cost_avg>0",,3046,-77.2711,-0.0254,0.4632,0.954,-101.9255,24.6544,9/19,-118.4031,-0.0881,-0.1464
BOLL30 EURUSD all-hours (control),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,9718,-710.4565,-0.0731,0.3945,0.8816,-614.786,-95.6704,3/19,-715.7045,-0.1339,-0.1904
ROUTE EURUSD BOLL30 er<0.5 ranging,reject,"avg>=floor,train+,2x_cost_avg>0",,1270,-53.9298,-0.0425,0.4457,0.9245,-69.739,15.8092,5/19,-78.9124,-0.106,-0.1648
ROUTE EURUSD BOLL30 er<0.35 deep range,reject,"avg>=floor,train+,2x_cost_avg>0",,908,-60.7746,-0.0669,0.4383,0.8824,-63.2998,2.5253,5/19,-67.7719,-0.1296,-0.1876
ROUTE EURUSD BOLL30 er>=0.5 trending (control),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1450,-82.2375,-0.0567,0.4241,0.9029,-72.3426,-9.8949,8/19,-101.5855,-0.1167,-0.1727
EXTREME EURUSD H1 W48 fade->mid er<0.5,reject,"avg>=floor,holdout+,2x_cost_avg>0",,1092,21.5745,0.0198,0.337,1.0293,23.4103,-1.8359,9/19,-49.4544,-0.0128,-0.0442
EXTREME EURUSD H1 W96 fade->mid er<0.5,reject,holdout+,,389,39.7596,0.1022,0.2982,1.1437,41.6845,-1.9248,11/19,-25.9467,0.0699,0.0388
RSI30 EURUSD 25/75 both,reject,"avg>=floor,holdout+,2x_cost_avg>0",,613,-3.519,-0.0057,0.4144,0.9905,5.7178,-9.2368,8/19,-20.5339,-0.0775,-0.1455
RSI30 EURUSD short-only (deployed shape),reject,"avg>=floor,holdout+,2x_cost_avg>0",,298,0.6017,0.002,0.4161,1.0034,13.3785,-12.7767,11/19,-22.8619,-0.0786,-0.1504
BOLL30 GBPUSD base hours14-24,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,2364,-94.1903,-0.0398,0.4607,0.9274,-88.8124,-5.3778,8/19,-127.7087,-0.1003,-0.1568
BOLL30 GBPUSD hours12-22 (neighbor),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,2218,-53.2679,-0.024,0.4414,0.9569,-38.4991,-14.7688,10/19,-83.9767,-0.0841,-0.1402
