tag,verdict,failed,note,n,net,avg,wr,pf,tr,ho,yrs_pos,maxdd,avg2x,avg3x
RSI30 USDCHF er<0.5 ranging,reject,"n>=min,train+",,1,1.4124,1.4124,1.0,inf,0.0,1.4124,1/1,0.0,1.3389,-1.2237
RSI30 USDCHF er<0.35 deep range,reject,"n>=min,train+",,1,1.4124,1.4124,1.0,inf,0.0,1.4124,1/1,0.0,1.3389,-1.2237
RSI30 USDCHF er>=0.5 trending (control),reject,n>=min,,79,18.2172,0.2306,0.519,1.4498,12.4409,5.7763,8/9,-5.2047,0.0355,-0.0692
DONCH96 gold M15 rr3,reject,"avg>=floor,2x_cost_avg>0",,3075,144.618,0.047,0.2842,1.0642,56.4233,88.1947,13/19,-63.4808,-0.0159,-0.0635
DONCH96 gold M15 trail4,PASS,,,2540,307.0871,0.1209,0.311,1.1921,207.7168,99.3703,15/19,-42.9272,0.0527,-0.004
VCX gold M15 W96 q0.25 rr3,reject,2x_cost_avg>0,,1247,71.171,0.0571,0.2863,1.0777,57.5344,13.6366,11/19,-59.0643,-0.02,-0.0747
DONCH96 gold M30 rr3,PASS,,,1678,197.5404,0.1177,0.3027,1.1662,114.8653,82.6752,12/19,-30.8436,0.0847,0.0543
DONCH96 gold M30 trail4,PASS,,,1288,238.6901,0.1853,0.3261,1.3083,164.6637,74.0265,16/19,-29.5626,0.1453,0.1073
VCX gold M30 W96 q0.25 rr3,PASS,,,656,128.9639,0.1966,0.3216,1.2851,84.0788,44.8851,15/19,-23.1291,0.1408,0.0892
DONCH96 gold H4 rr3,PASS,,,289,89.571,0.3099,0.3702,1.4973,44.5656,45.0054,15/19,-11.5285,0.2906,0.2689
DONCH96 gold H4 trail4,PASS,,,202,98.8676,0.4894,0.3515,1.9015,49.3626,49.505,15/19,-10.6826,0.4623,0.4362
VCX gold H4 W96 q0.25 rr3,PASS,,,105,52.5144,0.5001,0.4381,1.897,37.1354,15.379,14/18,-6.5136,0.4771,0.4633
SESSDISP XAUUSD 15m london rr2.5,reject,"avg>=floor,train+,2x_cost_avg>0",,216,-2.9787,-0.0138,0.2963,0.9814,-3.0031,0.0244,10/19,-28.1708,-0.0974,-0.1785
SESSDISP XAUUSD 15m ny rr2.5,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,92,-15.474,-0.1682,0.25,0.7849,-10.5489,-4.9251,5/18,-23.8093,-0.2407,-0.3453
SESSDISP XAUUSD 60m london rr2.5,reject,"avg>=floor,train+,2x_cost_avg>0",,319,-31.9263,-0.1001,0.2665,0.8664,-42.1745,10.2482,9/19,-61.9892,-0.1677,-0.2137
SESSDISP XAUUSD 60m ny rr2.5,PASS,,,196,42.5149,0.2169,0.3622,1.3343,33.7632,8.7517,13/19,-21.3212,0.1889,0.1557
SESSDISP GER40 15m london rr2.5,reject,"train+,2x_cost_avg>0",2022+ only,101,14.6849,0.1454,0.3465,1.2087,-2.5558,17.2406,3/5,-9.276,-0.0314,-0.175
SESSDISP GER40 15m ny rr2.5,reject,"avg>=floor,holdout+,2x_cost_avg>0",2022+ only,42,-2.4156,-0.0575,0.2857,0.9237,5.6494,-8.065,1/5,-11.0218,-0.1855,-0.1381
SESSDISP GER40 60m london rr2.5,reject,"avg>=floor,2x_cost_avg>0",2022+ only,207,9.1464,0.0442,0.314,1.0625,6.7283,2.4181,2/5,-18.0876,-0.047,-0.1139
SESSDISP GER40 60m ny rr2.5,reject,"n>=min,train+",2022+ only,2,1.4308,0.7154,0.5,2.3799,0.0,1.4308,1/2,-1.0369,0.6853,0.6588
SESSDISP US30 15m london rr2.5,reject,"avg>=floor,holdout+,2x_cost_avg>0",2022+ only,155,-10.5915,-0.0683,0.2774,0.9089,0.8004,-11.3919,2/5,-18.3208,-0.1465,-0.1972
SESSDISP US30 15m ny rr2.5,reject,"n>=min,train+",2022+ only,15,8.8993,0.5933,0.4667,2.0697,-3.1381,12.0374,2/5,-3.1147,0.5598,0.2979
SESSDISP US30 60m london rr2.5,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",2022+ only,78,-9.2809,-0.119,0.2564,0.8425,-0.0504,-9.2305,1/5,-12.2966,-0.1343,-0.1821
SESSDISP US30 60m ny rr2.5,reject,"avg>=floor,2x_cost_avg>0",2022+ only,98,0.5144,0.0052,0.2959,1.0074,0.127,0.3873,2/5,-15.882,-0.0079,-0.056
BOLL-H4 EURUSD sd2.0 fade->SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,1624,-16.8912,-0.0104,0.4046,0.9826,-28.835,11.9438,11/19,-68.6706,-0.0266,-0.0424
BOLL-H4 EURUSD sd2.5 fade->SMA20,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,681,-35.2573,-0.0518,0.3656,0.9187,-19.639,-15.6184,8/19,-56.7524,-0.0682,-0.0843
BOLL-H4 GBPUSD sd2.0 fade->SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,1620,-34.8286,-0.0215,0.3981,0.9644,-47.9452,13.1166,8/19,-77.0369,-0.0374,-0.053
BOLL-H4 GBPUSD sd2.5 fade->SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,682,-12.4549,-0.0183,0.3695,0.9711,-25.6129,13.158,8/19,-65.5063,-0.0342,-0.0498
BOLL-H4 USDCHF sd2.0 fade->SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,1632,-63.4528,-0.0389,0.3989,0.9352,-77.811,14.3583,8/19,-113.4163,-0.0619,-0.0844
BOLL-H4 USDCHF sd2.5 fade->SMA20,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,712,-69.3644,-0.0974,0.3638,0.8471,-67.7603,-1.6041,5/19,-74.4892,-0.12,-0.142
BOLL-H4 USDCAD sd2.0 fade->SMA20,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1416,-75.2141,-0.0531,0.399,0.9119,-61.3572,-13.8569,7/17,-114.4756,-0.0835,-0.1128
BOLL-H4 USDCAD sd2.5 fade->SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,632,-49.2506,-0.0779,0.3671,0.877,-60.0525,10.8019,7/17,-79.8639,-0.1084,-0.1379
DONCH24 SPX500 H4 trail4,PASS,,2022+ only,87,7.9181,0.091,0.3333,1.156,2.6029,5.3152,3/5,-13.8918,0.0466,0.0054
DONCH48 SPX500 H4 trail4,PASS,,2022+ only,64,15.9668,0.2495,0.4375,1.5147,4.3418,11.6249,3/5,-7.6966,0.1999,0.1539
DONCH24 GER40 H4 trail4,PASS,,2022+ only,81,34.6945,0.4283,0.358,1.74,14.5202,20.1743,4/5,-6.092,0.3843,0.3429
DONCH48 GER40 H4 trail4,PASS,,2022+ only,59,37.7512,0.6399,0.4576,2.3154,14.3675,23.3837,3/5,-5.7281,0.5892,0.5417
DONCH24 US30 H4 trail4,PASS,,2022+ only,75,22.835,0.3045,0.3467,1.5085,15.9198,6.9151,4/5,-8.4402,0.2882,0.2723
DONCH48 US30 H4 trail4,PASS,,2022+ only,58,20.54,0.3541,0.4138,1.6428,11.5021,9.0379,3/5,-5.9593,0.337,0.3204
DONCH24 JPN225 H4 trail4,PASS,,2022+ only,82,27.7117,0.3379,0.3659,1.6127,0.8889,26.8229,4/5,-6.6305,0.2956,0.256
DONCH48 JPN225 H4 trail4,PASS,,2022+ only,63,26.2989,0.4174,0.4127,1.8034,1.6959,24.603,4/5,-6.1283,0.3706,0.3268
DONCH24 HK50 H4 trail4,PASS,,2022+ only,88,14.2679,0.1621,0.2955,1.2576,5.9151,8.3528,3/7,-14.0415,0.1291,0.0976
DONCH48 HK50 H4 trail4,reject,train+,2022+ only,65,9.2336,0.1421,0.3077,1.2201,-0.0879,9.3216,3/7,-13.3101,0.1089,0.0773
F4 nb N64 trail3.0,PASS,,neighbor,292,55.3635,0.1896,0.3973,1.3943,28.4601,26.9034,13/19,-20.0861,0.1733,0.152
F4 nb N64 trail4.0,PASS,,neighbor,244,102.9488,0.4219,0.3525,1.7645,57.0111,45.9378,14/19,-11.6874,0.4017,0.3765
F4 nb N64 trail5.0,PASS,,neighbor,226,147.134,0.651,0.3186,2.0601,93.2103,53.9237,14/19,-14.2505,0.6263,0.5954
F4 nb N96 trail3.0,PASS,,neighbor,246,52.2589,0.2124,0.4024,1.449,19.7965,32.4625,11/19,-14.6234,0.1903,0.1701
F4 nb N96 trail4.0,PASS,,neighbor,202,98.8676,0.4894,0.3515,1.9015,49.3626,49.505,15/19,-10.6826,0.4623,0.4362
F4 nb N96 trail5.0,PASS,,neighbor,182,149.8692,0.8235,0.3571,2.3917,90.6931,59.1761,15/19,-7.659,0.7886,0.755
F4 nb N128 trail3.0,reject,train+,neighbor,223,29.9586,0.1343,0.3857,1.2773,-0.6331,30.5916,9/19,-21.7419,0.1139,0.0955
F4 nb N128 trail4.0,PASS,,neighbor,183,71.6619,0.3916,0.3169,1.6825,22.9852,48.6767,13/19,-16.2477,0.3666,0.3425
F4 nb N128 trail5.0,PASS,,neighbor,165,116.9893,0.709,0.3212,2.1457,58.652,58.3374,14/19,-14.5803,0.6766,0.6454
F5 nb N64 trail3.0,PASS,,neighbor,1782,258.3192,0.145,0.3591,1.268,183.9586,74.3606,13/19,-43.7481,0.0956,0.0495
F5 nb N64 trail4.0,PASS,,neighbor,1574,314.3624,0.1997,0.324,1.3296,216.9318,97.4306,14/19,-35.6307,0.1493,0.1048
F5 nb N64 trail5.0,PASS,,neighbor,1441,388.5,0.2696,0.3074,1.4102,262.907,125.593,14/19,-41.1253,0.2116,0.1677
F5 nb N96 trail3.0,PASS,,neighbor,1450,224.148,0.1546,0.3586,1.2909,151.6728,72.4752,14/19,-39.6651,0.1139,0.0704
F5 nb N96 trail4.0,PASS,,neighbor,1288,238.6901,0.1853,0.3261,1.3083,164.6637,74.0265,16/19,-29.5626,0.1453,0.1073
F5 nb N96 trail5.0,PASS,,neighbor,1186,282.8526,0.2385,0.3061,1.3644,186.1826,96.67,15/19,-38.7583,0.2023,0.1625
F5 nb N128 trail3.0,PASS,,neighbor,1301,160.0028,0.123,0.349,1.2245,89.4721,70.5307,13/19,-41.9387,0.0838,0.0424
F5 nb N128 trail4.0,PASS,,neighbor,1157,184.7884,0.1597,0.3181,1.2592,109.4901,75.2983,13/19,-32.1258,0.1214,0.0819
F5 nb N128 trail5.0,PASS,,neighbor,1071,226.2641,0.2113,0.3016,1.3167,129.4874,96.7767,14/19,-45.5867,0.1696,0.1319
F6 nb cb6 cm1.5 dm1.2 cl0.65,PASS,,neighbor,196,42.5149,0.2169,0.3622,1.3343,33.7632,8.7517,13/19,-21.3212,0.1889,0.1557
F6 nb cb6 cm1.5 dm1.0 cl0.65,PASS,,neighbor,221,48.6169,0.22,0.362,1.3389,31.4055,17.2113,13/19,-22.3308,0.1776,0.1467
F6 nb cb8 cm1.5 dm1.2 cl0.65,PASS,,neighbor,83,18.6154,0.2243,0.3614,1.3452,18.1502,0.4652,11/18,-8.3316,0.2068,0.1907
F6 nb cb6 cm2.0 dm1.2 cl0.65,PASS,,neighbor,688,89.9889,0.1308,0.3328,1.1926,82.4969,7.492,10/19,-35.7354,0.1102,0.0866
F6 nb cb6 cm1.5 dm1.2 cl0.55,PASS,,neighbor,222,42.9689,0.1936,0.3559,1.2952,31.7218,11.2471,12/19,-21.6414,0.1715,0.1398
XAG H1 DONCH96 rr3,reject,"avg>=floor,train+,2x_cost_avg>0",,634,10.0814,0.0159,0.2886,1.0211,-11.8657,21.9471,8/16,-48.4688,-0.0958,-0.1788
XAG H1 DONCH96 trail4,reject,"avg>=floor,train+,2x_cost_avg>0",,506,14.3895,0.0284,0.2846,1.0421,-7.8555,22.245,9/16,-61.0622,-0.1079,-0.1629
XAG H1 VCX W96 q0.25 rr3,reject,2x_cost_avg>0,,272,17.0934,0.0628,0.3088,1.085,9.6122,7.4812,10/16,-26.8085,-0.0405,-0.118
XAG H1 VCX W96 q0.25 trail4,PASS,,,265,45.3089,0.171,0.317,1.2668,35.5395,9.7694,9/16,-32.5573,0.0098,-0.0973
XAG H4 DONCH96 trail4,PASS,,,155,20.6551,0.1333,0.2968,1.2085,8.7191,11.936,9/16,-21.8685,0.067,0.0164
XAG H1 DONCH96-DOWN short trail4,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,462,-42.7689,-0.0926,0.2771,0.8684,-26.0534,-16.7154,9/16,-70.3896,-0.1823,-0.2541
XAG H1 DONCH96 rr3,reject,"avg>=floor,train+,2x_cost_avg>0",,634,10.0814,0.0159,0.2886,1.0211,-11.8657,21.9471,8/16,-48.4688,-0.0958,-0.1788
XAG H1 DONCH96 trail4,reject,"avg>=floor,train+,2x_cost_avg>0",,506,14.3895,0.0284,0.2846,1.0421,-7.8555,22.245,9/16,-61.0622,-0.1079,-0.1629
XAG H1 VCX W96 q0.25 rr3,reject,2x_cost_avg>0,,272,17.0934,0.0628,0.3088,1.085,9.6122,7.4812,10/16,-26.8085,-0.0405,-0.118
XAG H1 VCX W96 q0.25 trail4,PASS,,,265,45.3089,0.171,0.317,1.2668,35.5395,9.7694,9/16,-32.5573,0.0098,-0.0973
XAG H4 DONCH96 trail4,PASS,,,155,20.6551,0.1333,0.2968,1.2085,8.7191,11.936,9/16,-21.8685,0.067,0.0164
XAG H1 DONCH96-DOWN short trail4,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,462,-42.7689,-0.0926,0.2771,0.8684,-26.0534,-16.7154,9/16,-70.3896,-0.1823,-0.2541
XAG D1 DONCH20 trail3,PASS,,,77,14.3767,0.1867,0.3636,1.338,0.3234,14.0533,9/16,-13.2972,0.1699,0.1559
XAG D1 DONCH55 trail3,reject,"n>=min,train+",,45,11.1982,0.2488,0.3111,1.4519,-1.9945,13.1927,6/16,-8.6887,0.2346,0.1947
XAG D1 band-fade sd2 -> SMA20,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,309,-35.0193,-0.1133,0.3981,0.8043,-32.1001,-2.9192,5/16,-39.5403,-0.1547,-0.1939
XAG H4 DONCH96 trail4 + vol-expansion (atrp>=0.5),reject,"avg>=floor,train+,2x_cost_avg>0",,100,-12.8799,-0.1288,0.21,0.8186,-25.5828,12.7029,6/16,-42.8724,-0.1657,-0.1619
XAG H1 DONCH96 trail4 + NY-hours filter,reject,"avg>=floor,2x_cost_avg>0",,389,1.4779,0.0038,0.2699,1.0056,0.4659,1.012,8/16,-43.0141,-0.0913,-0.164
D1 band-fade EURUSD sd2 -> SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,333,-4.2272,-0.0127,0.4414,0.9759,-8.5549,4.3277,9/19,-19.0102,-0.0196,-0.0264
D1 band-fade GBPUSD sd2 -> SMA20,reject,"avg>=floor,holdout+,2x_cost_avg>0",,342,2.0448,0.006,0.4298,1.0111,4.2342,-2.1894,10/19,-19.1902,-0.0009,-0.0077
D1 band-fade USDCHF sd2 -> SMA20,reject,"avg>=floor,holdout+,2x_cost_avg>0",,324,-1.874,-0.0058,0.4198,0.9897,11.4509,-13.3248,11/19,-19.5588,-0.0161,-0.0264
D1 band-fade USDCAD sd2 -> SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,255,-3.4077,-0.0134,0.4471,0.9745,-10.0113,6.6036,9/17,-19.6289,-0.0266,-0.0397
D1 band-fade AUDUSD sd2 -> SMA20,reject,avg>=floor,,269,12.9819,0.0483,0.4684,1.0975,3.1073,9.8747,8/17,-26.8221,0.035,0.0219
D1 band-fade NZDUSD sd2 -> SMA20,reject,"avg>=floor,train+,2x_cost_avg>0",,273,-2.1777,-0.008,0.4359,0.9847,-3.3705,1.1928,8/17,-16.7243,-0.0255,-0.0428
D1 band-fade USDJPY sd2 -> SMA20,reject,"avg>=floor,holdout+,2x_cost_avg>0",,316,-2.107,-0.0067,0.4146,0.9877,3.1026,-5.2096,8/17,-26.1566,-0.0178,-0.0289
BOLL-H1 AUDUSD quiet-hours fade,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1568,-137.2645,-0.0875,0.3686,0.8649,-133.3861,-3.8784,4/17,-157.1389,-0.1593,-0.2254
DONCH96-H1 AUDUSD trail4 (law check: FX should fail),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,603,-89.1356,-0.1478,0.262,0.7766,-84.753,-4.3826,5/17,-136.4724,-0.1869,-0.2217
BOLL-H1 NZDUSD quiet-hours fade,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1488,-188.5012,-0.1267,0.373,0.8065,-154.4453,-34.0559,3/17,-196.7665,-0.222,-0.3076
DONCH96-H1 NZDUSD trail4 (law check: FX should fail),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,600,-104.7299,-0.1745,0.2517,0.7437,-79.5617,-25.1682,6/17,-133.0631,-0.2148,-0.2444
BOLL-H1 USDJPY quiet-hours fade,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1465,-222.058,-0.1516,0.3433,0.7751,-166.5036,-55.5544,4/17,-225.0301,-0.218,-0.2793
DONCH96-H1 USDJPY trail4 (law check: FX should fail),PASS,,,641,121.3558,0.1893,0.3214,1.3092,120.0656,1.2903,9/17,-41.2385,0.1518,0.1174
H4 sweep-fade EURUSD 48-bar extremes -> mid,reject,"avg>=floor,holdout+,2x_cost_avg>0",,1186,-9.3161,-0.0079,0.3474,0.9878,2.6206,-11.9367,9/19,-47.5845,-0.0243,-0.0404
H4 sweep-fade GBPUSD 48-bar extremes -> mid,reject,"avg>=floor,train+,2x_cost_avg>0",,1184,-37.0781,-0.0313,0.3446,0.9518,-38.1174,1.0393,6/19,-90.1824,-0.0472,-0.0627
H4 sweep-fade USDCHF 48-bar extremes -> mid,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1196,-52.4396,-0.0438,0.347,0.9324,-47.1499,-5.2897,7/19,-93.7718,-0.0675,-0.0905
H4 sweep-fade USDCAD 48-bar extremes -> mid,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1083,-41.035,-0.0379,0.3573,0.9412,-17.8164,-23.2186,10/17,-69.735,-0.0689,-0.0989
H4 sweep-fade AUDUSD 48-bar extremes -> mid,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1067,-35.7798,-0.0335,0.3552,0.9478,-27.653,-8.1267,5/17,-47.6957,-0.0623,-0.0901
H4 sweep-fade NZDUSD 48-bar extremes -> mid,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1114,-53.2487,-0.0478,0.351,0.9259,-48.3907,-4.858,6/17,-72.2728,-0.0872,-0.1249
H4 sweep-fade USDJPY 48-bar extremes -> mid,reject,"avg>=floor,train+,2x_cost_avg>0",,976,7.0107,0.0072,0.3658,1.0113,-4.6417,11.6524,9/17,-39.9212,-0.0198,-0.046
