ts_ny,asset,ccy,family,event_raw,tf,slot,surprise_z,surprise,direction,react_atr,range_mult,intensity,pretrend,entry,atr,fwd_15m,fwd_1h,fwd_4h,fwd_24h,worst_adverse_atr,cost_atr,pit_n_15m,pit_cont_15m,pit_n_1h,pit_cont_1h,pit_n_4h,pit_cont_4h,pnl_atr,conf,win,mode,horizon,thr
2011-02-17 08:30:00-05:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.4322143686613343,up,dn,-4.838709677419346,6.566820276497758,5-10x,bear,0.9524,0.0009699999999999976,0.2061855670102871,1.0309278350515498,1.6494845360825257,2.371134020618645,-1.443298969072124,0.1030927835051549,20,0.75,20,0.5,20,0.45,0.1030927835051322,0.75,True,follow,15m,0.6
2011-03-31 08:30:00-04:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.4347019884591179,up,dn,-0.2544529262086212,2.035623409669252,3-5x,bear,0.9149,0.0008080000000000087,0.3712871287129638,0.9900990099010079,-0.8663366336632616,-16.584158415841365,-17.69801980197998,0.12376237623762244,21,0.7619047619047619,21,0.5238095238095238,21,0.47619047619047616,0.2475247524753414,0.7619047619047619,True,follow,15m,0.6
2011-04-21 08:30:00-04:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.4352617908708621,up,dn,-1.0288065843621366,2.2633744855966778,3-5x,bear,0.8793,0.001010000000000002,0.19801980198017582,-1.4851485148515384,-2.871287128712879,-5.742574257425758,-8.019801980198,0.09900990099009882,22,0.7727272727272727,22,0.5454545454545454,22,0.45454545454545453,0.099009900990077,0.7727272727272727,True,follow,15m,0.6
2011-06-23 08:30:00-04:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.7207635309668681,up,dn,-2.799999999999989,3.466666666666583,3-5x,bull,0.841,0.0007920000000000016,1.5151515151514854,2.3989898989899103,4.292929292929232,4.545454545454456,-0.25252525252522423,0.12626262626262602,23,0.782608695652174,23,0.5217391304347826,23,0.43478260869565216,1.3888888888888593,0.782608695652174,True,follow,15m,0.6
2011-07-21 08:30:00-04:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.4354355591143973,up,dn,-1.3605442176870433,1.3605442176870433,3-5x,bull,0.82,0.0008860000000000045,-0.6772009029345846,1.1286681715575573,-0.3386004514673549,4.288939051918618,-5.191873589164814,0.11286681715575564,24,0.7916666666666666,24,0.5416666666666666,24,0.4583333333333333,-0.7900677200903402,0.7916666666666666,False,follow,15m,0.6
2011-09-15 08:30:00-04:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.8827428200843439,up,dn,-1.1948529411765356,1.8382352941176374,3-5x,bear,0.8734,0.001116000000000008,-1.433691756272432,3.405017921146852,3.494623655913867,-2.0609318996416337,-2.77777777777775,0.08960573476702445,25,0.76,25,0.56,25,0.44,-1.5232974910394566,0.76,False,follow,15m,0.6
2011-12-29 08:30:00-05:00,EURUSD,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.4482081863242581,up,up,0.9624282805849885,1.4899130112899026,3-5x,bear,1.28966,0.0010824000000000122,-0.4157427937916264,1.4042867701403812,3.593865484109299,5.293791574279331,-0.914634146341496,0.07390983000739015,20,0.7,20,0.6,20,0.5,-0.48965262379901653,0.7,False,follow,15m,0.6
2011-12-29 08:30:00-05:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.4482081863242581,up,dn,-1.0723514211886191,1.6149870801033126,3-5x,bull,0.94449,0.0007822000000000062,0.37074916901049626,1.5724878547686711,3.4518026080286552,8.02863717719255,-0.8693428790589331,0.12784454103809667,26,0.7307692307692307,26,0.5769230769230769,26,0.46153846153846156,0.2429046279723996,0.7307692307692307,True,follow,15m,0.6
2012-01-26 08:30:00-05:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.2982357058398933,up,dn,-0.12045290291494588,1.3129366417729635,3-5x,bear,0.91685,0.0008394000000000057,0.7743626399809805,-1.1794138670478065,-1.4415058375028893,-4.4317369549677395,-7.005003573981364,0.11913271384322055,27,0.7407407407407407,27,0.5925925925925926,27,0.48148148148148145,0.65522992613776,0.7407407407407407,True,follow,15m,0.6
2012-03-08 08:30:00-05:00,USDCHF,USD,CLAIMS,Unemployment Claims,M15,0830_data,0.5013484062749904,up,dn,-1.4918759231904883,3.988183161004341,3-5x,bear,0.90886,0.0007251999999999948,-0.9100937672366226,-1.8201875344732452,0.22062879205743263,-9.845559845559965,-10.452289023717714,0.13789299503585317,28,0.75,28,0.5714285714285714,28,0.4642857142857143,-1.0479867622724757,0.75,False,follow,15m,0.6
