symbol,tf,gate,exit,side,n,tpm,wr,rr,avg,net,tr,ho,stress3x,verdict
EURUSD,M15,none,h20,long,3036,13.691235555555556,49.76943346508564,1.0477651245752184,0.018436594202898546,55.97349999999999,70.4102,-14.436700000000002,-207.0,FAIL
EURUSD,M15,none,h12,long,3051,13.75888,50.442477876106196,1.0110614062175718,0.012605571943625044,38.45960000000001,54.6819,-16.2223,-226.0,FAIL
EURUSD,M15,none,h8,long,3063,13.812995555555556,51.97518772445315,0.9502355092586585,0.011124649036891938,34.0748,57.319299999999984,-23.244499999999995,-231.8,FAIL
EURUSD,M15,none,be0.5,long,3197,14.417285925925926,33.187363152955896,2.0239705846992058,0.001738254613700343,5.557199999999996,25.93610000000001,-20.3789,-256.3,FAIL
EURUSD,M15,adx25,h20,long,2223,10.024906666666666,50.607287449392715,1.0145466467655089,0.018793702204228522,41.778400000000005,47.45729999999999,-5.678899999999999,-152.0,FAIL
EURUSD,M15,adx25,h12,long,2230,10.056474074074075,50.98654708520179,0.9728036417031557,0.005204215246636771,11.6054,24.561099999999996,-12.955699999999998,-181.9,FAIL
EURUSD,M15,adx25,h8,long,2237,10.088041481481481,51.76575771122038,0.9107151406179208,-0.009022887796155564,-20.184199999999997,1.768099999999997,-21.9523,-212.3,FAIL
EURUSD,M15,adx25,be0.5,long,2332,10.516456296296296,34.04802744425386,1.8916118011766367,-0.007829202401372217,-18.25770000000001,-2.008700000000008,-16.249,-209.4,FAIL
EURUSD,M15,adx30,h20,long,2607,11.756604444444445,49.52052167242041,1.0217692711871735,0.0011421940928270037,2.9776999999999987,14.987799999999996,-12.0101,-220.2,FAIL
EURUSD,M15,adx30,h12,long,2621,11.81973925925926,50.20984357115604,0.9817820563359565,-0.004343990843189619,-11.38559999999999,6.655999999999999,-18.0416,-235.8,FAIL
EURUSD,M15,adx30,h8,long,2630,11.860325925925926,51.52091254752852,0.9162086383666231,-0.010500532319391636,-27.616400000000002,-1.9231999999999942,-25.693199999999997,-252.0,FAIL
