id,family,symbol,tf,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,verdict
BRKR-GBPUSD-H1,BRKR,GBPUSD,H1,1880,9.77,33.1,1.92,-0.0306,-57.5,-68.4,10.9,296,-147.3,REJECT
HAVW-XAUUSD-H1,HAVW,XAUUSD,H1,369,6.3,52.6,1.83,0.1661,61.3,43.4,17.9,94,53.5,DEPLOY-CANDIDATE
HAVW-XAUUSD-H4,HAVW,XAUUSD,H4,101,1.72,63.4,1.66,0.2329,23.5,20.6,2.9,29,22.4,DEPLOY-CANDIDATE
HAVW-XAUUSD-D1,HAVW,XAUUSD,D1,16,0.27,50.0,1.48,0.0913,1.5,1.3,0.1,4,1.4,WATCH
HAVW-EURUSD-H4,HAVW,EURUSD,H4,320,1.66,63.1,1.93,0.2771,88.7,71.3,17.4,47,84.3,DEPLOY-CANDIDATE
HAVW-GBPUSD-H4,HAVW,GBPUSD,H4,335,1.74,56.7,1.98,0.2211,74.1,66.0,8.1,45,69.9,DEPLOY-CANDIDATE
PIVR2-XAUUSD-M15,PIVR2,XAUUSD,M15,12,0.2,50.0,2.18,0.4457,5.3,3.5,1.8,3,4.5,WATCH
PIVR2-XAUUSD-H1,PIVR2,XAUUSD,H1,16,0.27,43.8,1.82,0.2055,3.3,5.3,-2.0,4,2.0,REJECT
GS07-XAUUSD-M30,GS07,XAUUSD,M30,205,3.5,37.6,1.93,0.0331,6.8,-2.0,8.8,67,7.8,REJECT
GS07-EURUSD-M30,GS07,EURUSD,M30,390,4.05,40.3,1.57,0.0132,5.1,8.8,-3.7,110,4.4,REJECT
GS07-GBPUSD-M30,GS07,GBPUSD,M30,401,4.17,39.7,1.79,0.0349,14.0,8.0,6.0,125,6.6,WATCH
