id,symbol,tf,family,params,rr_plan,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,stress3x_status,verdict,plateau
ZB-CMPX-GER40-M30-q0.25-rr2,GER40,M30,CMPX,q0.25,2.0,400,7.591022443890274,35.75,2.0,0.0725,29.0,12.0,17.0,223,-3.0,Fail,REJECT,1.0
ZB-CMPX-GER40-M30-q0.25-rr3,GER40,M30,CMPX,q0.25,3.0,347,6.585211970074813,29.68299711815562,2.886932449380512,0.1528003677533873,53.0217276104254,19.11837230077711,33.90335530964828,192,32.5,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-GER40-H1-pad0.1-rr2,GER40,H1,PIV5,pad0.1,2.0,1252,14.125604151223127,34.7444089456869,1.967957295960189,0.0311721521302248,39.02753446704149,-23.68128604039459,62.70882050743607,400,-3.3,Fail,REJECT,1.0
ZB-PIV5-GER40-H1-pad0.1-rr3,GER40,H1,PIV5,pad0.1,3.0,1024,11.553209785025944,29.1015625,2.685457155838383,0.0721130398881456,73.84375284546113,53.14697191090963,20.69678093455151,336,15.5,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-GER40-H1-pad0.25-rr2,GER40,H1,PIV5,pad0.25,2.0,1226,13.832260934025204,34.99184339314845,1.9665479339253409,0.0380159672172404,46.60757580833681,-13.68128604039462,60.28886184873143,387,15.1,Pass,REJECT,1.0
ZB-PIV5-GER40-H1-pad0.25-rr3,GER40,H1,PIV5,pad0.25,3.0,996,11.237301704966642,29.518072289156628,2.6923359534608733,0.0892923220600578,88.93515277181757,65.5102453855919,23.42490738622567,326,24.3,Pass,DEPLOY-CANDIDATE,1.0
"ZB-BOX-GER40-H1-N24,tight2.5-rr2",GER40,H1,BOX,"N24,tight2.5",2.0,21,0.2369310600444774,28.57142857142857,1.8549592692536632,-0.1842973516418105,-3.870244384478021,-5.870244384478021,2.0,7,-4.0,Fail,REJECT,0.5
"ZB-BOX-GER40-H1-N24,tight2.5-rr3",GER40,H1,BOX,"N24,tight2.5",3.0,21,0.2369310600444774,28.57142857142857,2.597229821163424,0.0277799489038353,0.5833789269805418,-3.870244384478021,4.453623311458563,7,0.4,Pass,REJECT,0.5
ZB-CMPX-GER40-H1-q0.25-rr2,GER40,H1,CMPX,q0.25,2.0,361,4.072957746478873,36.011080332409975,1.991305289902552,0.077201350934437,27.869687687331783,-3.1303123126682184,31.0,110,16.5,Pass,REJECT,1.0
ZB-CMPX-GER40-H1-q0.25-rr3,GER40,H1,CMPX,q0.25,3.0,313,3.531401037805782,28.11501597444089,2.8378626320300584,0.0786854211729675,24.628536827138856,4.364885638217041,20.263651188921816,96,7.1,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-GER40-H4-pad0.1-rr2,GER40,H4,PIV5,pad0.1,2.0,491,2.8258725657024013,32.79022403258656,1.907189269433526,-0.0461491237340068,-22.659219753397345,-10.76043465484456,-11.898785098552787,133,-38.0,Fail,REJECT,0.0
ZB-PIV5-GER40-H4-pad0.1-rr3,GER40,H4,PIV5,pad0.1,3.0,439,2.526594819436567,26.42369020501139,2.4236212668812467,-0.0936859118831778,-41.12811531671507,-29.780678631400512,-11.34743668531456,120,-55.7,Fail,REJECT,0.0
ZB-PIV5-GER40-H4-pad0.25-rr2,GER40,H4,PIV5,pad0.25,2.0,468,2.693499716392513,32.9059829059829,1.9187765634042853,-0.0390985737789547,-18.2981325285508,-11.359680950061737,-6.938451578489058,125,-32.9,Fail,REJECT,0.0
ZB-PIV5-GER40-H4-pad0.25-rr3,GER40,H4,PIV5,pad0.25,3.0,415,2.388466628852336,26.746987951807228,2.480858945721127,-0.067341744249719,-27.9468238636334,-24.434792378894144,-3.512031484739252,109,-42.5,Fail,REJECT,0.0
"ZB-BOX-GER40-H4-N24,tight2.5-rr2",GER40,H4,BOX,"N24,tight2.5",2.0,9,0.0517980714690867,44.44444444444444,2.482884527612958,0.4413807189542476,3.972426470588229,2.9724264705882284,1.0,2,3.9,Pass,WATCH,1.0
"ZB-BOX-GER40-H4-N24,tight2.5-rr3",GER40,H4,BOX,"N24,tight2.5",3.0,9,0.0517980714690867,33.33333333333333,3.378569153694627,0.385047654754372,3.4654288927893484,1.9724264705882284,1.49300242220112,2,3.4,Pass,WATCH,1.0
ZB-CMPX-GER40-H4-q0.25-rr2,GER40,H4,CMPX,q0.25,2.0,130,0.748194365664587,36.92307692307693,1.9205455550928057,0.0778189870716735,10.116468319317562,8.828649464948185,1.2878188543693758,28,2.4,Pass,DEPLOY-CANDIDATE,1.0
ZB-CMPX-GER40-H4-q0.25-rr3,GER40,H4,CMPX,q0.25,3.0,113,0.6503535640007563,32.743362831858406,2.4781407076318627,0.1378347841296789,15.575330606653718,13.708749277566342,1.866581329087376,23,8.3,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-GER40-D1-pad0.1-rr2,GER40,D1,PIV5,pad0.1,2.0,70,0.7897702001482579,35.714285714285715,1.4423587004008291,-0.125399269368475,-8.777948855793252,-4.453592202566068,-4.324356653227183,23,-9.0,Fail,REJECT,0.0
ZB-PIV5-GER40-D1-pad0.1-rr3,GER40,D1,PIV5,pad0.1,3.0,68,0.7672053372868791,35.294117647058826,1.5763578595446388,-0.0890053188005523,-6.052361678437557,-5.47708746077225,-0.5752742176653081,23,-6.4,Fail,REJECT,0.0
ZB-PIV5-GER40-D1-pad0.25-rr2,GER40,D1,PIV5,pad0.25,2.0,68,0.7672053372868791,35.294117647058826,1.4447837977196882,-0.1328007480571537,-9.030450867886454,-3.730537818157988,-5.299913049728466,23,-9.2,Fail,REJECT,0.0
ZB-PIV5-GER40-D1-pad0.25-rr3,GER40,D1,PIV5,pad0.25,3.0,65,0.733358042994811,35.38461538461539,1.6102941236639148,-0.0738291362581322,-4.7988938567785935,-3.2480632426120017,-1.550830614166591,23,-4.1,Fail,REJECT,0.0
"ZB-BOX-GER40-D1-N24,tight2.5-rr2",GER40,D1,BOX,"N24,tight2.5",2.0,4,0.0451297257227576,25.0,2.0,-0.25,-1.0,-1.0,0.0,0,-1.0,Fail,REJECT,0.0
"ZB-BOX-GER40-D1-N24,tight2.5-rr3",GER40,D1,BOX,"N24,tight2.5",3.0,4,0.0451297257227576,25.0,1.850397036115792,-0.287400740971052,-1.149602963884208,-1.149602963884208,0.0,0,-1.2,Fail,REJECT,0.0
ZB-CMPX-GER40-D1-q0.25-rr2,GER40,D1,CMPX,q0.25,2.0,9,0.1015418828762046,44.44444444444444,2.0,0.3333333333333333,3.0,0.0,3.0,3,3.0,Pass,REJECT,1.0
ZB-CMPX-GER40-D1-q0.25-rr3,GER40,D1,CMPX,q0.25,3.0,7,0.0789770200148258,42.85714285714285,1.768798253040308,0.1866278227315606,1.3063947591209244,-0.6936052408790754,2.0,2,1.3,Pass,REJECT,1.0
ZB-PIV5-US30-M15-pad0.1-rr2,US30,M15,PIV5,pad0.1,2.0,1931,42.19643933955492,31.952356292076644,1.9957879648129329,-0.04277515572782,-82.59882571042058,-34.7920722193328,-47.806753491087775,1270,-147.2,Fail,REJECT,0.0
