SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
HDFCNIFIT,HDFC NIFTY IT ETF,3.91,"2,28,783",41.49,IT,2026-01-17
ITIETF,Nifty IT Index,3.86,"16,55,520",43.05,IT,2026-01-17
ITBETA,UTI Nifty IT ETF,3.85,"1,853",408.39,IT,2026-01-17
SBIETFIT,Nifty IT Index,3.78,"18,342",431.50,IT,2026-01-17
ITBEES,Nifty IT TRI,3.76,"2,68,18,445",43.05,IT,2026-01-17
SILVER360,Commodity-Silver,3.65,"1,70,389",279.00,SILVER,2026-01-17
ITADD,DSP Nifty IT ETF,3.53,"39,527",41.02,IT,2026-01-17
ITETF,Mirae Asset Nifty IT ETF,3.49,"6,24,771",40.94,IT,2026-01-17
IT,NIFTY IT Index,3.45,"4,04,408",42.85,IT,2026-01-17
TECH,Nifty IT TRI Index,3.24,"56,988",42.00,IT,2026-01-17
AXISTECETF,NIFTY IT Index,2.91,"5,017",425.00,IT,2026-01-17
SILVERADD,DSP Silver ETF,2.81,"13,53,675",272.00,SILVER,2026-01-17
SILVERIETF,Domestic Price of Silver,2.73,"1,73,05,990",281.80,SILVER,2026-01-17
SILVER1,Kotak Silver ETF,2.68,"41,11,310",273.95,SILVER,2026-01-17
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),2.58,"36,91,168",272.70,SILVER,2026-01-17
MOSILVER,Domestic Price of Physical Silver,2.58,"8,17,188",278.00,SILVER,2026-01-17
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,2.51,"11,54,93,929",269.40,SILVER,2026-01-17
ESILVER,Edelweiss Silver ETF,2.45,"3,91,812",282.60,SILVER,2026-01-17
SBISILVER,SBI SILVER ETF,2.34,"1,00,94,624",275.94,SILVER,2026-01-17
SILVERCASE,Commodity-Silver,2.25,"4,49,33,542",28.62,SILVER,2026-01-17
SILVER,Physical price of Silver,2.24,"57,68,820",281.50,SILVER,2026-01-17
HDFCSILVER,HDFC Silver ETF,2.12,"1,37,39,376",270.21,SILVER,2026-01-17
AXISILVER,Axis Silver ETF,1.97,"20,52,022",279.94,SILVER,2026-01-17
SILVERAG,Mirae Asset Silver ETF,1.63,"26,17,879",273.46,SILVER,2026-01-17
GROWWCAPM,Nifty Capital Markets Index,1.60,"8,83,556",10.14,,2026-01-17
TATSILV,Tata Silver Exchange Traded Fund,1.49,"30,04,35,054",27.27,SILVER,2026-01-17
SILVERBND,Commodity - Silver,1.44,"1,21,138",280.00,SILVER,2026-01-17
MOCAPITAL,Nifty Capital Market Total Return Index,1.43,"13,57,488",48.30,IT,2026-01-17
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,1.43,"3,76,332",91.21,NIFTY_PSU_BANK,2026-01-17
SBIBPB,BSE PSU Bank Index TRI,1.41,"1,53,249",52.60,NIFTY_BANK,2026-01-17
TOP10ADD,Nifty Top 10 Equal Weight Index,1.30,"2,26,706",99.37,,2026-01-17
TNIDETF,Nifty India Digital Index,1.29,"59,802",97.95,DIGITAL,2026-01-17
SHARIABEES,Shariah,1.25,"10,114",521.90,,2026-01-17
PSUBANKADD,DSP Nifty PSU Bank ETF,1.21,"1,69,027",90.68,NIFTY_PSU_BANK,2026-01-17
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,1.19,"78,523",90.90,NIFTY_PSU_BANK,2026-01-17
MIDCAP,Nifty Midcap 50 Index,1.19,"76,862",175.79,NIFTY_MIDCAP,2026-01-17
MIDSELIETF,S&P BSE Midcap Select Index,1.16,"2,89,935",18.28,NIFTY_MIDCAP,2026-01-17
BANKPSU,Nifty PSU Bank Total Return Index,1.13,"39,170",90.35,PSU,2026-01-17
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI,1.10,"99,172",83.88,DIVIDEND,2026-01-17
ELM250,Nifty LargeMidcap 250 TRI,1.09,"3,20,011",16.75,NIFTY_MIDCAP,2026-01-17
EBANKNIFTY,Edelweiss Nifty Bank ETF,1.02,"4,610",60.61,NIFTY_BANK,2026-01-17
NV20,Nifty50 Value 20,1.01,"7,957",156.30,NIFTY_50,2026-01-17
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,1.00,"2,09,000",31.44,MOMENTUM,2026-01-17
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,0.99,990,199.75,QUALITY,2026-01-17
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,0.99,"2,12,533",119.00,VALUE,2026-01-17
NV20BEES,Nifty50 Value20 TRI,0.96,"16,888",156.33,NIFTY_50,2026-01-17
BANKBETA,Nifty Bank,0.95,"6,99,353",61.92,NIFTY_BANK,2026-01-17
ECAPINSURE,BSE Capital Markets & Insurance Total Return Index,0.95,"81,309",24.35,,2026-01-17
FLEXIADD,Nifty500 Flexicap Quality 30 TRI,0.95,"2,04,719",10.63,NIFTY_50,2026-01-17
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF,0.95,"2,261",60.39,NIFTY_BANK,2026-01-17
BANKETF,Mirae Asset Nifty Bank ETF,0.94,"12,465",609.54,NIFTY_BANK,2026-01-17
BANKIETF,Nifty Bank,0.92,"4,03,971",61.50,NIFTY_BANK,2026-01-17
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,0.92,"1,42,776",22.05,QUALITY,2026-01-17
BANKBEES,Nifty Bank,0.91,"7,88,117",620.12,NIFTY_BANK,2026-01-17
