SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVERBND,Commodity - Silver,4.79,"1,11,523",264.00,SILVER,2026-01-13
GROWWSLVR,Commodity-Silver,3.43,"21,62,447",256.99,SILVER,2026-01-13
SILVERIETF,Domestic Price of Silver,3.12,"1,82,30,776",262.00,SILVER,2026-01-13
HDFCSILVER,HDFC Silver ETF,3.01,"1,71,08,287",251.79,SILVER,2026-01-13
TATSILV,Tata Silver Exchange Traded Fund,2.63,"25,41,56,494",25.34,SILVER,2026-01-13
SILVERCASE,Commodity-Silver,2.59,"4,47,83,988",26.50,SILVER,2026-01-13
ESILVER,Edelweiss Silver ETF,2.53,"2,70,837",260.33,SILVER,2026-01-13
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,2.51,"12,24,80,487",249.45,SILVER,2026-01-13
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),2.41,"38,22,625",251.95,SILVER,2026-01-13
HNGSNGBEES,Hang Seng Index,2.39,"2,87,765",532.02,,2026-01-13
SILVER360,Commodity-Silver,2.32,"2,32,448",254.98,SILVER,2026-01-13
SILVERAG,Mirae Asset Silver ETF,2.31,"9,82,506",254.20,SILVER,2026-01-13
SILVERADD,DSP Silver ETF,2.21,"16,76,886",251.80,SILVER,2026-01-13
AXISILVER,Axis Silver ETF,2.19,"29,27,293",258.80,SILVER,2026-01-13
SBISILVER,SBI SILVER ETF,2.13,"73,30,579",255.00,SILVER,2026-01-13
MOSILVER,Domestic Price of Physical Silver,2.02,"5,97,013",257.00,SILVER,2026-01-13
SILVER1,Kotak Silver ETF,1.97,"42,05,140",253.50,SILVER,2026-01-13
SILVER,Physical price of Silver,1.93,"60,46,857",259.30,SILVER,2026-01-13
IVZINGOLD,Gold,1.47,"1,852","12,449.00",GOLD,2026-01-13
EVIETF,Nifty EV & New Age Automotive ETF,1.45,"1,52,390",31.50,AUTO,2026-01-13
PSUBANK,Nifty PSU Bank,1.39,"1,53,131",874.50,NIFTY_PSU_BANK,2026-01-13
GROWWNET,Index,1.20,"3,84,804",10.16,,2026-01-13
MOCAPITAL,Nifty Capital Market Total Return Index,1.17,"3,68,858",46.80,IT,2026-01-13
PSUBANKADD,DSP Nifty PSU Bank ETF,1.13,"46,906",88.09,NIFTY_PSU_BANK,2026-01-13
ITADD,DSP Nifty IT ETF,1.08,"3,480",40.07,IT,2026-01-13
MAFANG,NYSE FANG+ Total Return Index,1.00,"2,33,010",168.19,,2026-01-13
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,1.00,"1,42,326",88.15,NIFTY_PSU_BANK,2026-01-13
GILT10BETA,UTI Nifty 10 yr Benchmark G-Sec ETF,0.96,"5,458",26.36,GSEC,2026-01-13
INTERNET,Equity Index,0.96,"59,671",13.62,,2026-01-13
SBIBPB,BSE PSU Bank Index TRI,0.94,"1,84,786",50.70,NIFTY_BANK,2026-01-13
SML100CASE,Nifty Smallcap 100 Index,0.93,"6,70,338",9.80,SMALLCAP,2026-01-13
IT,NIFTY IT Index,0.89,"1,46,080",41.95,IT,2026-01-13
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,0.87,"17,29,710",16.32,SMALLCAP,2026-01-13
GSEC10ABSL,CRISIL 10 Year Gilt ETF,0.85,1,110.64,GSEC,2026-01-13
SBIETFIT,Nifty IT Index,0.85,"11,999",418.75,IT,2026-01-13
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,0.85,"16,13,168",42.88,SMALLCAP,2026-01-13
GROWWMETAL,Nifty Metal Index,0.84,"10,34,481",10.84,METAL,2026-01-13
VAL30IETF,Nifty200 Value 30 Index,0.80,"1,60,590",15.05,VALUE,2026-01-13
HDFCNIFIT,HDFC NIFTY IT ETF,0.80,"51,834",40.36,IT,2026-01-13
PSUBNKBEES,Nifty PSU Bank,0.79,"31,78,991",97.09,NIFTY_PSU_BANK,2026-01-13
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,0.78,"3,02,668",116.70,VALUE,2026-01-13
ITETF,Mirae Asset Nifty IT ETF,0.78,"1,76,658",40.00,IT,2026-01-13
TNIDETF,Nifty India Digital Index,0.77,"52,340",97.30,DIGITAL,2026-01-13
MASPTOP50,S&P 500 Top 50 Total Return Index,0.77,"53,006",72.26,,2026-01-13
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,0.76,"7,912",87.70,NIFTY_PSU_BANK,2026-01-13
AONETMMQ50,Nifty Total Market Momentum Quality 50 TRI,0.73,"50,226",9.68,MOMENTUM,2026-01-13
AXISTECETF,NIFTY IT Index,0.72,813,416.61,IT,2026-01-13
BANKPSU,Nifty PSU Bank Total Return Index,0.68,"29,791",87.38,PSU,2026-01-13
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index,0.67,"2,34,432",10.45,NIFTY_50,2026-01-13
GROWWSC250,Nifty Smallcap 250 Index - TRI,0.65,"98,936",9.35,SMALLCAP,2026-01-13
MOALPHA50,Nifty Alpha 50 Total Return Index,0.65,"2,851",49.31,ALPHA,2026-01-13
ITBETA,UTI Nifty IT ETF,0.64,847,396.20,IT,2026-01-13
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index,0.63,"1,17,473",41.38,NIFTY_50,2026-01-13
SMALL250,Nifty Smallcap 250,0.62,"2,45,140",16.22,SMALLCAP,2026-01-13
SMALLADD,Nifty Smallcap 250 Index,0.62,"2,171",16.24,SMALLCAP,2026-01-13
GROWWMC150,Nifty Midcap 150 Index - TRI,0.60,567,219.65,NIFTY_MIDCAP,2026-01-13
MOIPO,BSE Select IPO Total Return Index,0.56,"1,086",44.88,,2026-01-13
ITBEES,Nifty IT TRI,0.55,"78,95,396",41.92,IT,2026-01-13
SNXT30BEES,BSE Sensex Next 30 Index,0.54,"4,407",40.93,SENSEX,2026-01-13
GROWWCAPM,Nifty Capital Markets Index,0.51,"3,45,550",9.80,,2026-01-13
MOSERVICE,Nifty Services Sector Total Return Index,0.51,"3,627",33.54,SERVICES,2026-01-13
MIDCAPADD,Nifty Midcap 150 Index,0.50,"12,521",22.09,NIFTY_MIDCAP,2026-01-13
MOGOLD,Domestic Price of Physical Gold,0.50,"12,90,886",139.80,GOLD,2026-01-13
MIDQ50ADD,Nifty Midcap 150 Quality 50 Index,0.50,"7,691",244.11,NIFTY_MIDCAP,2026-01-13
MOPSE,Nifty PSE Total Return Index,0.49,"1,302",99.99,,2026-01-13
GOLDBND,Commodity - Gold,0.48,"13,171",141.10,GOLD,2026-01-13
BANKBETF,Bajaj Finserv Nifty Bank ETF,0.45,"9,978",60.43,NIFTY_BANK,2026-01-13
METALIETF,Nifty Metal Index,0.44,"2,09,37,935",11.42,METAL,2026-01-13
