SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
GOLD360,Commodity-Gold,7.19,"1,48,247",141.65,GOLD,2026-01-11
EVIETF,Nifty EV & New Age Automotive ETF,4.17,"1,48,024",32.94,AUTO,2026-01-11
MOSILVER,Domestic Price of Physical Silver,3.89,"5,64,695",239.33,SILVER,2026-01-11
SILVER1,Kotak Silver ETF,3.84,"24,30,742",234.50,SILVER,2026-01-11
ESILVER,Edelweiss Silver ETF,3.42,"8,62,692",241.50,SILVER,2026-01-11
GROWWSLVR,Commodity-Silver,3.05,"8,21,966",235.92,SILVER,2026-01-11
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),3.04,"22,41,043",232.70,SILVER,2026-01-11
HDFCSILVER,HDFC Silver ETF,2.96,"88,58,257",230.55,SILVER,2026-01-11
TATSILV,Tata Silver Exchange Traded Fund,2.96,"10,71,96,252",23.34,SILVER,2026-01-11
SBISILVER,SBI SILVER ETF,2.83,"54,58,194",235.84,SILVER,2026-01-11
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,2.83,"7,02,30,296",229.85,SILVER,2026-01-11
SILVER360,Commodity-Silver,2.79,"69,081",234.66,SILVER,2026-01-11
SILVER,Physical price of Silver,2.67,"31,35,875",239.37,SILVER,2026-01-11
MOGOLD,Domestic Price of Physical Gold,2.58,"14,20,693",137.30,GOLD,2026-01-11
AXISILVER,Axis Silver ETF,2.55,"9,84,239",238.90,SILVER,2026-01-11
SILVERAG,Mirae Asset Silver ETF,2.46,"17,74,606",233.00,SILVER,2026-01-11
SILVERIETF,Domestic Price of Silver,2.44,"98,26,004",239.80,SILVER,2026-01-11
SILVERCASE,Commodity-Silver,2.44,"2,03,59,207",24.35,SILVER,2026-01-11
SILVERADD,DSP Silver ETF,2.41,"20,91,255",231.21,SILVER,2026-01-11
SILVERBND,Commodity - Silver,2.31,"52,648",240.20,SILVER,2026-01-11
TWCGOLDETF,Commodity,1.68,"28,042",137.50,GOLD,2026-01-11
LICMFGOLD,Gold,1.38,"4,930","12,340.00",GOLD,2026-01-11
AXISGOLD,Gold,1.27,"10,41,623",114.42,GOLD,2026-01-11
IVZINGOLD,Gold,1.23,485,"11,900.00",GOLD,2026-01-11
TATAGOLD,Tata Gold Exchange Traded Fund,1.22,"5,70,66,436",13.32,GOLD,2026-01-11
GOLDBEES,Gold,1.21,"3,92,84,191",113.65,GOLD,2026-01-11
SETFGOLD,Gold,1.08,"80,48,498",116.98,GOLD,2026-01-11
GROWWGOLD,Commodity,1.06,"2,68,961",133.78,GOLD,2026-01-11
GOLDCASE,Zerodha Gold ETF,1.03,"1,48,37,512",21.57,GOLD,2026-01-11
GOLDBETA,Gold,1.01,"13,44,639",115.25,GOLD,2026-01-11
GOLD1,Gold,1.00,"28,29,910",114.16,GOLD,2026-01-11
QGOLDHALF,Gold,0.99,"99,849",113.55,GOLD,2026-01-11
GOLDIETF,Gold,0.95,"58,06,988",117.35,GOLD,2026-01-11
GOLDADD,DSP Gold ETF,0.92,"86,77,411",133.00,GOLD,2026-01-11
GOLDETF,Mirae Asset Gold ETF,0.92,"18,08,398",133.00,GOLD,2026-01-11
HDFCGOLD,Gold,0.91,"83,81,589",117.00,GOLD,2026-01-11
GOLDBND,Commodity - Gold,0.91,"5,011",136.98,GOLD,2026-01-11
IT,NIFTY IT Index,0.89,"2,15,520",41.85,IT,2026-01-11
EGOLD,Edelweiss Gold ETF,0.88,"49,097",136.80,GOLD,2026-01-11
AONEGOLD,Domestic price of Gold,0.87,"7,43,348",12.79,GOLD,2026-01-11
CHOICEGOLD,Gold,0.86,"41,977",136.00,GOLD,2026-01-11
BSLGOLDETF,Gold,0.85,"6,16,977",120.40,GOLD,2026-01-11
MOGSEC,Nifty 5 yr Benchmark G-Sec Index,0.83,"69,441",63.28,GSEC,2026-01-11
SBIBPB,BSE PSU Bank Index TRI,0.82,"3,62,396",50.40,NIFTY_BANK,2026-01-11
UNIONGOLD,Commodity Gold,0.71,"5,120",133.85,GOLD,2026-01-11
TECH,Nifty IT TRI Index,0.61,"10,686",41.04,IT,2026-01-11
OILIETF,Nifty Oil & Gas Index,0.60,"49,44,078",11.82,ENERGY,2026-01-11
BBNPPGOLD,Baroda BNP Paribas Gold ETF,0.57,"83,110",132.25,GOLD,2026-01-11
AXISTECETF,NIFTY IT Index,0.56,"1,126",415.00,IT,2026-01-11
ITADD,DSP Nifty IT ETF,0.55,"28,026",39.89,IT,2026-01-11
ITETF,Mirae Asset Nifty IT ETF,0.53,"1,26,176",39.88,IT,2026-01-11
GILT10BETA,UTI Nifty 10 yr Benchmark G-Sec ETF,0.50,"7,671",26.07,GSEC,2026-01-11
MAFANG,NYSE FANG+ Total Return Index,0.50,"5,48,181",168.36,,2026-01-11
SNXT50BETA,BSE Sensex Next 50,0.47,"5,251",93.30,SENSEX,2026-01-11
GROWWDEFNC,Nifty India Defence Index- Total Return Index,0.43,"4,54,761",79.50,DEFENCE,2026-01-11
MON100,Nasdaq100,0.40,"4,80,174",234.92,NASDAQ,2026-01-11
SBIETFIT,Nifty IT Index,0.38,"3,466",416.54,IT,2026-01-11
HDFCNIFIT,HDFC NIFTY IT ETF,0.35,"48,177",40.15,IT,2026-01-11
