SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVER360,Commodity-Silver,10.02,"2,09,766",253.90,SILVER,2026-02-09
SILVERAG,Mirae Asset Silver ETF,9.35,"6,62,633",250.50,SILVER,2026-02-09
TATSILV,Tata Silver Exchange Traded Fund,8.82,"25,19,99,256",24.81,SILVER,2026-02-09
HDFCSILVER,HDFC Silver ETF,8.77,"1,34,99,276",244.64,SILVER,2026-02-09
GROWWSLVR,Commodity-Silver,8.73,"1,43,86,617",25.04,SILVER,2026-02-09
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,8.71,"10,13,11,327",244.00,SILVER,2026-02-09
SILVERADD,DSP Silver ETF,8.69,"10,01,736",246.40,SILVER,2026-02-09
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),8.57,"20,49,714",246.00,SILVER,2026-02-09
SBISILVER,SBI SILVER ETF,8.57,"59,71,967",249.75,SILVER,2026-02-09
SILVERCASE,Commodity-Silver,8.57,"3,17,10,309",25.84,SILVER,2026-02-09
SILVER1,Kotak Silver ETF,8.56,"27,50,025",247.34,SILVER,2026-02-09
SILVER,Physical price of Silver,8.39,"56,39,012",253.73,SILVER,2026-02-09
AXISILVER,Axis Silver ETF,8.37,"16,55,884",255.00,SILVER,2026-02-09
SILVERIETF,Domestic Price of Silver,8.34,"1,32,45,640",254.00,SILVER,2026-02-09
ESILVER,Edelweiss Silver ETF,6.54,"16,86,113",253.00,SILVER,2026-02-09
MOSILVER,Domestic Price of Physical Silver,6.37,"1,59,872",251.46,SILVER,2026-02-09
SILVERBND,Commodity - Silver,6.17,"2,29,834",255.30,SILVER,2026-02-09
MOLOWVOL,Nifty Midcap 100 TRI,4.29,"43,323",40.15,LOW_VOLATILITY,2026-02-09
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,4.12,"32,939",22.00,LOW_VOLATILITY,2026-02-09
SBIBPB,BSE PSU Bank Index TRI,4.05,"2,13,652",53.50,NIFTY_BANK,2026-02-09
GOLD360,Commodity-Gold,3.87,"1,24,685",151.50,GOLD,2026-02-09
UNIONGOLD,Commodity Gold,3.79,"29,726",152.00,GOLD,2026-02-09
AONEGOLD,Domestic price of Gold,3.65,"15,65,928",14.48,GOLD,2026-02-09
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,3.56,"68,642",92.79,NIFTY_PSU_BANK,2026-02-09
BANKPSU,Nifty PSU Bank Total Return Index,3.51,"65,572",92.18,PSU,2026-02-09
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,3.40,"6,31,254",92.75,NIFTY_PSU_BANK,2026-02-09
PSUBNKBEES,Nifty PSU Bank,3.40,"64,01,859",102.13,NIFTY_PSU_BANK,2026-02-09
MOMIDMTM,Nifty Midcap 150 Momentum 50 Total Return Index,3.27,"48,882",64.98,NIFTY_MIDCAP,2026-02-09
PSUBANK,Nifty PSU Bank,3.17,"33,431",914.53,NIFTY_PSU_BANK,2026-02-09
IVZINGOLD,Gold,2.91,"7,432","13,498.00",GOLD,2026-02-09
GROWWCAPM,Nifty Capital Markets Index,2.83,"6,12,688",10.19,,2026-02-09
CHEMICAL,Nifty Chemicals Index (TRI),2.75,"2,67,702",29.12,,2026-02-09
QGOLDHALF,Gold,2.62,"1,87,956",128.40,GOLD,2026-02-09
PHARMABEES,Nifty Pharma TRI,2.62,"53,61,127",23.08,HEALTHCARE,2026-02-09
SML100CASE,Nifty Smallcap 100 Index,2.62,"25,68,390",9.81,SMALLCAP,2026-02-09
MON100,Nasdaq100,2.61,"8,75,829",233.65,NASDAQ,2026-02-09
LICMFGOLD,Gold,2.58,"6,546","13,980.00",GOLD,2026-02-09
SMALL250,Nifty Smallcap 250,2.58,"7,24,625",16.28,SMALLCAP,2026-02-09
MOCAPITAL,Nifty Capital Market Total Return Index,2.58,"8,64,242",48.53,IT,2026-02-09
NEXT50ETF,Nifty Next 50 Index,2.58,"51,388",71.14,NIFTY_NEXT_50,2026-02-09
GOLDCASE,Zerodha Gold ETF,2.56,"1,63,42,111",24.40,GOLD,2026-02-09
SMALLADD,Nifty Smallcap 250 Index,2.52,"35,653",16.25,SMALLCAP,2026-02-09
GOLD1,Gold,2.48,"54,14,951",129.00,GOLD,2026-02-09
GROWWMC150,Nifty Midcap 150 Index - TRI,2.45,"4,966",223.46,NIFTY_MIDCAP,2026-02-09
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,2.44,"17,49,072",163.98,SMALLCAP,2026-02-09
MODEFENCE,Nifty India Defence Total Return Index,2.40,"35,99,057",87.15,DEFENCE,2026-02-09
AXISTECETF,NIFTY IT Index,2.35,"4,063",399.80,IT,2026-02-09
MOREALTY,Motilal Oswal Nifty Realty ETF,2.32,"13,30,980",84.22,REALTY,2026-02-09
GROWWCHEM,Nifty Chemicals Index - TRI,2.30,"46,076",28.86,,2026-02-09
GOLDBEES,Gold,2.29,"9,03,68,722",127.90,GOLD,2026-02-09
GROWWSC250,Nifty Smallcap 250 Index - TRI,2.29,"2,86,597",9.38,SMALLCAP,2026-02-09
GOLDBETA,Gold,2.20,"12,50,535",130.15,GOLD,2026-02-09
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,2.19,"19,21,576",16.30,SMALLCAP,2026-02-09
GOLDADD,DSP Gold ETF,2.18,"3,69,068",150.30,GOLD,2026-02-09
MOALPHA50,Nifty Alpha 50 Total Return Index,2.17,"18,022",50.46,ALPHA,2026-02-09
SETFGOLD,Gold,2.15,"1,56,41,927",131.89,GOLD,2026-02-09
MOMGF,Nifty India Manufacturing Total Return Index,2.10,"6,006",156.50,MANUFACTURING,2026-02-09
CHOICEGOLD,Gold,2.04,"40,965",154.00,GOLD,2026-02-09
GROWWGOLD,Commodity,2.03,"72,64,189",15.11,GOLD,2026-02-09
HDFCGOLD,Gold,2.02,"95,77,365",132.00,GOLD,2026-02-09
GROWWDEFNC,Nifty India Defence Index- Total Return Index,2.01,"4,12,684",79.03,DEFENCE,2026-02-09
