SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,1.88,"5,67,82,213",216.50,SILVER,2026-03-31
GOLDBEES,Gold,3.29,"7,25,14,040",121.40,GOLD,2026-03-31
NIFTYBEES,Nifty 50,-1.40,"2,71,27,660",255.26,NIFTY_50,2026-03-31
LIQUIDBEES,Government Securities,-,"64,07,847","1,000.01",LIQUID,2026-03-31
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,0.06,"3,68,65,656",113.43,LIQUID,2026-03-31
SETFGOLD,Gold,2.98,"2,46,63,289",125.04,GOLD,2026-03-31
TATSILV,Tata Silver Exchange Traded Fund,2.19,"10,08,11,349",21.97,SILVER,2026-03-31
GOLDIETF,Gold,3.50,"1,45,55,004",125.69,GOLD,2026-03-31
TATAGOLD,Tata Gold Exchange Traded Fund,2.90,"12,20,95,519",14.19,GOLD,2026-03-31
SILVERIETF,Domestic Price of Silver,2.10,"66,77,229",225.58,SILVER,2026-03-31
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,0.05,"13,03,990","1,097.90",LIQUID,2026-03-31
BANKBEES,Nifty Bank,-3.57,"26,93,476",521.00,NIFTY_BANK,2026-03-31
HDFCSILVER,HDFC Silver ETF,2.89,"59,28,662",217.35,SILVER,2026-03-31
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,-2.91,"75,14,257",144.00,SMALLCAP,2026-03-31
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,-1.68,"16,03,413",659.79,NIFTY_NEXT_50,2026-03-31
HDFCGOLD,Gold,2.89,"80,98,470",124.95,GOLD,2026-03-31
SETFNIF50,Nifty 50,-1.69,"40,17,439",240.49,NIFTY_50,2026-03-31
MODEFENCE,Nifty India Defence Total Return Index,-1.58,"1,12,88,163",79.00,DEFENCE,2026-03-31
SILVER,Physical price of Silver,1.92,"33,16,982",224.80,SILVER,2026-03-31
ITBEES,Nifty IT TRI,-1.63,"2,16,15,607",32.00,IT,2026-03-31
NIFTYIETF,Nifty 50,-1.81,"27,22,023",252.84,NIFTY_50,2026-03-31
AXISGOLD,Gold,3.09,"54,38,906",121.80,GOLD,2026-03-31
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF,0.05,"5,74,923","1,075.34",LIQUID,2026-03-31
TOP10ADD,Nifty Top 10 Equal Weight Index,4.19,"72,83,731",88.54,,2026-03-31
MID150BEES,Nifty Midcap 150 TRI,-2.39,"30,18,684",200.59,NIFTY_MIDCAP,2026-03-31
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,0.05,"5,32,290","1,120.08",LIQUID,2026-03-31
LIQUIDIETF,S&P BSE Liquid Rate Index,-,"5,94,039","1,000.00",LIQUID,2026-03-31
SBISILVER,SBI SILVER ETF,1.60,"26,36,561",221.50,SILVER,2026-03-31
PSUBNKBEES,Nifty PSU Bank,-4.54,"63,59,376",87.60,NIFTY_PSU_BANK,2026-03-31
