SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
HDFCNIFTY,Nifty 50,0.41,"69,817",287.40,NIFTY_50,2026-02-23
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,0.40,"12,82,119",42.30,SMALLCAP,2026-02-23
GROWWNXT50,Index,0.40,"23,137",69.99,,2026-02-23
NIFTYBEES,Nifty 50,0.40,"46,99,647",290.40,NIFTY_50,2026-02-23
SENSEXBETA,SENSEX,0.39,"2,442",914.00,SENSEX,2026-02-23
GROWWNIFTY,Nifty 50 Index - TRI,0.39,"2,85,098",10.34,NIFTY_50,2026-02-23
NIFTYCASE,Nifty Index 50 Index,0.39,"19,45,742",10.22,,2026-02-23
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,0.38,"4,03,423",52.26,MOMENTUM,2026-02-23
ENERGY,Nifty Energy,0.38,"10,83,297",36.90,ENERGY,2026-02-23
AONENIFTY,Nifty 50 Index,0.38,"2,20,352",10.52,NIFTY_50,2026-02-23
AXISNIFTY,Nifty 50,0.37,"15,075",282.41,NIFTY_50,2026-02-23
VAL30IETF,Nifty200 Value 30 Index,0.37,"5,11,029",16.20,VALUE,2026-02-23
TOP15IETF,Nifty Top 15 Equal Weight Index,0.37,"71,309",10.79,,2026-02-23
EQUAL200,BSE 200 Equal Weight,0.37,"97,880",13.46,QUALITY,2026-02-23
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,0.37,"7,80,878",16.10,SMALLCAP,2026-02-23
NIFTYADD,Nifty 50 Index,0.37,"4,578",268.40,NIFTY_50,2026-02-23
AXISVALUE,Nifty500 Value 50 TRI,0.33,"85,810",33.89,VALUE,2026-02-23
MSCIINDIA,MSCI India Index,0.33,"7,476",30.68,,2026-02-23
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,0.33,"48,956",64.00,MOMENTUM,2026-02-23
BANKADD,DSP Nifty Bank ETF,0.32,"30,717",62.59,NIFTY_BANK,2026-02-23
AONETMMQ50,Nifty Total Market Momentum Quality 50 TRI,0.31,"78,499",9.79,MOMENTUM,2026-02-23
MOMGF,Nifty India Manufacturing Total Return Index,0.31,721,156.37,MANUFACTURING,2026-02-23
NEXT50ETF,Nifty Next 50 Index,0.31,"21,441",70.14,NIFTY_NEXT_50,2026-02-23
NIFTYIETF,Nifty 50,0.30,"4,86,272",288.84,NIFTY_50,2026-02-23
MOIPO,BSE Select IPO Total Return Index,0.30,362,43.45,,2026-02-23
BBETF0432,Nifty BHARAT Bond Index - April 2032,0.29,"1,616","1,319.00",,2026-02-23
BANKIETF,Nifty Bank,0.29,"2,13,944",62.72,NIFTY_BANK,2026-02-23
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,0.29,"8,23,474",161.35,SMALLCAP,2026-02-23
NEXT30ADD,BSE SENSEX Next 30 Index,0.29,"17,860",41.38,SENSEX,2026-02-23
SETFNIFBK,Nifty Bank,0.27,"14,286",627.80,NIFTY_BANK,2026-02-23
TOP100CASE,Zerodha Nifty 100 ETF,0.27,"10,60,238",10.98,NIFTY_100,2026-02-23
CONSUMER,Nifty India New AgeConsumption,0.26,"1,08,245",11.42,FMCG,2026-02-23
NIFTYETF,Nifty 50,0.26,"58,615",277.36,NIFTY_50,2026-02-23
