SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,-4.14,"5,43,21,945",215.50,SILVER,2026-04-05
GOLDBEES,Gold,-2.08,"5,85,20,148",120.80,GOLD,2026-04-05
NIFTYBEES,Nifty 50,0.71,"2,19,18,815",259.29,NIFTY_50,2026-04-05
LIQUIDBEES,Government Securities,-,"48,70,565","1,000.01",LIQUID,2026-04-05
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,0.06,"3,86,13,392",113.49,LIQUID,2026-04-05
TATSILV,Tata Silver Exchange Traded Fund,-3.59,"12,48,79,656",22.04,SILVER,2026-04-05
GOLDIETF,Gold,-2.29,"1,31,95,765",124.60,GOLD,2026-04-05
HDFCSILVER,HDFC Silver ETF,-4.45,"72,21,846",215.59,SILVER,2026-04-05
SILVERIETF,Domestic Price of Silver,-3.38,"66,06,881",226.30,SILVER,2026-04-05
TATAGOLD,Tata Gold Exchange Traded Fund,-2.01,"9,88,19,013",14.16,GOLD,2026-04-05
HDFCGOLD,Gold,-2.10,"82,59,914",124.65,GOLD,2026-04-05
SETFGOLD,Gold,-2.19,"81,73,998",124.54,GOLD,2026-04-05
BANKBEES,Nifty Bank,-0.11,"19,38,226",532.83,NIFTY_BANK,2026-04-05
LIQUIDIETF,S&P BSE Liquid Rate Index,-,"9,55,036","1,000.00",LIQUID,2026-04-05
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,0.06,"7,64,638","1,098.51",LIQUID,2026-04-05
ITBEES,Nifty IT TRI,1.73,"2,21,54,853",33.48,IT,2026-04-05
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,0.05,"10,40,679",670.00,NIFTY_NEXT_50,2026-04-05
SILVER,Physical price of Silver,-3.91,"28,42,259",225.19,SILVER,2026-04-05
SETFNIF50,Nifty 50,0.47,"26,00,377",244.10,NIFTY_50,2026-04-05
SBISILVER,SBI SILVER ETF,-3.87,"26,75,522",221.01,SILVER,2026-04-05
GOLD1,Gold,-2.26,"43,90,628",121.42,GOLD,2026-04-05
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,-0.44,"36,60,084",148.47,SMALLCAP,2026-04-05
AXISGOLD,Gold,-2.80,"42,91,209",121.20,GOLD,2026-04-05
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,0.05,"4,17,990","1,120.66",LIQUID,2026-04-05
NIFTYIETF,Nifty 50,0.20,"17,19,012",256.50,NIFTY_50,2026-04-05
LIQUIDPLUS,Nifty 1D Rate Index,0.05,"3,88,645","1,079.68",LIQUID,2026-04-05
MID150BEES,Nifty Midcap 150 TRI,-1.31,"20,23,127",204.70,NIFTY_MIDCAP,2026-04-05
GOLDCASE,Zerodha Gold ETF,-0.98,"1,74,29,180",23.25,GOLD,2026-04-05
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF,0.07,"3,71,631","1,076.06",LIQUID,2026-04-05
MODEFENCE,Nifty India Defence Total Return Index,-0.50,"47,36,740",83.75,DEFENCE,2026-04-05
SILVERCASE,Commodity-Silver,-3.81,"1,57,14,623",22.99,SILVER,2026-04-05
PSUBNKBEES,Nifty PSU Bank,-0.52,"34,87,161",90.79,NIFTY_PSU_BANK,2026-04-05
GOLDADD,DSP Gold ETF,0.57,"21,60,044",145.40,GOLD,2026-04-05
MON100,Nasdaq100,0.18,"12,72,827",239.00,NASDAQ,2026-04-05
PSUBANK,Nifty PSU Bank,-0.87,"3,14,787",809.45,NIFTY_PSU_BANK,2026-04-05
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,-,"2,39,164","1,000.00",LIQUID,2026-04-05
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),-4.39,"9,82,628",217.31,SILVER,2026-04-05
GOLDETF,Mirae Asset Gold ETF,-1.42,"13,55,155",141.80,GOLD,2026-04-05
CASHIETF,BSE Liquid Rate Index,0.05,"1,71,537","1,056.54",LIQUID,2026-04-05
HDFCNIFTY,Nifty 50,-0.62,"7,00,577",253.25,NIFTY_50,2026-04-05
PHARMABEES,Nifty Pharma TRI,0.49,"77,96,398",22.40,HEALTHCARE,2026-04-05
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,0.05,"1,56,398","1,055.00",LIQUID,2026-04-05
PVTBANIETF,Nifty Private Bank Index,-0.84,"64,46,448",24.92,NIFTY_BANK,2026-04-05
CPSEETF,CPSE ETF,-0.75,"15,55,534",100.76,PSU,2026-04-05
NIFTYBETA,Nifty 50,0.10,"6,18,043",249.79,NIFTY_50,2026-04-05
NEXT50IETF,Nifty Next 50,-0.18,"23,41,823",65.45,NIFTY_NEXT_50,2026-04-05
SILVERADD,DSP Silver ETF,-4.09,"6,83,993",217.35,SILVER,2026-04-05
SILVER1,Kotak Silver ETF,-3.87,"67,75,692",21.85,SILVER,2026-04-05
SETFNIFBK,Nifty Bank,-0.05,"2,75,879",528.65,NIFTY_BANK,2026-04-05
ALPHA,NIFTY Alpha 50 Index,-1.29,"33,61,602",43.50,ALPHA,2026-04-05
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,-0.10,"37,41,749",38.99,SMALLCAP,2026-04-05
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,-0.39,"70,79,001",20.20,NIFTY_MIDCAP,2026-04-05
AXISILVER,Axis Silver ETF,-3.71,"6,20,035",224.60,SILVER,2026-04-05
NIFTY1,Nifty 50,-0.14,"5,60,833",250.58,NIFTY_50,2026-04-05
GOLDBETA,Gold,-1.80,"11,21,006",122.80,GOLD,2026-04-05
BSLNIFTY,Nifty 50,0.08,"52,18,863",26.37,NIFTY_50,2026-04-05
METALIETF,Nifty Metal Index,0.79,"1,11,74,048",11.55,METAL,2026-04-05
NIFTYETF,Nifty 50,0.01,"5,08,955",245.27,NIFTY_50,2026-04-05
ESILVER,Edelweiss Silver ETF,-3.21,"5,11,319",226.65,SILVER,2026-04-05
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,0.17,"20,83,754",46.98,MOMENTUM,2026-04-05
EBBETF0430,Nifty BHARAT Bond,-0.01,"59,292","1,552.01",,2026-04-05
LIQUIDETF,Nifty1D rate index,-,"85,795","1,000.01",LIQUID,2026-04-05
BANKNIFTY1,Nifty Bank,0.68,"16,19,265",53.48,NIFTY_BANK,2026-04-05
MOREALTY,Motilal Oswal Nifty Realty ETF,0.99,"12,26,625",67.17,REALTY,2026-04-05
SILVERAG,Mirae Asset Silver ETF,-3.86,"3,63,751",219.17,SILVER,2026-04-05
FMCGIETF,Nifty FMCG Index,0.94,"15,99,890",49.60,FMCG,2026-04-05
GROWWSLVR,Commodity-Silver,-3.44,"33,28,925",22.19,SILVER,2026-04-05
AUTOBEES,Nifty Auto TRI,0.24,"2,99,597",249.45,AUTO,2026-04-05
BANKIETF,Nifty Bank,0.17,"14,10,464",52.98,NIFTY_BANK,2026-04-05
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index,-0.20,"29,83,562",24.90,ALPHA,2026-04-05
HNGSNGBEES,Hang Seng Index,-0.74,"1,51,188",478.00,,2026-04-05
HDFCMID150,HDFC NIFTY Midcap 150 ETF,-1.08,"36,44,777",20.08,NIFTY_MIDCAP,2026-04-05
MOM100,Nifty Midcap 100,-1.23,"12,42,933",57.90,NIFTY_MIDCAP,2026-04-05
ICICIB22,S&P BSE BHARAT 22 index,-0.57,"6,09,745",115.98,,2026-04-05
MIDCAPIETF,Nifty Midcap 150,-1.73,"32,87,451",20.48,NIFTY_MIDCAP,2026-04-05
GROWWGOLD,Commodity,-2.33,"45,40,288",14.25,GOLD,2026-04-05
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,0.10,"32,76,726",19.33,QUALITY,2026-04-05
AXISNIFTY,Nifty 50,0.20,"2,54,322",250.45,NIFTY_50,2026-04-05
GROWWLIQID,Nifty 1D Rate Index,0.06,"5,67,846",108.52,LIQUID,2026-04-05
MAFANG,NYSE FANG+ Total Return Index,3.20,"3,96,893",154.53,,2026-04-05
EBBETF0433,BHARAT Bond ETF-April 2033,-0.51,"48,450","1,256.20",,2026-04-05
LTGILTBEES,NIFTY 8-13 yr G-Sec Index,-0.38,"20,15,817",28.79,GSEC,2026-04-05
SETFNN50,Nifty Next 50,1.44,"85,974",664.98,NIFTY_50,2026-04-05
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,-,"36,13,975",14.89,SMALLCAP,2026-04-05
TOP10ADD,Nifty Top 10 Equal Weight Index,-0.69,"6,16,744",86.10,,2026-04-05
NIFTYCASE,Nifty Index 50 Index,-0.33,"57,24,473",9.04,,2026-04-05
AONELIQUID,Nifty 1D Rate Index,0.05,"47,255","1,053.93",LIQUID,2026-04-05
GROWWDEFNC,Nifty India Defence Index- Total Return Index,-0.31,"6,36,518",76.27,DEFENCE,2026-04-05
METAL,Nifty Metal Total Return Index,0.61,"41,87,575",11.54,METAL,2026-04-05
MONIFTY500,Motilal Oswal Nifty 500 ETF,-0.93,"22,32,875",21.33,NIFTY_50,2026-04-05
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,-0.46,"16,72,364",28.16,MOMENTUM,2026-04-05
SENSEXIETF,SENSEX,0.23,"52,984",841.00,SENSEX,2026-04-05
LIQGRWBEES,Liquid,0.05,"42,204","1,034.30",LIQUID,2026-04-05
BBNPPGOLD,Baroda BNP Paribas Gold ETF,-2.11,"2,96,889",141.55,GOLD,2026-04-05
NEXT50,Nifty Next 50,0.29,"66,233",637.90,NIFTY_NEXT_50,2026-04-05
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,-0.98,"6,09,716",63.79,GSEC,2026-04-05
LICMFGOLD,Gold,-1.87,"2,92,703",130.95,GOLD,2026-04-05
MID150CASE,Zerodha Nifty Midcap 150 ETF,-0.30,"38,66,789",9.93,NIFTY_MIDCAP,2026-04-05
PVTBANKADD,DSP Nifty Private Bank ETF,3.88,"15,02,105",26.00,NIFTY_PRIVATE_BANK,2026-04-05
NIF100BEES,Nifty 100 TRI,-0.38,"1,50,073",246.55,NIFTY_100,2026-04-05
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,0.67,"4,09,312",89.60,INFRASTRUCTURE,2026-04-05
MASPTOP50,S&P 500 Top 50 Total Return Index,3.15,"4,97,820",69.51,,2026-04-05
INFRABEES,Nifty Infra,-0.57,"37,273",895.01,INFRASTRUCTURE,2026-04-05
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,-0.09,"7,43,776",44.15,SMALLCAP,2026-04-05
MONQ50,Nasdaq Q-50 Total Return Index,4.58,"2,82,063",109.32,NASDAQ,2026-04-05
ITIETF,Nifty IT Index,2.01,"9,09,195",33.48,IT,2026-04-05
NIFTYADD,Nifty 50 Index,-0.05,"1,28,424",238.44,NIFTY_50,2026-04-05
BSLGOLDETF,Gold,-2.11,"2,29,637",127.78,GOLD,2026-04-05
MOCAPITAL,Nifty Capital Market Total Return Index,-0.27,"6,66,231",44.50,IT,2026-04-05
EBBETF0431,Nifty BHARAT Bond,-0.24,"21,073","1,380.31",,2026-04-05
SBILIQETF,Nifty 1D Rate Index,0.06,"27,537","1,033.53",LIQUID,2026-04-05
QGOLDHALF,Gold,-2.22,"2,30,899",121.00,GOLD,2026-04-05
BANKBETA,Nifty Bank,-3.33,"5,23,870",53.16,NIFTY_BANK,2026-04-05
HEALTHIETF,Nifty Healthcare Index,2.51,"1,82,095",148.00,HEALTHCARE,2026-04-05
HDFCNIFBAN,Nifty Bank,0.06,"4,72,906",52.92,NIFTY_BANK,2026-04-05
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,0.25,"8,22,843",28.40,FINANCIAL_SERVICES,2026-04-05
PSUBANKADD,DSP Nifty PSU Bank ETF,-0.02,"2,80,767",81.89,NIFTY_PSU_BANK,2026-04-05
LOWVOLIETF,Nifty 100 Low Volatility 30 Index,0.54,"10,91,820",20.33,LOW_VOLATILITY,2026-04-05
SML100CASE,Nifty Smallcap 100 Index,-0.11,"25,10,088",8.88,SMALLCAP,2026-04-05
CONSUMBEES,Nifty India Consumption TRI,0.49,"1,81,366",117.47,FMCG,2026-04-05
TOP100CASE,Zerodha Nifty 100 ETF,0.62,"21,19,780",9.76,NIFTY_100,2026-04-05
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,-1.82,"1,89,578",106.54,VALUE,2026-04-05
HDFCSENSEX,SENSEX,-0.25,"2,46,243",82.78,SENSEX,2026-04-05
