SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
BSLGOLDETF,Gold,14.05,"30,33,171",151.38,GOLD,2026-01-21
AXISGOLD,Gold,11.07,"68,97,490",141.00,GOLD,2026-01-21
IVZINGOLD,Gold,10.79,"3,386","14,260.00",GOLD,2026-01-21
GOLDADD,DSP Gold ETF,10.57,"22,29,428",161.69,GOLD,2026-01-21
SILVER,Physical price of Silver,10.07,"1,13,95,250",340.05,SILVER,2026-01-21
GOLDCASE,Zerodha Gold ETF,9.64,"6,66,33,699",26.05,GOLD,2026-01-21
LICMFGOLD,Gold,9.11,"9,133","14,798.00",GOLD,2026-01-21
TATSILV,Tata Silver Exchange Traded Fund,8.59,"82,44,01,448",34.00,SILVER,2026-01-21
EGOLD,Edelweiss Gold ETF,7.89,"6,22,867",161.30,GOLD,2026-01-21
GOLDETF,Mirae Asset Gold ETF,7.86,"82,43,415",158.82,GOLD,2026-01-21
AONEGOLD,Domestic price of Gold,7.86,"76,23,574",15.10,GOLD,2026-01-21
GOLD1,Gold,7.85,"1,37,12,266",134.59,GOLD,2026-01-21
HDFCGOLD,Gold,7.72,"3,66,45,477",139.39,GOLD,2026-01-21
GOLDBEES,Gold,7.58,"24,87,55,481",135.40,GOLD,2026-01-21
MOGOLD,Domestic Price of Physical Gold,7.45,"23,70,524",156.45,GOLD,2026-01-21
SETFGOLD,Gold,7.34,"2,54,16,088",139.00,GOLD,2026-01-21
BBNPPGOLD,Baroda BNP Paribas Gold ETF,7.25,"2,20,279",154.50,GOLD,2026-01-21
GOLDBND,Commodity - Gold,7.24,"2,21,776",161.18,GOLD,2026-01-21
GOLDIETF,Gold,7.22,"5,22,76,383",137.75,GOLD,2026-01-21
GOLDBETA,Gold,6.74,"42,86,041",137.00,GOLD,2026-01-21
QGOLDHALF,Gold,6.39,"5,16,138",132.00,GOLD,2026-01-21
ELM250,Nifty LargeMidcap 250 TRI,5.79,"8,31,447",17.17,NIFTY_MIDCAP,2026-01-21
TATAGOLD,Tata Gold Exchange Traded Fund,4.94,"85,96,78,939",16.14,GOLD,2026-01-21
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,4.81,"15,58,57,367",311.95,SILVER,2026-01-21
TWCGOLDETF,Commodity,4.63,"29,153",157.85,GOLD,2026-01-21
GROWWGOLD,Commodity,4.61,"38,87,262",154.00,GOLD,2026-01-21
UNIONGOLD,Commodity Gold,4.53,"1,79,222",154.50,GOLD,2026-01-21
SILVERCASE,Commodity-Silver,4.51,"7,34,32,036",32.90,SILVER,2026-01-21
AXISILVER,Axis Silver ETF,4.28,"22,42,859",322.00,SILVER,2026-01-21
