SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,-1.00,"3,72,01,465",220.15,SILVER,2026-04-08
GOLDBEES,Gold,-0.87,"3,63,28,914",121.74,GOLD,2026-04-08
NIFTYBEES,Nifty 50,0.53,"1,10,36,818",261.64,NIFTY_50,2026-04-08
LIQUIDBEES,Government Securities,-,"25,81,350","1,000.01",LIQUID,2026-04-08
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,0.02,"1,83,72,351",113.51,LIQUID,2026-04-08
TATSILV,Tata Silver Exchange Traded Fund,-0.80,"8,00,11,080",22.40,SILVER,2026-04-08
TATAGOLD,Tata Gold Exchange Traded Fund,-0.69,"8,32,00,037",14.29,GOLD,2026-04-08
SETFGOLD,Gold,-0.95,"80,28,377",125.50,GOLD,2026-04-08
SILVERIETF,Domestic Price of Silver,-1.00,"40,13,282",229.80,SILVER,2026-04-08
GOLDIETF,Gold,-0.92,"69,63,101",126.10,GOLD,2026-04-08
HDFCSILVER,HDFC Silver ETF,-0.91,"38,28,656",220.85,SILVER,2026-04-08
BANKBEES,Nifty Bank,0.21,"12,62,464",544.50,NIFTY_BANK,2026-04-08
HDFCGOLD,Gold,-0.84,"51,77,061",125.76,GOLD,2026-04-08
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,0.01,"5,68,348","1,120.94",LIQUID,2026-04-08
ITBEES,Nifty IT TRI,2.40,"1,81,85,030",34.60,IT,2026-04-08
SILVER,Physical price of Silver,-1.04,"22,65,941",229.64,SILVER,2026-04-08
AXISGOLD,Gold,-0.99,"40,19,734",122.61,GOLD,2026-04-08
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,0.81,"32,47,304",151.20,SMALLCAP,2026-04-08
SETFNIF50,Nifty 50,0.77,"18,72,433",247.98,NIFTY_50,2026-04-08
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,0.32,"6,14,444",679.00,NIFTY_NEXT_50,2026-04-08
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,0.01,"3,59,873","1,098.79",LIQUID,2026-04-08
NIFTYBETA,Nifty 50,0.76,"13,97,580",254.76,NIFTY_50,2026-04-08
AXISILVER,Axis Silver ETF,-0.36,"14,43,797",229.80,SILVER,2026-04-08
SBISILVER,SBI SILVER ETF,-0.99,"14,16,876",225.60,SILVER,2026-04-08
LIQUIDIETF,S&P BSE Liquid Rate Index,-,"3,11,802",999.99,LIQUID,2026-04-08
GOLD1,Gold,-0.85,"25,34,875",123.00,GOLD,2026-04-08
SILVERADD,DSP Silver ETF,-0.99,"13,62,201",221.78,SILVER,2026-04-08
GOLDCASE,Zerodha Gold ETF,-0.77,"1,29,54,006",23.17,GOLD,2026-04-08
GOLDADD,DSP Gold ETF,-0.96,"20,42,138",143.00,GOLD,2026-04-08
CASHIETF,BSE Liquid Rate Index,0.01,"2,68,103","1,056.79",LIQUID,2026-04-08
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF,0.01,"2,31,257","1,076.36",LIQUID,2026-04-08
PSUBNKBEES,Nifty PSU Bank,-0.94,"27,12,129",91.78,NIFTY_PSU_BANK,2026-04-08
NIFTYIETF,Nifty 50,0.45,"9,07,332",260.40,NIFTY_50,2026-04-08
MON100,Nasdaq100,1.09,"8,82,888",244.81,NASDAQ,2026-04-08
MODEFENCE,Nifty India Defence Total Return Index,0.66,"25,22,381",85.42,DEFENCE,2026-04-08
SILVERCASE,Commodity-Silver,-0.85,"90,44,083",23.38,SILVER,2026-04-08
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,-,"2,01,841","1,000.00",LIQUID,2026-04-08
MOGOLD,Domestic Price of Physical Gold,0.21,"13,66,808",146.00,GOLD,2026-04-08
MID150BEES,Nifty Midcap 150 TRI,0.58,"8,45,387",209.00,NIFTY_MIDCAP,2026-04-08
ICICIB22,S&P BSE BHARAT 22 index,0.40,"14,27,860",118.08,,2026-04-08
LIQUIDPLUS,Nifty 1D Rate Index,0.01,"1,53,614","1,079.91",LIQUID,2026-04-08
CPSEETF,CPSE ETF,0.60,"16,04,257",102.31,PSU,2026-04-08
GOLDBETA,Gold,-0.56,"11,06,855",124.00,GOLD,2026-04-08
GOLDETF,Mirae Asset Gold ETF,-0.84,"9,39,182",143.17,GOLD,2026-04-08
NEXT50,Nifty Next 50,0.40,"1,94,071",650.52,NIFTY_NEXT_50,2026-04-08
METALIETF,Nifty Metal Index,1.63,"1,02,48,867",11.82,METAL,2026-04-08
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),-0.97,"5,16,028",222.15,SILVER,2026-04-08
NIFTYETF,Nifty 50,0.53,"4,41,060",249.98,NIFTY_50,2026-04-08
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,0.05,"25,09,089",39.63,SMALLCAP,2026-04-08
SILVER1,Kotak Silver ETF,-0.71,"42,22,621",22.37,SILVER,2026-04-08
LIQUIDETF,Nifty1D rate index,-,"93,320","1,000.00",LIQUID,2026-04-08
ITIETF,Nifty IT Index,2.16,"27,03,262",34.49,IT,2026-04-08
HNGSNGBEES,Hang Seng Index,5.43,"1,77,860",510.00,,2026-04-08
AUTOBEES,Nifty Auto TRI,-0.10,"3,44,912",250.45,AUTO,2026-04-08
EQUAL50ADD,NIFTY 50 Equal Weight Index,1.04,"2,59,100",320.00,QUALITY,2026-04-08
PSUBANK,Nifty PSU Bank,-0.62,"96,943",825.50,NIFTY_PSU_BANK,2026-04-08
PHARMABEES,Nifty Pharma TRI,0.18,"35,17,735",22.48,HEALTHCARE,2026-04-08
NIFTY1,Nifty 50,0.33,"3,10,273",254.30,NIFTY_50,2026-04-08
ALPHA,NIFTY Alpha 50 Index,0.56,"15,04,867",44.69,ALPHA,2026-04-08
BANKIETF,Nifty Bank,0.39,"12,20,744",54.13,NIFTY_BANK,2026-04-08
SILVERAG,Mirae Asset Silver ETF,-0.97,"2,88,158",224.00,SILVER,2026-04-08
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,-,"28,19,319",20.52,NIFTY_MIDCAP,2026-04-08
GROWWPOWER,BSE Power Index - TRI,0.58,"55,82,533",10.36,,2026-04-08
LIQGRWBEES,Liquid,0.01,"55,131","1,034.53",LIQUID,2026-04-08
GROWWSLVR,Commodity-Silver,-0.79,"24,52,393",22.57,SILVER,2026-04-08
LTGILTBEES,NIFTY 8-13 yr G-Sec Index,0.35,"18,02,494",28.92,GSEC,2026-04-08
METAL,Nifty Metal Total Return Index,1.37,"43,41,366",11.83,METAL,2026-04-08
AONELIQUID,Nifty 1D Rate Index,0.01,"48,084","1,054.22",LIQUID,2026-04-08
MOREALTY,Motilal Oswal Nifty Realty ETF,1.60,"6,93,397",69.88,REALTY,2026-04-08
FMCGIETF,Nifty FMCG Index,0.90,"9,49,095",50.35,FMCG,2026-04-08
LOWVOLIETF,Nifty 100 Low Volatility 30 Index,1.27,"22,49,652",20.80,LOW_VOLATILITY,2026-04-08
NEXT50IETF,Nifty Next 50,0.38,"6,82,824",66.57,NIFTY_NEXT_50,2026-04-08
GROWWGOLD,Commodity,-0.96,"29,98,796",14.37,GOLD,2026-04-08
SETFNIFBK,Nifty Bank,-0.10,"73,805",539.00,NIFTY_BANK,2026-04-08
EBBETF0433,BHARAT Bond ETF-April 2033,-0.97,"30,732","1,256.00",,2026-04-08
BANKNIFTY1,Nifty Bank,0.31,"6,74,854",54.66,NIFTY_BANK,2026-04-08
ITETF,Mirae Asset Nifty IT ETF,2.39,"10,20,818",33.02,IT,2026-04-08
VAL30IETF,Nifty200 Value 30 Index,0.68,"21,70,495",14.90,VALUE,2026-04-08
PVTBANIETF,Nifty Private Bank Index,0.51,"12,39,355",25.57,NIFTY_BANK,2026-04-08
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,-0.20,"20,71,579",14.94,SMALLCAP,2026-04-08
HDFCNIFTY,Nifty 50,0.99,"1,16,321",260.00,NIFTY_50,2026-04-08
EBBETF0430,Nifty BHARAT Bond,-0.24,"19,218","1,551.30",,2026-04-08
MIDCAPIETF,Nifty Midcap 150,0.19,"14,07,487",20.81,NIFTY_MIDCAP,2026-04-08
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,-0.08,"6,07,193",47.40,MOMENTUM,2026-04-08
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,0.14,"9,70,530",28.80,MOMENTUM,2026-04-08
GROWWDEFNC,Nifty India Defence Index- Total Return Index,0.81,"3,56,415",78.00,DEFENCE,2026-04-08
NIF100BEES,Nifty 100 TRI,0.07,"1,08,905",249.60,NIFTY_100,2026-04-08
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,-0.13,"6,03,689",44.90,SMALLCAP,2026-04-08
BSE500IETF,S&P BSE 500 index,0.64,"7,32,372",36.05,,2026-04-08
MOM100,Nifty Midcap 100,0.29,"4,27,182",58.92,NIFTY_MIDCAP,2026-04-08
MONIFTY500,Motilal Oswal Nifty 500 ETF,0.37,"10,56,280",21.73,NIFTY_50,2026-04-08
IT,NIFTY IT Index,2.02,"6,46,415",34.38,IT,2026-04-08
SETFNN50,Nifty Next 50,0.76,"30,719",677.75,NIFTY_50,2026-04-08
AUTOIETF,Nifty Auto Index,0.36,"7,63,744",25.17,AUTO,2026-04-08
ENERGY,Nifty Energy,0.53,"5,18,950",35.73,ENERGY,2026-04-08
QGOLDHALF,Gold,-0.93,"1,50,931",121.88,GOLD,2026-04-08
BANKBETA,Nifty Bank,0.22,"3,39,349",54.44,NIFTY_BANK,2026-04-08
OILIETF,Nifty Oil & Gas Index,0.64,"16,17,788",10.94,ENERGY,2026-04-08
SENSEXIETF,SENSEX,0.93,"20,632",853.50,SENSEX,2026-04-08
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,0.11,"2,70,069",63.84,GSEC,2026-04-08
BSLGOLDETF,Gold,-1.16,"1,31,892",129.15,GOLD,2026-04-08
HDFCNIFIT,HDFC NIFTY IT ETF,-,"5,02,620",32.52,IT,2026-04-08
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,-0.70,"1,95,867",83.64,NIFTY_PSU_BANK,2026-04-08
EBBETF0431,Nifty BHARAT Bond,-0.61,"11,767","1,383.00",,2026-04-08
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,-0.22,"6,79,761",23.00,ALPHA,2026-04-08
MID150CASE,Zerodha Nifty Midcap 150 ETF,0.80,"15,54,154",10.14,NIFTY_MIDCAP,2026-04-08
AXISNIFTY,Nifty 50,0.35,"61,030",253.84,NIFTY_50,2026-04-08
BANKADD,DSP Nifty Bank ETF,-0.37,"2,79,665",53.61,NIFTY_BANK,2026-04-08
BSLNIFTY,Nifty 50,0.63,"5,55,024",26.97,NIFTY_50,2026-04-08
MOCAPITAL,Nifty Capital Market Total Return Index,-0.28,"3,21,830",45.60,IT,2026-04-08
ESILVER,Edelweiss Silver ETF,-,"63,460",231.99,SILVER,2026-04-08
SMALL250,Nifty Smallcap 250,0.20,"9,72,645",14.92,SMALLCAP,2026-04-08
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index,1.23,"5,50,381",25.50,ALPHA,2026-04-08
GROWWMETAL,Nifty Metal Index,1.91,"12,24,459",11.19,METAL,2026-04-08
