SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SBIBPB,BSE PSU Bank Index TRI,2.26,"40,717",52.14,NIFTY_BANK,2026-01-22
MOIPO,BSE Select IPO Total Return Index,2.15,66,43.30,,2026-01-22
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,2.13,"1,45,417",90.51,NIFTY_PSU_BANK,2026-01-22
PSUBANKADD,DSP Nifty PSU Bank ETF,2.12,"35,208",90.24,NIFTY_PSU_BANK,2026-01-22
PSUBANK,Nifty PSU Bank,2.10,"27,189",893.09,NIFTY_PSU_BANK,2026-01-22
GROWWDEFNC,Nifty India Defence Index- Total Return Index,2.08,"1,88,749",76.11,DEFENCE,2026-01-22
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,2.07,"8,327",90.30,NIFTY_PSU_BANK,2026-01-22
BANKPSU,Nifty PSU Bank Total Return Index,2.07,"21,686",90.10,PSU,2026-01-22
MOCAPITAL,Nifty Capital Market Total Return Index,1.99,"2,41,162",46.07,IT,2026-01-22
MON100,Nasdaq100,1.98,"4,28,005",230.98,NASDAQ,2026-01-22
GROWWLOVOL,Nifty 500 Low Volatility 50 Index   TRI,1.93,"14,993",10.58,NIFTY_50,2026-01-22
GROWWCAPM,Nifty Capital Markets Index,1.89,"1,43,524",9.69,,2026-01-22
PSUBNKBEES,Nifty PSU Bank,1.88,"23,70,573",99.65,NIFTY_PSU_BANK,2026-01-22
MODEFENCE,Nifty India Defence Total Return Index,1.87,"21,44,092",83.41,DEFENCE,2026-01-22
CPSEETF,CPSE ETF,1.79,"19,30,910",93.16,PSU,2026-01-22
PHARMABEES,Nifty Pharma TRI,1.67,"11,96,659",22.50,HEALTHCARE,2026-01-22
GROWWPOWER,BSE Power Index - TRI,1.64,"1,87,963",9.30,,2026-01-22
MOPSE,Nifty PSE Total Return Index,1.55,798,98.76,,2026-01-22
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,1.48,"27,549",117.54,VALUE,2026-01-22
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index,1.48,"37,578",10.26,NIFTY_50,2026-01-22
GROWWSC250,Nifty Smallcap 250 Index - TRI,1.46,"57,243",9.02,SMALLCAP,2026-01-22
IVZINNIFTY,Nifty 50,1.41,25,"2,897.66",NIFTY_50,2026-01-22
ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF,1.41,"43,826",10.06,,2026-01-22
HEALTHIETF,Nifty Healthcare Index,1.39,"25,685",144.51,HEALTHCARE,2026-01-22
HEALTHADD,DSP Nifty Healthcare ETF,1.38,"2,150",142.07,HEALTHCARE,2026-01-22
MID150,Nifty Midcap 150 Index,1.36,"14,784",21.69,NIFTY_MIDCAP,2026-01-22
GROWWCHEM,Nifty Chemicals Index - TRI,1.36,"23,880",27.49,,2026-01-22
GROWWNXT50,Index,1.36,"3,824",67.70,,2026-01-22
MOINFRA,BSE India Infrastructure Total Return Index,1.36,"1,245",57.27,INFRASTRUCTURE,2026-01-22
VAL30IETF,Nifty200 Value 30 Index,1.34,"29,793",15.14,VALUE,2026-01-22
AXISVALUE,Nifty500 Value 50 TRI,1.34,"15,701",31.76,VALUE,2026-01-22
MOMIDMTM,Nifty Midcap 150 Momentum 50 Total Return Index,1.32,"31,594",60.86,NIFTY_MIDCAP,2026-01-22
MIDCAPADD,Nifty Midcap 150 Index,1.32,763,21.44,NIFTY_MIDCAP,2026-01-22
GROWWRAIL,Nifty India Railways PSU Index,1.31,"4,53,594",33.20,PSU,2026-01-22
AUTOBEES,Nifty Auto TRI,1.28,"98,720",278.90,AUTO,2026-01-22
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,1.27,"57,718",61.99,MOMENTUM,2026-01-22
MIDSELIETF,S&P BSE Midcap Select Index,1.25,"53,886",17.76,NIFTY_MIDCAP,2026-01-22
MID150CASE,Zerodha Nifty Midcap 150 ETF,1.23,"10,14,102",10.69,NIFTY_MIDCAP,2026-01-22
AONETOTAL,Nifty Total Market Index,1.22,"1,68,154",11.63,TOTAL_MARKET,2026-01-22
MAKEINDIA,Nifty India Manufacturing Total Return Index,1.22,"4,097",151.30,MANUFACTURING,2026-01-22
MANUFGBEES,Nifty India Manufacturing TRI,1.22,"1,481",149.56,MANUFACTURING,2026-01-22
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,1.22,"23,991",42.44,HEALTHCARE,2026-01-22
NEXT50,Nifty Next 50,1.21,"5,219",693.65,NIFTY_NEXT_50,2026-01-22
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,1.21,"20,862",68.78,NIFTY_NEXT_50,2026-01-22
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,1.20,"18,809",21.88,IT,2026-01-22
ITBETA,UTI Nifty IT ETF,1.19,408,400.49,IT,2026-01-22
AONETMMQ50,Nifty Total Market Momentum Quality 50 TRI,1.18,"15,941",9.42,MOMENTUM,2026-01-22
MIDCAP,Nifty Midcap 50 Index,1.17,"35,574",169.92,NIFTY_MIDCAP,2026-01-22
MOM100,Nifty Midcap 100,1.16,"3,14,335",62.55,NIFTY_MIDCAP,2026-01-22
ITADD,DSP Nifty IT ETF,1.15,"1,460",40.35,IT,2026-01-22
MIDCAPIETF,Nifty Midcap 150,1.15,"4,16,895",22.05,NIFTY_MIDCAP,2026-01-22
AXISHCETF,Nifty Healthcare Index,1.15,"2,482",143.07,HEALTHCARE,2026-01-22
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF,1.13,"4,334",21.51,LOW_VOLATILITY,2026-01-22
SNXT30BEES,BSE Sensex Next 30 Index,1.13,"11,438",40.10,SENSEX,2026-01-22
SETFNN50,Nifty Next 50,1.12,"18,822",720.20,NIFTY_50,2026-01-22
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,1.11,"10,67,437",21.77,NIFTY_MIDCAP,2026-01-22
MID150BEES,Nifty Midcap 150 TRI,1.11,"2,11,879",220.47,NIFTY_MIDCAP,2026-01-22
SBIETFQLTY,Nifty 200 Quality 30 Index,1.10,"3,030",227.88,QUALITY,2026-01-22
AXISCETF,NIFTY India Consumption Index,1.09,"4,604",120.95,FMCG,2026-01-22
AUTOIETF,Nifty Auto Index,1.09,"1,20,269",27.92,AUTO,2026-01-22
ABSLNN50ET,Nifty Next 50,1.09,"3,305",70.72,NIFTY_50,2026-01-22
COMMOIETF,ICICI Prudential Nifty Commodities ETF,1.08,"25,443",96.00,COMMODITIES,2026-01-22
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,1.08,"1,03,337",24.42,ALPHA,2026-01-22
TECH,Nifty IT TRI Index,1.07,"34,332",41.44,IT,2026-01-22
FLEXIADD,Nifty500 Flexicap Quality 30 TRI,1.06,"32,927",10.52,NIFTY_50,2026-01-22
NEXT50BETA,Nifty Next 50,1.06,"17,476",72.58,NIFTY_NEXT_50,2026-01-22
HDFCNIF100,HDFC NIFTY 100 ETF,1.06,"7,869",26.64,NIFTY_100,2026-01-22
MIDQ50ADD,Nifty Midcap 150 Quality 50 Index,1.05,"3,012",237.57,NIFTY_MIDCAP,2026-01-22
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,1.05,"35,630",30.88,MOMENTUM,2026-01-22
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,1.05,"1,52,739",31.66,FINANCIAL_SERVICES,2026-01-22
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,1.04,"1,19,292",50.64,MOMENTUM,2026-01-22
NEXT50IETF,Nifty Next 50,1.04,"2,42,170",70.99,NIFTY_NEXT_50,2026-01-22
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,1.03,"1,10,628",46.20,SMALLCAP,2026-01-22
MOENERGY,Nifty Energy Index,1.02,"21,976",33.82,ENERGY,2026-01-22
