SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
TATSILV,Tata Silver Exchange Traded Fund,9.86,"75,08,57,711",32.54,SILVER,2026-01-27
HDFCSILVER,HDFC Silver ETF,9.84,"2,35,06,500",323.00,SILVER,2026-01-27
SILVERAG,Mirae Asset Silver ETF,9.82,"19,39,724",327.34,SILVER,2026-01-27
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),9.14,"52,80,142",323.90,SILVER,2026-01-27
SBISILVER,SBI SILVER ETF,9.07,"1,28,75,544",329.00,SILVER,2026-01-27
AXISILVER,Axis Silver ETF,8.99,"33,32,707",332.20,SILVER,2026-01-27
SILVERIETF,Domestic Price of Silver,8.82,"3,87,01,574",333.60,SILVER,2026-01-27
GROWWSLVR,Commodity-Silver,8.80,"33,82,103",327.62,SILVER,2026-01-27
SILVERCASE,Commodity-Silver,8.71,"8,90,12,276",33.95,SILVER,2026-01-27
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,8.63,"22,32,75,742",317.98,SILVER,2026-01-27
SILVERADD,DSP Silver ETF,8.60,"18,55,301",324.00,SILVER,2026-01-27
MOSILVER,Domestic Price of Physical Silver,8.42,"3,33,852",333.45,SILVER,2026-01-27
SILVER,Physical price of Silver,8.40,"1,38,96,026",332.00,SILVER,2026-01-27
SILVER1,Kotak Silver ETF,7.17,"60,06,062",324.00,SILVER,2026-01-27
SILVERBND,Commodity - Silver,6.84,"5,10,337",333.00,SILVER,2026-01-27
ESILVER,Edelweiss Silver ETF,6.79,"6,51,225",334.11,SILVER,2026-01-27
SILVER360,Commodity-Silver,6.16,"4,37,955",326.10,SILVER,2026-01-27
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,4.82,"1,30,097",31.95,MOMENTUM,2026-01-27
EGOLD,Edelweiss Gold ETF,4.34,"12,45,522",161.00,GOLD,2026-01-27
GROWWN200,Nifty 200 Index- Total Return Index,4.28,"1,08,113",11.69,NIFTY_200,2026-01-27
