SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,1.63,"1,33,92,603",219.46,SILVER,2026-04-06
GOLDBEES,Gold,1.00,"1,49,41,411",121.78,GOLD,2026-04-06
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,0.02,"1,55,85,733",113.50,LIQUID,2026-04-06
NIFTYBEES,Nifty 50,-0.36,"68,79,183",256.69,NIFTY_50,2026-04-06
LIQUIDBEES,Government Securities,-,"11,58,456","1,000.00",LIQUID,2026-04-06
TATSILV,Tata Silver Exchange Traded Fund,1.50,"2,84,00,261",22.32,SILVER,2026-04-06
GOLDIETF,Gold,1.35,"44,77,668",126.17,GOLD,2026-04-06
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,0.12,"7,44,276",669.59,NIFTY_NEXT_50,2026-04-06
TATAGOLD,Tata Gold Exchange Traded Fund,1.06,"3,27,35,203",14.30,GOLD,2026-04-06
GOLDCASE,Zerodha Gold ETF,0.70,"1,99,05,717",23.15,GOLD,2026-04-06
SILVERIETF,Domestic Price of Silver,1.49,"14,57,125",228.92,SILVER,2026-04-06
BANKBEES,Nifty Bank,0.17,"5,81,943",533.33,NIFTY_BANK,2026-04-06
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,0.01,"2,75,017","1,120.81",LIQUID,2026-04-06
HDFCSILVER,HDFC Silver ETF,1.76,"12,46,416",219.69,SILVER,2026-04-06
SETFGOLD,Gold,1.05,"21,38,619",125.62,GOLD,2026-04-06
CASHIETF,BSE Liquid Rate Index,0.01,"2,43,667","1,056.64",LIQUID,2026-04-06
LIQUIDIETF,S&P BSE Liquid Rate Index,-,"2,46,904",999.99,LIQUID,2026-04-06
SILVER,Physical price of Silver,1.43,"10,19,771",228.56,SILVER,2026-04-06
ICICIB22,S&P BSE BHARAT 22 index,-0.09,"17,47,651",115.72,,2026-04-06
ITBEES,Nifty IT TRI,0.86,"55,93,315",33.82,IT,2026-04-06
HDFCGOLD,Gold,0.87,"14,91,678",125.72,GOLD,2026-04-06
PSUBNKBEES,Nifty PSU Bank,0.88,"18,71,219",91.40,NIFTY_PSU_BANK,2026-04-06
MON100,Nasdaq100,1.65,"6,73,220",243.42,NASDAQ,2026-04-06
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,0.03,"10,62,088",148.50,SMALLCAP,2026-04-06
NIFTYIETF,Nifty 50,-0.33,"5,99,140",255.34,NIFTY_50,2026-04-06
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,0.01,"1,23,290","1,098.65",LIQUID,2026-04-06
MODEFENCE,Nifty India Defence Total Return Index,0.60,"13,32,406",84.18,DEFENCE,2026-04-06
GOLD1,Gold,1.19,"8,74,064",122.90,GOLD,2026-04-06
SETFNIF50,Nifty 50,-0.38,"4,20,441",242.55,NIFTY_50,2026-04-06
SBISILVER,SBI SILVER ETF,1.51,"4,34,897",224.75,SILVER,2026-04-06
AXISGOLD,Gold,1.47,"7,85,045",122.56,GOLD,2026-04-06
MID150BEES,Nifty Midcap 150 TRI,0.28,"4,68,373",205.49,NIFTY_MIDCAP,2026-04-06
SILVERCASE,Commodity-Silver,1.43,"36,32,634",23.33,SILVER,2026-04-06
SILVERAG,Mirae Asset Silver ETF,1.50,"3,02,108",222.90,SILVER,2026-04-06
METALIETF,Nifty Metal Index,0.26,"56,99,308",11.57,METAL,2026-04-06
CPSEETF,CPSE ETF,-0.11,"6,40,459",100.71,PSU,2026-04-06
LTGILTBEES,NIFTY 8-13 yr G-Sec Index,0.03,"22,32,498",28.78,GSEC,2026-04-06
PHARMABEES,Nifty Pharma TRI,-0.85,"26,40,329",22.22,HEALTHCARE,2026-04-06
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),1.56,"2,63,009",221.50,SILVER,2026-04-06
NIFTY1,Nifty 50,-0.29,"1,97,660",249.98,NIFTY_50,2026-04-06
MAFANG,NYSE FANG+ Total Return Index,1.48,"2,97,789",156.81,,2026-04-06
GOLDETF,Mirae Asset Gold ETF,1.05,"3,19,883",143.06,GOLD,2026-04-06
NIFTYETF,Nifty 50,-0.30,"1,85,644",244.74,NIFTY_50,2026-04-06
SILVER1,Kotak Silver ETF,1.83,"19,32,908",22.25,SILVER,2026-04-06
LIQUIDETF,Nifty1D rate index,-,"42,193","1,000.00",LIQUID,2026-04-06
HNGSNGBEES,Hang Seng Index,-0.40,"82,879",476.87,,2026-04-06
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,0.45,"18,53,405",20.29,NIFTY_MIDCAP,2026-04-06
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,0.36,"9,27,233",39.18,SMALLCAP,2026-04-06
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF,0.02,"33,520","1,076.23",LIQUID,2026-04-06
ALPHA,NIFTY Alpha 50 Index,0.89,"7,99,968",43.99,ALPHA,2026-04-06
GROWWSLVR,Commodity-Silver,1.72,"14,79,755",22.53,SILVER,2026-04-06
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,-,"32,609","1,000.00",LIQUID,2026-04-06
NEXT50IETF,Nifty Next 50,0.35,"4,88,640",65.61,NIFTY_NEXT_50,2026-04-06
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,-0.14,"4,70,486",63.63,GSEC,2026-04-06
LOWVOLIETF,Nifty 100 Low Volatility 30 Index,-0.15,"14,38,655",20.28,LOW_VOLATILITY,2026-04-06
NIFTYBETA,Nifty 50,-0.18,"1,09,739",249.52,NIFTY_50,2026-04-06
FMCGIETF,Nifty FMCG Index,-0.32,"5,53,839",49.36,FMCG,2026-04-06
AXISILVER,Axis Silver ETF,1.49,"1,16,462",228.12,SILVER,2026-04-06
LIQUIDPLUS,Nifty 1D Rate Index,0.01,"23,939","1,079.78",LIQUID,2026-04-06
GROWWGOLD,Commodity,1.19,"17,97,836",14.40,GOLD,2026-04-06
AUTOBEES,Nifty Auto TRI,0.04,"85,816",248.39,AUTO,2026-04-06
GOLDBETA,Gold,0.69,"1,67,554",123.85,GOLD,2026-04-06
MOM100,Nifty Midcap 100,0.33,"3,53,473",58.12,NIFTY_MIDCAP,2026-04-06
MOREALTY,Motilal Oswal Nifty Realty ETF,0.73,"2,89,219",67.61,REALTY,2026-04-06
SILVER360,Commodity-Silver,1.37,"86,737",225.17,SILVER,2026-04-06
HDFCNIFTY,Nifty 50,-0.03,"75,366",253.83,NIFTY_50,2026-04-06
PSUBANK,Nifty PSU Bank,0.71,"22,802",819.02,NIFTY_PSU_BANK,2026-04-06
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index,-0.36,"7,27,391",24.81,ALPHA,2026-04-06
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,0.58,"3,73,386",46.75,MOMENTUM,2026-04-06
LIQGRWBEES,Liquid,0.01,"16,392","1,034.42",LIQUID,2026-04-06
MIDCAPIETF,Nifty Midcap 150,0.29,"7,98,406",20.55,NIFTY_MIDCAP,2026-04-06
METAL,Nifty Metal Total Return Index,0.35,"13,09,152",11.58,METAL,2026-04-06
GROWWDEFNC,Nifty India Defence Index- Total Return Index,0.81,"1,96,382",76.79,DEFENCE,2026-04-06
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,0.47,"7,16,136",19.36,QUALITY,2026-04-06
SETFNIFBK,Nifty Bank,0.06,"25,566",529.26,NIFTY_BANK,2026-04-06
SILVERADD,DSP Silver ETF,1.88,"60,601",221.26,SILVER,2026-04-06
MAHKTECH,Hang Seng TECH Total Return Index,2.30,"5,78,742",23.10,IT,2026-04-06
GROWWLIQID,Nifty 1D Rate Index,0.02,"1,21,791",108.54,LIQUID,2026-04-06
HEALTHIETF,Nifty Healthcare Index,-1.56,"91,429",141.67,HEALTHCARE,2026-04-06
BANKIETF,Nifty Bank,0.06,"2,44,448",52.89,NIFTY_BANK,2026-04-06
PVTBANIETF,Nifty Private Bank Index,-,"5,01,817",24.87,NIFTY_BANK,2026-04-06
SML100CASE,Nifty Smallcap 100 Index,0.45,"13,90,461",8.90,SMALLCAP,2026-04-06
OILIETF,Nifty Oil & Gas Index,-1.64,"11,24,962",10.81,ENERGY,2026-04-06
SETFNN50,Nifty Next 50,0.49,"18,211",665.99,NIFTY_50,2026-04-06
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,0.57,"4,25,008",28.28,MOMENTUM,2026-04-06
MID150CASE,Zerodha Nifty Midcap 150 ETF,0.30,"11,89,411",9.96,NIFTY_MIDCAP,2026-04-06
ITIETF,Nifty IT Index,0.69,"3,47,894",33.78,IT,2026-04-06
GOLDADD,DSP Gold ETF,0.98,"81,365",142.93,GOLD,2026-04-06
MONQ50,Nasdaq Q-50 Total Return Index,1.22,"1,03,521",110.65,NASDAQ,2026-04-06
BFSI,Nifty Financial Services Index,0.32,"4,53,546",24.93,FINANCIAL_SERVICES,2026-04-06
SENSEXIETF,SENSEX,-0.42,"13,311",835.56,SENSEX,2026-04-06
MOCAPITAL,Nifty Capital Market Total Return Index,1.30,"2,40,064",45.10,IT,2026-04-06
NIF100BEES,Nifty 100 TRI,-0.27,"43,667",245.31,NIFTY_100,2026-04-06
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,0.60,"3,69,057",28.37,FINANCIAL_SERVICES,2026-04-06
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,0.14,"6,75,870",14.83,SMALLCAP,2026-04-06
HDFCMID150,HDFC NIFTY Midcap 150 ETF,0.30,"4,94,899",20.09,NIFTY_MIDCAP,2026-04-06
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,0.52,"2,21,240",44.41,SMALLCAP,2026-04-06
MONIFTY500,Motilal Oswal Nifty 500 ETF,0.33,"4,38,837",21.38,NIFTY_50,2026-04-06
BSLGOLDETF,Gold,0.97,"68,806",129.30,GOLD,2026-04-06
BANKBETA,Nifty Bank,0.24,"1,54,695",53.29,NIFTY_BANK,2026-04-06
BSLNIFTY,Nifty 50,-0.08,"3,10,734",26.36,NIFTY_50,2026-04-06
NEXT50,Nifty Next 50,0.63,"12,745",641.57,NIFTY_NEXT_50,2026-04-06
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,0.67,"95,320",82.98,NIFTY_PSU_BANK,2026-04-06
BANKNIFTY1,Nifty Bank,0.13,"1,40,730",53.43,NIFTY_BANK,2026-04-06
MOSILVER,Domestic Price of Physical Silver,-0.52,"33,014",227.40,SILVER,2026-04-06
ABSLBANETF,Nifty Bank,0.34,"1,37,901",52.79,NIFTY_BANK,2026-04-06
SBILIQETF,Nifty 1D Rate Index,0.01,"6,868","1,033.66",LIQUID,2026-04-06
ITETF,Mirae Asset Nifty IT ETF,0.94,"2,18,722",32.26,IT,2026-04-06
EBBETF0430,Nifty BHARAT Bond,0.19,"4,438","1,552.78",,2026-04-06
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,0.01,"6,515","1,055.16",LIQUID,2026-04-06
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,1.20,"2,97,481",22.76,ALPHA,2026-04-06
CONSUMBEES,Nifty India Consumption TRI,-0.09,"55,949",117.28,FMCG,2026-04-06
BANKADD,DSP Nifty Bank ETF,0.23,"1,23,785",52.71,NIFTY_BANK,2026-04-06
AUTOIETF,Nifty Auto Index,0.04,"2,44,085",24.88,AUTO,2026-04-06
INTERNET,Equity Index,0.36,"5,37,790",11.16,,2026-04-06
LICMFGOLD,Gold,1.69,"44,448",132.65,GOLD,2026-04-06
IT,NIFTY IT Index,0.51,"1,72,368",33.78,IT,2026-04-06
AONELIQUID,Nifty 1D Rate Index,0.01,"5,439","1,054.08",LIQUID,2026-04-06
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,0.55,"52,095",108.20,VALUE,2026-04-06
AXISNIFTY,Nifty 50,-0.57,"22,035",249.51,NIFTY_50,2026-04-06
INFRABEES,Nifty Infra,-1.16,"6,080",882.56,INFRASTRUCTURE,2026-04-06
AONEGOLD,Domestic price of Gold,0.51,"3,83,216",13.77,GOLD,2026-04-06
EVIETF,Nifty EV & New Age Automotive ETF,-0.51,"1,88,797",27.08,AUTO,2026-04-06
MOENERGY,Nifty Energy Index,-0.06,"1,40,452",35.34,ENERGY,2026-04-06
MOGOLD,Domestic Price of Physical Gold,-0.41,"33,794",145.50,GOLD,2026-04-06
NEXT50BETA,Nifty Next 50,0.37,"71,057",67.12,NIFTY_NEXT_50,2026-04-06
ENERGY,Nifty Energy,-0.42,"1,34,168",35.34,ENERGY,2026-04-06
GROWWRAIL,Nifty India Railways PSU Index,-0.34,"1,61,387",28.92,PSU,2026-04-06
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,-0.25,"72,634",63.54,NIFTY_NEXT_50,2026-04-06
BANKPSU,Nifty PSU Bank Total Return Index,0.61,"55,352",82.26,PSU,2026-04-06
GROWWPOWER,BSE Power Index - TRI,0.39,"4,24,970",10.21,,2026-04-06
SILVERBND,Commodity - Silver,1.40,"18,702",229.65,SILVER,2026-04-06
TOP100CASE,Zerodha Nifty 100 ETF,-0.10,"4,41,215",9.73,NIFTY_100,2026-04-06
PVTBANKADD,DSP Nifty Private Bank ETF,-2.76,"1,67,329",24.98,NIFTY_PRIVATE_BANK,2026-04-06
EQUAL50ADD,NIFTY 50 Equal Weight Index,-0.02,"12,985",311.99,QUALITY,2026-04-06
QGOLDHALF,Gold,0.84,"32,454",121.90,GOLD,2026-04-06
LTGILTCASE,Nifty 8-13 Yr G-Sec Index,-0.20,"1,33,240",29.30,GSEC,2026-04-06
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,-1.17,"41,758",87.87,INFRASTRUCTURE,2026-04-06
HDFCSENSEX,SENSEX,-0.18,"44,559",82.50,SENSEX,2026-04-06
EGOLD,Edelweiss Gold ETF,0.17,"24,681",147.15,GOLD,2026-04-06
MASPTOP50,S&P 500 Top 50 Total Return Index,0.62,"51,750",69.94,,2026-04-06
NIFTYCASE,Nifty Index 50 Index,-0.11,"3,91,801",9.03,,2026-04-06
BSE500IETF,S&P BSE 500 index,0.37,"99,676",35.41,,2026-04-06
LICNETFN50,Nifty 50,-0.30,"13,321",252.94,NIFTY_50,2026-04-06
EBBETF0433,BHARAT Bond ETF-April 2033,0.26,"2,633","1,259.77",,2026-04-06
HDFCNIFBAN,Nifty Bank,0.15,"58,574",53.00,NIFTY_BANK,2026-04-06
HEALTHY,Nifty Healthcare TRI,-0.70,"2,18,498",14.21,HEALTHCARE,2026-04-06
MOMIDMTM,Nifty Midcap 150 Momentum 50 Total Return Index,0.66,"54,267",56.62,NIFTY_MIDCAP,2026-04-06
TECH,Nifty IT TRI Index,1.07,"89,634",33.18,IT,2026-04-06
SENSEXBETA,SENSEX,0.05,"3,621",805.59,SENSEX,2026-04-06
SMALL250,Nifty Smallcap 250,0.07,"1,92,804",14.77,SMALLCAP,2026-04-06
ESILVER,Edelweiss Silver ETF,1.17,"12,358",229.27,SILVER,2026-04-06
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,0.44,"1,04,821",25.09,NIFTY_PRIVATE_BANK,2026-04-06
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,0.93,"46,435",56.20,MOMENTUM,2026-04-06
SBIBPB,BSE PSU Bank Index TRI,0.96,"54,397",47.36,NIFTY_BANK,2026-04-06
BANKETF,Mirae Asset Nifty Bank ETF,-0.04,"4,917",523.57,NIFTY_BANK,2026-04-06
GROWWMETAL,Nifty Metal Index,0.18,"2,33,912",10.91,METAL,2026-04-06
NV20IETF,Nifty50 Value 20,-0.15,"1,73,694",13.54,NIFTY_50,2026-04-06
MIDCAP,Nifty Midcap 50 Index,0.58,"1,48,694",15.65,NIFTY_MIDCAP,2026-04-06
GROWWNIFTY,Nifty 50 Index - TRI,-,"2,53,177",9.11,NIFTY_50,2026-04-06
VAL30IETF,Nifty200 Value 30 Index,-,"1,56,083",14.61,VALUE,2026-04-06
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,0.30,"1,66,316",13.35,,2026-04-06
EVINDIA,Nifty EV and New Age Automotive Total Return Index,0.04,"80,330",27.10,AUTO,2026-04-06
TOP10ADD,Nifty Top 10 Equal Weight Index,-0.70,"25,172",84.76,,2026-04-06
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI,0.25,"27,547",76.10,DIVIDEND,2026-04-06
DEFENCE,BSE India Defence,0.56,"33,296",62.71,DEFENCE,2026-04-06
HDFCNIF100,HDFC NIFTY 100 ETF,-0.91,"82,552",23.99,NIFTY_100,2026-04-06
ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF,-,"1,938","1,000.01",LIQUID,2026-04-06
BBETF0432,Nifty BHARAT Bond Index - April 2032,0.61,"1,471","1,305.75",,2026-04-06
MONIFTY100,Nifty 100 Total Return Index,0.13,"80,992",23.35,NIFTY_100,2026-04-06
GROWWEV,Nifty EV and New Age Automotive Index,-0.26,"67,490",27.07,AUTO,2026-04-06
SBIETFIT,Nifty IT Index,0.88,"5,354",337.99,IT,2026-04-06
TNIDETF,Nifty India Digital Index,-0.98,"22,558",78.48,DIGITAL,2026-04-06
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,0.57,"62,687",28.02,MOMENTUM,2026-04-06
HEALTHCARE,Nifty 500 Healthcare Index,-0.68,"99,429",17.52,HEALTHCARE,2026-04-06
NEXT50ADD,Nifty Next 50 TRI,0.76,"26,970",62.40,NIFTY_NEXT_50,2026-04-06
SBINEQWETF,Nifty50 Equal Weight,0.03,"55,048",30.44,NIFTY_50,2026-04-06
CHEMICAL,Nifty Chemicals Index (TRI),-0.86,"65,012",25.49,,2026-04-06
NIF100IETF,Nifty 100,-0.27,"62,711",25.91,NIFTY_100,2026-04-06
AONENIFTY,Nifty 50 Index,-0.11,"1,71,899",9.30,NIFTY_50,2026-04-06
GOLD360,Commodity-Gold,1.66,"10,545",144.00,GOLD,2026-04-06
MIDSELIETF,S&P BSE Midcap Select Index,0.57,"94,651",15.94,NIFTY_MIDCAP,2026-04-06
NEXT50ETF,Nifty Next 50 Index,0.32,"23,997",62.69,NIFTY_NEXT_50,2026-04-06
AONESILVER,Domestic price of Silver,1.62,"1,69,190",8.80,SILVER,2026-04-06
SHARIABEES,Shariah,-0.03,"3,163",451.08,,2026-04-06
COMMOIETF,ICICI Prudential Nifty Commodities ETF,-0.35,"15,234",93.72,COMMODITIES,2026-04-06
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,0.25,"11,408",125.01,VALUE,2026-04-06
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,0.29,"49,733",28.12,MOMENTUM,2026-04-06
HDFCNIFIT,HDFC NIFTY IT ETF,0.78,"42,124",32.50,IT,2026-04-06
SENSEXETF,Mirae Asset S&P BSE Sensex ETF,-0.31,"18,101",74.98,SENSEX,2026-04-06
GOLDBND,Commodity - Gold,-1.16,"9,013",147.38,GOLD,2026-04-06
NIFTYADD,Nifty 50 Index,-0.41,"5,458",237.12,NIFTY_50,2026-04-06
MNC,Kotak Nifty MNC ETF,-1.25,"43,974",29.13,MNC,2026-04-06
GROWWSC250,Nifty Smallcap 250 Index - TRI,-0.23,"1,50,805",8.53,SMALLCAP,2026-04-06
AXISVALUE,Nifty500 Value 50 TRI,0.19,"40,709",31.10,VALUE,2026-04-06
EBBETF0431,Nifty BHARAT Bond,0.23,888,"1,385.09",,2026-04-06
PSUBANKADD,DSP Nifty PSU Bank ETF,1.19,"14,679",82.58,NIFTY_PSU_BANK,2026-04-06
ITADD,DSP Nifty IT ETF,0.44,"35,919",32.23,IT,2026-04-06
SBIMIDMOM,Nifty Midcap 150 Momentum 50 Index,0.40,"20,673",55.80,NIFTY_MIDCAP,2026-04-06
MULTICAP,Nifty500 Multicap 50:25:25 Index,0.07,"75,547",14.63,MULTICAP,2026-04-06
NV20,Nifty50 Value 20,0.14,"75,290",13.89,NIFTY_50,2026-04-06
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,-0.60,"24,852",41.69,HEALTHCARE,2026-04-06
AONETOTAL,Nifty Total Market Index,0.28,"97,062",10.62,TOTAL_MARKET,2026-04-06
GROWWRLTY,Index,0.53,"1,32,448",7.59,,2026-04-06
CONSUMIETF,Nifty India Consumption Index,-0.08,"9,070",109.02,FMCG,2026-04-06
MSCIINDIA,MSCI India Index,-0.37,"34,497",27.28,,2026-04-06
MID150,Nifty Midcap 150 Index,-1.99,"43,852",20.21,NIFTY_MIDCAP,2026-04-06
MOINFRA,BSE India Infrastructure Total Return Index,-0.19,"15,512",56.70,INFRASTRUCTURE,2026-04-06
AXISTECETF,NIFTY IT Index,0.33,"2,504",334.28,IT,2026-04-06
MAKEINDIA,Nifty India Manufacturing Total Return Index,-0.47,"5,768",143.52,MANUFACTURING,2026-04-06
SBIETFPB,Nifty Private Bank Index,-1.49,"3,291",251.68,NIFTY_BANK,2026-04-06
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF,-1.98,"41,399",19.31,LOW_VOLATILITY,2026-04-06
GROWWNET,Index,-,"96,318",8.27,,2026-04-06
MIDCAPBETA,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),0.24,"3,959",199.81,NIFTY_MIDCAP,2026-04-06
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,1.03,"9,450",82.62,NIFTY_PSU_BANK,2026-04-06
NETF,Tata Nifty 50 Exchange Traded Fund,-0.43,"3,166",245.05,NIFTY_50,2026-04-06
GROWWHOSPI,BSE Hospitals Index,-0.45,"16,446",44.26,,2026-04-06
ELIQUID,Nifty 1D Rate Index (Debt Index),0.01,697,"1,025.40",LIQUID,2026-04-06
LIQUIDSBI,SBI NIFTY 1D Rate ETF,-,707,"1,000.01",LIQUID,2026-04-06
IVZINGOLD,Gold,1.26,55,"12,802.00",GOLD,2026-04-06
GROWWCAPM,Nifty Capital Markets Index,1.17,"70,259",9.48,,2026-04-06
NV20BEES,Nifty50 Value20 TRI,0.14,"4,652",138.90,NIFTY_50,2026-04-06
MIDQ50ADD,Nifty Midcap 150 Quality 50 Index,0.27,"2,804",219.13,NIFTY_MIDCAP,2026-04-06
MOTOUR,Nifty India Tourism Total Return Index,0.31,"9,101",68.09,,2026-04-06
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index,0.42,"63,984",9.47,NIFTY_50,2026-04-06
