SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
NIFTY100EW,Nifty 100 Equal Weight Index,20.41,"97,371",41.00,NIFTY_100,2026-02-22
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,5.94,"5,823",22.28,LOW_VOLATILITY,2026-02-22
ELM250,Nifty LargeMidcap 250 TRI,2.80,"4,58,656",16.87,NIFTY_MIDCAP,2026-02-22
MOENERGY,Nifty Energy Index,2.68,"3,63,129",36.80,ENERGY,2026-02-22
ITADD,DSP Nifty IT ETF,2.67,"44,635",35.00,IT,2026-02-22
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,2.65,"53,186",21.70,IT,2026-02-22
GROWWPOWER,BSE Power Index - TRI,2.55,"29,58,101",10.44,,2026-02-22
PSUBANKADD,DSP Nifty PSU Bank ETF,2.48,"1,41,751",97.38,NIFTY_PSU_BANK,2026-02-22
MOINFRA,BSE India Infrastructure Total Return Index,2.44,"14,365",60.87,INFRASTRUCTURE,2026-02-22
MOSILVER,Domestic Price of Physical Silver,2.39,"73,385",246.40,SILVER,2026-02-22
SBIETFCON,Nifty India Consumption Index,2.27,"11,327",123.00,FMCG,2026-02-22
HDFCNIF100,HDFC NIFTY 100 ETF,2.08,"27,154",27.45,NIFTY_100,2026-02-22
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,1.99,"59,698",97.90,NIFTY_PSU_BANK,2026-02-22
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,1.92,"13,172",59.00,QUALITY,2026-02-22
BANKPSU,Nifty PSU Bank Total Return Index,1.92,"49,772",97.00,PSU,2026-02-22
GROWWNET,Index,1.83,"1,58,178",9.45,,2026-02-22
CONS,Kotak Nifty India Consumption ETF,1.82,"1,952",122.30,FMCG,2026-02-22
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,1.80,"2,79,485",98.00,NIFTY_PSU_BANK,2026-02-22
NV20BEES,Nifty50 Value20 TRI,1.80,"5,337",155.39,NIFTY_50,2026-02-22
SILVER360,Commodity-Silver,1.80,"92,516",244.50,SILVER,2026-02-22
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,1.76,"49,160",71.60,NIFTY_NEXT_50,2026-02-22
