CATEGORY_SAFE,SYMBOL,UNDERLYING_ASSET,OPEN,HIGH,LOW,PREV._CLOSE,LTP,INDICATIVE_CLOSE,CHNG,%CHNG,VOLUME,"VALUE_
_(₹_CRORES)",NAV,52W_H,52W_L,30D__%CHNG,365_D___%CHNG,MATCHED_INDEX,CATEGORY,AVG_FALL,SEVERITY,FALL_RATIO,ALLOCATED_AMOUNT,QTY,FINAL_AMOUNT
GOLD,TATAGOLD,Gold,122.23,122.26,120.80,122.81,14.29,-,-1.07,-0.69,83200037,441.54,122.44,148.14,65.85,-6.91,62.39,GOLD,GOLD,-0.731856983,0.1887568475929948,1.1887568475929948,65.10054780743958,4,57.16
IT,NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,20.20,20.20,19.46,20.43,19.9,-,-0.53,-2.59,163576,0.32,19.75,23.03,18.30,-3.52,4.23,NIFTY 200,IT,-0.744124703,2.4805994070055752,3.4805994070055752,287.671928840669,14,278.59999999999997
SILVER,AONESILVER,Domestic price of Silver,8.95,8.95,8.75,8.91,8.81,-,-0.10,-1.12,858769,0.76,8.88,12.00,7.68,-10.73,-,SILVER,SILVER,-1.074104087,0.042729483627781846,1.0427294836277818,53.41835869022255,6,52.86
