sym,family,plateau,verdict,params,n,wr,avg,tr_avg,tr_net,va_avg,va_net,maxdd,yrs_pos,tr_avg_2x,va_net_2x
USDCHF,PULL,0.75,reject,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",406,0.29802955665024633,0.024707985574480833,0.0837179094461414,16.994735617566704,-0.03430193829717977,-6.963293474327493,-28.4402306500974,6/11,0.040250187510548055,-11.075196029775038
USDCHF,ORB,0.0,reject,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",2333,0.37291041577368195,-0.04054979093954538,-0.02840042044766627,-35.10291967331551,-0.05423859853112476,-59.49974258864386,-121.28627639060879,3/12,,
USDCHF,HANDOFF,0.0,reject,"{'k': 2.5, 'rr': 1.5, 'stop_atr': 1.5}",861,0.389082462253194,-0.09249940731743164,-0.05887566864176533,-26.3174238828691,-0.1288032990759409,-53.324565817439534,-92.56073316310466,4/12,,
USDCHF,AFADE,0.0,reject,"{'k': 1.5, 'stop_atr': 2.0}",1626,0.48523985239852396,-0.07208373230773371,-0.08193800012884121,-70.30280411054576,-0.06107466747634018,-46.90534462182926,-121.52446622129237,2/12,,
USDCHF,TSMOM,0.0,reject,"{'N': 20, 'trail': 3.0, 'sides': 'LS'}",84,0.2857142857142857,-0.14049483562848705,-0.3353746474105561,-18.445605607580585,0.22910480740647168,6.644039414787679,-20.027453936131824,4/11,,
USDJPY,TSMOM,1.0,PASS,"{'N': 20, 'trail': 3.0, 'sides': 'L'}",46,0.391304347826087,0.29504928518763995,0.3426933763292265,9.938107913547567,0.2137740708872866,3.634159205083872,-6.309274930618317,7/11,0.33220824300321755,3.538494163681601
USDJPY,PULL,1.0,PASS,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'LS'}",790,0.31518987341772153,0.11188007416395195,0.12880442364256994,64.14460297399984,0.08301594388877462,24.24065561552219,-38.71820783294996,9/12,0.10567313783558266,21.190583984720824
USDJPY,HANDOFF,0.3333333333333333,reject,"{'k': 2.0, 'rr': 2.5, 'stop_atr': 1.5}",864,0.3020833333333333,-0.07317587761361787,0.02540357501338921,14.022773407390844,-0.24758567841524576,-77.24673166555668,-86.82445540786827,5/12,-0.10105273438031694,-90.245463040853
USDJPY,IBX,0.0,reject,"{'rr': 2.0, 'sides': 'L'}",402,0.3656716417910448,0.004782479907728062,-0.009048388999345836,-2.280194027835151,0.028018339671612196,4.202750950741829,-23.88156801409406,4/12,,
USDJPY,ORB,0.0,reject,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",2426,0.35243198680956306,-0.02533269485921919,-0.01100386949066778,-17.08900931900706,-0.05082257549766174,-44.3681084094587,-118.16546648501843,5/12,,
USDJPY,AFADE,0.0,reject,"{'k': 2.5, 'stop_atr': 2.0}",1036,0.3918918918918919,-0.07810139477184694,-0.11756028081961034,-74.76833860127218,-0.015361765955903092,-6.144706382361237,-94.62271047196262,1/12,,
XAUUSD,TSMOM,1.0,PASS,"{'N': 55, 'trail': 3.0, 'sides': 'L'}",57,0.49122807017543857,0.9143768384509133,0.5786765325914196,27.19779703179672,2.4921682759905344,24.921682759905345,-3.0143880809445225,13/19,0.5687892809718015,24.844272388192632
XAUUSD,PULL,0.625,PASS,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",1315,0.32775665399239545,0.13234864098448834,0.08920724937219318,99.10925405250663,0.36730004334360555,74.92920884209553,-32.63455468803594,13/19,0.07230870008319722,71.89123157898783
XAUUSD,IBX,0.25,reject,"{'rr': 3.0, 'sides': 'L'}",1155,0.2935064935064935,0.0835471358722853,0.014868333535246692,15.046753537669652,0.5695817370267124,81.45018839481988,-66.11098412205342,11/19,-0.011910660832906126,76.07526306808042
XAUUSD,ORB,0.0,reject,"{'open_min': 480, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",4674,0.4349593495934959,-0.026995182593921627,-0.031222235568684847,-124.95138674587676,-0.0018215724674299349,-1.2240966981129162,-174.91005738078263,5/19,,
XAUUSD,AFADE,0.0,reject,"{'k': 2.0, 'stop_atr': 2.0}",3666,0.4249863611565739,-0.08673567798937387,-0.08440735481405841,-269.00623979240413,-0.1022270474251367,-48.966755716640485,-325.96079163488935,2/19,,
XAUUSD,HANDOFF,0.0,reject,"{'k': 2.0, 'rr': 1.5, 'stop_atr': 1.5}",2691,0.3756967670011148,-0.11150719777459789,-0.11347438701203878,-269.7286179276162,-0.0966154499484927,-30.337251283826706,-313.4699635459665,3/19,,
