sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x
XAUUSD,MR3,0,"{'sides': 'L', 'rr': 1.5}",112,15.894193460704283,0.1419124416134311,0.5267857142857143,87,2.2456755609130843,0.025812362769115912,25,13.6485178997912,0.545940715991648,-12.190772644369716,10/19,0.020155960952235104,13.583414301385886
XAUUSD,MR3,1,"{'sides': 'L', 'rr': 2.5}",111,18.966257532256705,0.17086718497528564,0.5225225225225225,86,1.9528323509548053,0.02270735291807913,25,17.013425181301905,0.6805370072520762,-12.927215678750018,12/19,0.01603893458089008,16.92768076158476
XAUUSD,MR3,2,"{'sides': 'LS', 'rr': 1.5}",219,15.739468422382943,0.07186971882366641,0.5114155251141552,185,1.006475544078195,0.005440408346368621,34,14.732992878304747,0.4333233199501396,-15.69586764600604,11/19,-0.00041557934527665336,14.648732045519404
XAUUSD,MR3,3,"{'sides': 'LS', 'rr': 2.5}",217,20.02248424195634,0.09226951263574351,0.5069124423963134,183,1.6561285695439656,0.009049882893682873,34,18.366355672412375,0.5401869315415404,-15.43936961918137,12/19,0.002357443157072336,18.259679353100783
XAUUSD,RNGX,0,"{'sides': 'L', 'rr': 2.0}",495,79.27355210286126,0.16014859010679042,0.42828282828282827,440,57.250578127898216,0.13011495029067777,55,22.022973974963037,0.4004177086356916,-20.17764472388582,14/19,0.10835263794681887,21.25219416330353
XAUUSD,RNGX,1,"{'sides': 'L', 'rr': 3.0}",458,114.3885104585408,0.2497565730535825,0.43013100436681223,407,88.20872458426106,0.21672905303258247,51,26.179785874279744,0.5133291347897989,-20.243946776272644,15/19,0.1985866763433382,26.878558534909804
XAUUSD,RNGX,2,"{'sides': 'LS', 'rr': 2.0}",845,65.49944812225857,0.07751413978965511,0.3952662721893491,739,53.5578281798244,0.07247338048690717,106,11.941619942434178,0.1126567919097564,-29.148513788119686,14/19,0.06077903833756194,10.978425084822716
XAUUSD,RNGX,3,"{'sides': 'LS', 'rr': 3.0}",768,74.54949749399228,0.09706965819530244,0.3776041666666667,673,50.35536863090327,0.07482224165067351,95,24.194128863089002,0.25467504066409474,-28.66642278725594,14/19,0.06096572920143398,24.695273996509716
XAUUSD,GAPF,0,{'g_atr': 0.3},61,-8.21861765090705,-0.13473143690011555,0.5409836065573771,44,-3.672165866116763,-0.08345831513901734,17,-4.546451784790286,-0.26743834028178154,-10.165455906940776,7/15,,
XAUUSD,GAPF,1,{'g_atr': 0.5},29,-3.7536867317625724,-0.1294374735090542,0.5517241379310345,20,0.3403423269414,0.01701711634707,9,-4.094029058703971,-0.4548921176337746,-6.771583835245478,5/11,,
