entry_ts,exit_ts,side,r,year
2008-01-08 04:00:00-05:00,2008-01-09 08:00:00-05:00,1,0.3313445454076131,2008
2008-01-10 19:00:00-05:00,2008-01-15 15:00:00-05:00,1,-0.37489720819761324,2008
2008-01-24 07:00:00-05:00,2008-02-01 10:00:00-05:00,1,2.048787546726284,2008
2008-02-08 04:00:00-05:00,2008-02-12 11:00:00-05:00,1,-0.7735017840238775,2008
2008-02-19 06:00:00-05:00,2008-02-20 08:00:00-05:00,1,0.014382286823878529,2008
2008-02-20 13:00:00-05:00,2008-02-25 09:00:00-05:00,1,0.23185535640920601,2008
2008-02-26 20:00:00-05:00,2008-03-04 11:00:00-05:00,1,2.241422069206961,2008
2008-03-13 04:00:00-04:00,2008-03-17 08:00:00-04:00,1,3.1142109366299073,2008
2008-03-26 06:00:00-04:00,2008-03-28 09:00:00-04:00,1,-0.9167588428197624,2008
2008-04-07 10:00:00-04:00,2008-04-08 08:00:00-04:00,1,-1.017108207178901,2008
2008-04-09 13:00:00-04:00,2008-04-10 11:00:00-04:00,1,-1.0155218304422235,2008
2008-04-16 09:00:00-04:00,2008-04-17 13:00:00-04:00,1,-1.0189621285071695,2008
2008-05-08 12:00:00-04:00,2008-05-09 10:00:00-04:00,1,-1.0177407809646046,2008
2008-05-16 08:00:00-04:00,2008-05-22 10:00:00-04:00,1,3.791332272735284,2008
2008-06-06 16:00:00-04:00,2008-06-09 10:00:00-04:00,1,-1.016879098685485,2008
2008-06-19 09:00:00-04:00,2008-06-23 08:00:00-04:00,1,-1.01537194766587,2008
2008-06-26 11:00:00-04:00,2008-07-03 08:00:00-04:00,1,2.154291663001078,2008
2008-07-10 10:00:00-04:00,2008-07-16 10:00:00-04:00,1,4.202355938357471,2008
2008-08-21 03:00:00-04:00,2008-08-24 20:00:00-04:00,1,-0.550025266415353,2008
2008-08-28 08:00:00-04:00,2008-08-28 11:00:00-04:00,1,-1.0162635199348327,2008
2008-09-17 10:00:00-04:00,2008-09-17 23:00:00-04:00,1,5.996310852843991,2008
