entry_ts,exit_ts,side,r,year
2008-01-01 20:00:00-05:00,2008-01-01 21:00:00-05:00,1,-1.0912148228052916,2008
2008-01-02 04:00:00-05:00,2008-01-02 08:00:00-05:00,1,2.93157723929035,2008
2008-01-02 09:00:00-05:00,2008-01-02 11:00:00-05:00,1,2.95151770657673,2008
2008-01-03 04:00:00-05:00,2008-01-03 08:00:00-05:00,1,-1.0283042087127738,2008
2008-01-08 03:00:00-05:00,2008-01-08 19:00:00-05:00,1,2.981302150740435,2008
2008-01-08 20:00:00-05:00,2008-01-09 03:00:00-05:00,1,-1.018445686275768,2008
2008-01-10 13:00:00-05:00,2008-01-16 03:00:00-05:00,1,-1.013226478720321,2008
2008-01-24 07:00:00-05:00,2008-01-28 11:00:00-05:00,1,2.9872966357072794,2008
2008-01-28 12:00:00-05:00,2008-01-29 09:00:00-05:00,1,-1.0153488868720302,2008
2008-01-30 15:00:00-05:00,2008-01-30 17:00:00-05:00,1,-1.0167947939059723,2008
2008-02-01 05:00:00-05:00,2008-02-01 10:00:00-05:00,1,-1.0163661928535241,2008
2008-02-08 16:00:00-05:00,2008-02-12 07:00:00-05:00,1,-1.0164158139959802,2008
2008-02-20 13:00:00-05:00,2008-02-21 11:00:00-05:00,1,2.9815440119145444,2008
2008-02-21 12:00:00-05:00,2008-02-21 13:00:00-05:00,1,-1.0155327321940861,2008
2008-02-26 11:00:00-05:00,2008-02-27 03:00:00-05:00,1,2.98412584478113,2008
2008-02-27 04:00:00-05:00,2008-02-27 08:00:00-05:00,1,-1.016498998582521,2008
2008-02-28 11:00:00-05:00,2008-03-03 09:00:00-05:00,1,2.9841422181037953,2008
2008-03-03 10:00:00-05:00,2008-03-03 12:00:00-05:00,1,-1.0162250627839389,2008
2008-03-05 12:00:00-05:00,2008-03-06 09:00:00-05:00,1,-1.014101224722022,2008
2008-03-11 07:00:00-04:00,2008-03-11 09:00:00-04:00,1,-1.0132734374278616,2008
2008-03-12 10:00:00-04:00,2008-03-14 10:00:00-04:00,1,2.984018188690993,2008
2008-03-14 11:00:00-04:00,2008-03-14 11:00:00-04:00,1,-1.0175397924508731,2008
2008-03-16 20:00:00-04:00,2008-03-17 08:00:00-04:00,1,-1.01589750395364,2008
2008-04-10 06:00:00-04:00,2008-04-10 08:00:00-04:00,1,-1.015996750573101,2008
2008-04-15 03:00:00-04:00,2008-04-15 22:00:00-04:00,1,-1.0159330093159613,2008
2008-04-16 07:00:00-04:00,2008-04-18 06:00:00-04:00,1,-1.0192731831254067,2008
2008-05-16 11:00:00-04:00,2008-05-16 13:00:00-04:00,1,-1.0174285731606034,2008
2008-05-19 04:00:00-04:00,2008-05-19 11:00:00-04:00,1,-1.0162506500260011,2008
2008-05-20 10:00:00-04:00,2008-05-21 14:00:00-04:00,1,2.9822538532285643,2008
2008-05-21 19:00:00-04:00,2008-05-22 03:00:00-04:00,1,-1.0183758908312295,2008
2008-05-23 10:00:00-04:00,2008-05-27 08:00:00-04:00,1,-1.0172416895056582,2008
2008-06-19 09:00:00-04:00,2008-06-23 08:00:00-04:00,1,-1.01537194766587,2008
2008-06-26 05:00:00-04:00,2008-06-26 08:00:00-04:00,1,2.981213693420546,2008
2008-06-26 09:00:00-04:00,2008-06-27 13:00:00-04:00,1,2.9829233958386547,2008
2008-06-27 14:00:00-04:00,2008-06-30 11:00:00-04:00,1,-1.0158529726391479,2008
2008-07-01 09:00:00-04:00,2008-07-06 22:00:00-04:00,1,-1.016978480145513,2008
2008-07-08 02:00:00-04:00,2008-07-08 06:00:00-04:00,1,-1.0200907051662813,2008
2008-07-09 10:00:00-04:00,2008-07-11 07:00:00-04:00,1,2.9859762254340056,2008
2008-07-11 08:00:00-04:00,2008-07-14 11:00:00-04:00,1,2.981151001783279,2008
2008-07-14 12:00:00-04:00,2008-07-16 11:00:00-04:00,1,-1.014477792325511,2008
2008-07-21 05:00:00-04:00,2008-07-21 09:00:00-04:00,1,-1.014317158678937,2008
2008-07-22 03:00:00-04:00,2008-07-22 10:00:00-04:00,1,-1.0183326531653318,2008
2008-08-28 08:00:00-04:00,2008-08-28 11:00:00-04:00,1,-1.0162635199348327,2008
2008-09-17 21:00:00-04:00,2008-09-17 21:00:00-04:00,1,-1.0084744263918692,2008
2008-09-18 13:00:00-04:00,2008-09-18 15:00:00-04:00,1,-1.0062292268825264,2008
2008-09-22 08:00:00-04:00,2008-09-26 07:00:00-04:00,1,-0.15318765082918834,2008
2008-09-26 10:00:00-04:00,2008-09-26 11:00:00-04:00,1,-1.0086595081399377,2008
2008-10-08 03:00:00-04:00,2008-10-09 02:00:00-04:00,1,-1.0071845363787437,2008
2008-11-19 10:00:00-05:00,2008-11-19 10:00:00-05:00,1,-1.0111371947440189,2008
2008-11-21 02:00:00-05:00,2008-11-21 10:00:00-05:00,1,2.988727037465446,2008
2008-11-21 11:00:00-05:00,2008-11-24 10:00:00-05:00,1,2.990403711677431,2008
2008-11-24 11:00:00-05:00,2008-11-24 19:00:00-05:00,1,-1.0085213463430827,2008
2008-12-11 05:00:00-05:00,2008-12-11 23:00:00-05:00,1,-1.0113382709038279,2008
2008-12-14 21:00:00-05:00,2008-12-17 09:00:00-05:00,1,2.9902041622940314,2008
2008-12-17 10:00:00-05:00,2008-12-18 09:00:00-05:00,1,-1.0112132109175722,2008
2008-12-24 12:00:00-05:00,2008-12-26 13:00:00-05:00,1,2.9833756411220147,2008
2008-12-26 14:00:00-05:00,2008-12-28 18:00:00-05:00,1,2.9739006499872906,2008
