entry_ts,exit_ts,side,r,year
2015-12-15 21:15:00-05:00,2015-12-16 02:00:00-05:00,-1,0.5732324718902843,2015
2015-12-17 18:45:00-05:00,2015-12-17 22:45:00-05:00,-1,1.6565604909407166,2015
2015-12-18 16:15:00-05:00,2015-12-18 16:30:00-05:00,-1,1.1518853405155784,2015
2015-12-21 18:45:00-05:00,2015-12-21 22:00:00-05:00,-1,0.48767605633786465,2015
2015-12-22 16:30:00-05:00,2015-12-22 21:15:00-05:00,-1,-0.5067792104215006,2015
2015-12-22 23:00:00-05:00,2015-12-23 00:30:00-05:00,-1,-1.0634711079516495,2015
2015-12-23 19:45:00-05:00,2015-12-24 00:30:00-05:00,-1,-0.24162371134028243,2015
2015-12-24 20:00:00-05:00,2015-12-24 20:15:00-05:00,-1,-1.0362171872283688,2015
2015-12-24 20:30:00-05:00,2015-12-25 01:15:00-05:00,-1,-0.35990515440630605,2015
2015-12-27 19:15:00-05:00,2015-12-27 20:00:00-05:00,1,-1.0403251822698254,2015
2015-12-27 20:15:00-05:00,2015-12-28 01:00:00-05:00,1,0.6206310838178217,2015
2015-12-28 18:30:00-05:00,2015-12-28 19:00:00-05:00,-1,-1.0585644677661143,2015
2015-12-28 19:15:00-05:00,2015-12-28 21:15:00-05:00,-1,-1.0583348889303685,2015
2015-12-29 14:30:00-05:00,2015-12-29 19:15:00-05:00,-1,-0.015242043653402898,2015
2015-12-29 22:00:00-05:00,2015-12-30 01:15:00-05:00,-1,-1.0593655015197494,2015
2015-12-30 16:30:00-05:00,2016-01-03 17:00:00-05:00,1,-1.0372467222884394,2015
2016-01-05 16:45:00-05:00,2016-01-05 17:00:00-05:00,-1,0.8891427670971296,2016
2016-01-05 20:45:00-05:00,2016-01-05 20:45:00-05:00,1,0.6261586590449981,2016
2016-01-05 21:15:00-05:00,2016-01-05 22:00:00-05:00,1,-1.0492824475634759,2016
2016-01-06 20:30:00-05:00,2016-01-06 20:45:00-05:00,-1,0.41978169856440195,2016
2016-01-07 22:00:00-05:00,2016-01-08 00:15:00-05:00,-1,0.8737252640525234,2016
2016-01-11 00:00:00-05:00,2016-01-11 02:15:00-05:00,-1,0.5602036040252515,2016
2016-01-14 18:45:00-05:00,2016-01-14 20:45:00-05:00,-1,0.6557679219600077,2016
2016-01-14 23:00:00-05:00,2016-01-15 01:30:00-05:00,1,-1.056807853117621,2016
2016-01-18 19:45:00-05:00,2016-01-18 21:00:00-05:00,-1,1.2185883968972089,2016
2016-01-24 20:45:00-05:00,2016-01-24 21:15:00-05:00,-1,-1.0358927238270268,2016
2016-01-24 21:30:00-05:00,2016-01-25 02:15:00-05:00,-1,0.6088257731351758,2016
2016-01-25 19:15:00-05:00,2016-01-26 00:00:00-05:00,1,0.3775812829525006,2016
2016-01-26 20:15:00-05:00,2016-01-26 21:45:00-05:00,1,1.018308683206149,2016
2016-01-28 22:45:00-05:00,2016-01-28 22:45:00-05:00,1,0.8990597151075788,2016
2016-01-28 23:00:00-05:00,2016-01-28 23:15:00-05:00,-1,1.3750537480292555,2016
2016-02-01 23:00:00-05:00,2016-02-01 23:45:00-05:00,1,-1.0418060200668904,2016
2016-02-02 00:00:00-05:00,2016-02-02 00:15:00-05:00,1,-1.0442008486562986,2016
2016-02-02 19:15:00-05:00,2016-02-02 20:45:00-05:00,1,0.8840956619657041,2016
2016-02-04 22:00:00-05:00,2016-02-04 22:45:00-05:00,1,0.5555008994826836,2016
2016-02-04 23:30:00-05:00,2016-02-05 02:15:00-05:00,1,-1.041186161449751,2016
2016-02-08 00:00:00-05:00,2016-02-08 01:00:00-05:00,-1,0.40597002067538074,2016
2016-02-15 18:45:00-05:00,2016-02-16 19:00:00-05:00,-1,0.6850796586906526,2016
2016-02-16 19:15:00-05:00,2016-02-17 00:00:00-05:00,1,-0.5178663904713314,2016
2016-02-17 21:15:00-05:00,2016-02-18 01:15:00-05:00,-1,0.6334642633378977,2016
2016-02-18 20:45:00-05:00,2016-02-18 23:45:00-05:00,1,0.48985282134836866,2016
2016-02-22 19:45:00-05:00,2016-02-22 20:00:00-05:00,1,0.5420235546037476,2016
2016-02-22 21:00:00-05:00,2016-02-22 21:30:00-05:00,1,-1.0346682937652532,2016
2016-02-22 21:45:00-05:00,2016-02-23 01:45:00-05:00,1,-1.035763332570383,2016
2016-02-24 19:00:00-05:00,2016-02-24 23:45:00-05:00,1,0.6782061746770434,2016
2016-02-25 20:45:00-05:00,2016-02-25 22:00:00-05:00,-1,-1.0319268492031075,2016
2016-02-25 22:15:00-05:00,2016-02-26 00:45:00-05:00,-1,2.073726240017819,2016
2016-02-29 00:00:00-05:00,2016-02-29 02:30:00-05:00,-1,-1.0367020964237499,2016
2016-03-01 23:45:00-05:00,2016-03-01 23:45:00-05:00,1,0.5147274325907257,2016
2016-03-07 20:45:00-05:00,2016-03-08 01:30:00-05:00,1,-0.8618253743995853,2016
2016-03-08 18:45:00-05:00,2016-03-08 20:30:00-05:00,1,-1.0339120998372222,2016
