variant,baseline,qual,sel,t1_mode,runner,max_attempts,n,wr,avg_r,med_r,net_r,pf,maxdd_r,loss_streak,t1_hit_rate,avg_rr_at_t1,t1_fallback_rate,n_long,net_long,n_short,net_short,tr_net,ho_net,tr_avg,ho_avg,r_p10,r_p25,r_p50,r_p75,r_p90,r_max,pct_r_ge2,pct_r_ge3,pct_r_ge5,att1_n,att1_net,att2_n,att2_net,att3_n,att3_net,tod_asia_n,tod_asia_net,tod_london_n,tod_london_net,tod_ny_n,tod_ny_net,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,avg_r_2x,net_r_2x,ho_net_2x,avg_r_3x,net_r_3x,verdict,failed
Qclose-Srecent-T1m15k2-Rchand-A1,0,close,recent,m15k2,chand,1,4205,0.1294,-0.1061,-1.0000,-445.9759,0.8785,-523.7072,48,0.0975,6.8709,0.0000,1951,-78.3638,2254,-367.6121,-338.3578,-107.6180,-0.0933,-0.1855,-1.0000,-1.0000,-1.0000,-1.0000,3.1836,27.5313,0.1170,0.1030,0.0668,4205,-445.9759,0,0.0000,0,0.0000,1812,-291.9633,1045,-145.0697,1348,-8.9429,-60.6800,-10.9500,2.7700,26.9000,14.1400,28.6500,12.1600,22.6900,-40.5700,-61.0500,-62.8800,-109.8300,33.9100,-52.7300,-48.3200,-32.5700,44.2000,-105.0100,-46.8100,-0.2829,-1189.5205,-168.2701,-0.3931,-1653.1380,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m15k2-Rchand-A3,0,close,recent,m15k2,chand,3,11532,0.1229,-0.1574,-1.0000,-1814.7876,0.8210,-1892.0071,76,0.0904,6.8645,0.0003,5263,-623.1299,6269,-1191.6577,-1601.6199,-213.1677,-0.1611,-0.1338,-1.0000,-1.0000,-1.0000,-1.0000,2.6734,45.5934,0.1083,0.0960,0.0631,4204,-448.2380,3816,-729.6069,3512,-636.9427,4556,-765.8914,3029,-682.3477,3947,-366.5485,-44.6000,-145.3000,-148.3900,-76.9500,-45.6000,101.0400,-46.7500,-49.9700,-106.2900,-164.4500,-142.4500,-229.1700,-60.8000,-105.1400,-133.2500,-203.5500,-65.1800,-136.5500,-11.4400,-0.3244,-3740.5364,-367.3132,-0.4279,-4933.6475,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr3-Rsess-A1,0,close,recent,rr3,sess,1,4139,0.2225,-0.1564,-1.0000,-647.2275,0.7992,-656.8702,28,0.2172,3.0000,0.0000,1919,-148.8673,2220,-498.3602,-532.4840,-114.7435,-0.1493,-0.2006,-1.0000,-1.0000,-1.0000,-1.0000,2.2378,17.3512,0.1870,0.0544,0.0169,4139,-647.2275,0,0.0000,0,0.0000,1808,-333.9198,1034,-194.9576,1297,-118.3501,-17.6100,-32.5400,-2.3500,-17.0400,12.3000,6.6700,-18.3000,-53.1700,-56.6200,-65.3200,-86.9100,-97.6700,-9.6900,-39.8300,-34.6500,-19.7600,-9.6100,-65.6600,-39.4800,-0.3131,-1295.4347,-163.6286,-0.4066,-1681.2805,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr3-Rsess-A3,0,close,recent,rr3,sess,3,11138,0.2183,-0.1763,-1.0000,-1963.3961,0.7749,-1975.1700,32,0.2136,3.0000,0.0000,5059,-656.8295,6079,-1306.5666,-1729.8195,-233.5766,-0.1802,-0.1517,-1.0000,-1.0000,-1.0000,-1.0000,2.2284,18.0775,0.1786,0.0531,0.0168,4045,-642.1464,3689,-647.7205,3404,-673.5293,4578,-919.1714,2987,-597.1056,3573,-447.1191,-26.7800,-190.1100,-103.6200,-46.3500,-12.1900,29.3900,-93.5700,-147.4100,-134.3400,-187.5200,-200.4700,-237.5000,-72.4700,-80.3800,-79.4900,-147.0100,-79.0600,-115.8200,-38.7000,-0.3328,-3691.2589,-387.0441,-0.4347,-4810.3288,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr3-Rnone-A1,0,close,recent,rr3,none,1,4208,0.2227,-0.1792,-1.0000,-754.1457,0.7698,-766.1094,28,0.2174,3.0000,0.0000,1953,-215.4538,2255,-538.6918,-633.9927,-120.1530,-0.1747,-0.2072,-1.0000,-1.0000,-1.0000,-1.0000,2.7747,2.9950,0.2184,0.0000,0.0000,4208,-754.1457,0,0.0000,0,0.0000,1812,-385.1670,1044,-208.8829,1352,-160.0958,-3.9700,-49.9600,8.9800,-15.9800,-16.6700,-8.5300,-34.1800,-50.7100,-73.5300,-62.6000,-101.1500,-90.9400,-24.2400,-37.2500,-50.0600,-23.2000,-3.3200,-67.6600,-49.1700,-0.3278,-1379.1809,-171.5753,-0.4200,-1767.2498,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr3-Rnone-A3,0,close,recent,rr3,none,3,11833,0.2196,-0.1923,-1.0000,-2275.1568,0.7541,-2303.2537,32,0.2146,3.0000,0.0000,5434,-835.1074,6399,-1440.0494,-2028.7387,-246.4180,-0.1988,-0.1514,-1.0000,-1.0000,-1.0000,-1.0000,2.7625,2.9950,0.2152,0.0000,0.0000,4208,-754.1457,3919,-764.2148,3706,-756.7963,4730,-1083.9669,3085,-654.5782,4018,-536.6116,-49.1800,-188.8000,-79.7200,-49.1500,-70.4600,2.5900,-128.8200,-142.9900,-166.5200,-203.9200,-236.6600,-261.1000,-109.7300,-104.3800,-99.1700,-140.7400,-107.9500,-100.1500,-38.3200,-0.3470,-4089.8285,-417.9871,-0.4463,-5231.4719,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr3-Rchand-A1,0,close,recent,rr3,chand,1,4206,0.2223,-0.1805,-1.0000,-759.3123,0.7682,-769.2479,28,0.2168,3.0000,0.0000,1952,-219.9491,2254,-539.3632,-641.4651,-117.8472,-0.1769,-0.2032,-1.0000,-1.0000,-1.0000,-1.0000,2.6696,8.5628,0.2068,0.0537,0.0019,4206,-759.3123,0,0.0000,0,0.0000,1812,-408.4605,1044,-206.8757,1350,-143.9761,-9.9600,-46.0900,1.8300,-12.2700,-13.6900,-2.1400,-26.5200,-46.3500,-75.1200,-68.7800,-95.3800,-94.7600,-29.0400,-44.8400,-52.5900,-25.7600,-3.8000,-67.6500,-46.3900,-0.3311,-1392.6768,-170.3246,-0.4224,-1776.7802,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr3-Rchand-A3,0,close,recent,rr3,chand,3,11765,0.2222,-0.1847,-1.0000,-2172.5301,0.7630,-2214.1275,32,0.2167,3.0000,0.0000,5398,-749.3854,6367,-1423.1447,-1908.7825,-263.7476,-0.1881,-0.1629,-1.0000,-1.0000,-1.0000,-1.0000,2.6382,9.3960,0.2038,0.0511,0.0026,4205,-760.1787,3903,-729.5906,3657,-682.7608,4684,-1057.1161,3073,-612.8565,4008,-502.5575,-14.5000,-185.4900,-97.3200,-25.4500,-54.6600,21.9800,-115.2700,-145.1900,-149.1800,-220.0600,-217.4000,-260.1000,-105.8900,-102.8500,-96.0400,-141.3700,-97.6300,-125.1400,-40.9700,-0.3433,-4026.6895,-440.6592,-0.4453,-5204.2887,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr5-Rsess-A1,0,close,recent,rr5,sess,1,4134,0.1575,-0.1232,-1.0000,-509.1226,0.8541,-529.5409,32,0.1405,5.0000,0.0000,1918,-78.7319,2216,-430.3907,-412.0358,-97.0868,-0.1156,-0.1700,-1.0000,-1.0000,-1.0000,-1.0000,3.7464,18.9512,0.1490,0.1439,0.0433,4134,-509.1226,0,0.0000,0,0.0000,1808,-284.2113,1034,-174.0392,1292,-50.8721,-11.9100,-19.1200,-24.9500,19.7700,-1.7300,15.4900,-0.9900,-18.1200,-36.0200,-82.5400,-66.3300,-100.9700,23.9800,-50.6800,-23.1800,-34.7300,3.5000,-61.0700,-39.5200,-0.2684,-1109.1796,-142.1639,-0.3792,-1567.2442,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr5-Rsess-A3,0,close,recent,rr5,sess,3,11032,0.1523,-0.1548,-1.0000,-1707.7827,0.8177,-1765.5537,43,0.1358,5.0000,0.0000,5000,-574.9175,6032,-1132.8652,-1485.6526,-222.1301,-0.1562,-0.1459,-1.0000,-1.0000,-1.0000,-1.0000,3.7100,24.1047,0.1438,0.1396,0.0423,4033,-489.4556,3654,-567.2562,3345,-651.0709,4538,-774.1156,2971,-625.0151,3523,-308.6520,25.0200,-162.8600,-137.3500,-11.8400,-55.9100,55.5200,-77.4900,-114.6600,-100.2100,-161.4300,-153.3600,-212.2000,-33.1600,-92.0700,-74.1000,-179.5600,-80.9500,-102.2300,-38.9400,-0.3092,-3405.3409,-373.7045,-0.4141,-4556.6352,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1rr5-Rnone-A1,0,close,recent,rr5,none,1,4208,0.1580,-0.1465,-1.0000,-616.2944,0.8264,-653.4552,32,0.1404,5.0000,0.0000,1953,-155.7781,2255,-460.5163,-512.1091,-104.1853,-0.1412,-0.1796,-1.0000,-1.0000,-1.0000,-1.0000,4.6667,4.9950,0.1492,0.1438,0.0000,4208,-616.2944,0,0.0000,0,0.0000,1812,-346.9160,1044,-199.1398,1352,-70.2386,6.7700,-35.1200,-13.9500,17.3900,-39.1900,-0.7700,-12.9200,-4.9700,-51.2200,-81.8500,-74.3800,-91.4500,6.5800,-62.5700,-34.7100,-39.7400,7.0000,-61.7400,-49.4500,-0.2809,-1181.5752,-146.4690,-0.3882,-1632.9073,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
