cell,tf,window,floor,sl_mode,body,t1,run,att_scheme,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,tr_avg_2x,va_avg_2x,pass
M1-nyam-f0-sl1-b0.25-T1m15k2-Rsess-A2sl,1,nyam,0.0,1,0.25,1,0,A2sl,3456,-306.49953235346294,-0.08868620727820108,0.22251157407407407,2271,-207.32006375206137,-0.09129020860945018,1185,-99.17946860140162,-0.08369575409400981,-414.25074799602197,,,False
M5-all-f0-sl1-b0.25-T1rr3-Rchand-A2sl,5,all,0.0,1,0.25,2,2,A2sl,4348,-365.8241597859886,-0.08413619130312526,0.27069917203311866,2868,-261.95421564388965,-0.09133689527332275,1480,-103.86994414209903,-0.07018239469060746,-401.01347227969114,,,False
M5-nyam-f1-sl1-b0-T1rr5-Rsess-A3e,5,nyam,1.0,1,0.0,3,0,A3e,3495,-257.7159326648525,-0.07373846428178898,0.24177396280400573,2274,-207.8508385700804,-0.09140318318824996,1221,-49.86509409477216,-0.0408395529031713,-349.9376927441452,,,False
M1-ldnny-f0-sl1-b0.25-T1rr5-Rsess-A2sl,1,ldnny,0.0,1,0.25,3,0,A2sl,3794,-339.4812447269517,-0.08947845143040371,0.17738534528202424,2521,-230.43352489741534,-0.09140560289465106,1273,-109.0477198295363,-0.08566199515281721,-349.12305630257214,,,False
M1-nyam-f1-sl1-b0.25-T1rr3-Rsess-A2sl,1,nyam,1.0,1,0.25,2,0,A2sl,3361,-276.2630503744306,-0.08219668264636434,0.25141326986016066,2165,-198.37178696114532,-0.09162669143701863,1196,-77.89126341328522,-0.06512647442582375,-364.201806808382,,,False
M1-nyam-f1-sl1-b0.25-T1m15k2-Rchand-A2sl,1,nyam,1.0,1,0.25,1,2,A2sl,3540,-303.8680378464868,-0.08583842877019401,0.24689265536723165,2303,-211.03525904161933,-0.09163493662250079,1237,-92.83277880486744,-0.07504670881557594,-396.0095219552125,,,False
M1-nyam-f1-sl1-b0-T1rr5-Rsess-A3e,1,nyam,1.0,1,0.0,3,0,A3e,4241,-289.1757500410639,-0.06818574629593584,0.19382221174251354,2736,-251.72225737275488,-0.09200374903974959,1505,-37.45349266830897,-0.024886041640072402,-395.8656389054692,,,False
M15-ldnny-f1-sl1-b0-T1m15k2-Rsess-A2sl,15,ldnny,1.0,1,0.0,1,0,A2sl,2764,-255.7275821772693,-0.09252083291507573,0.35600578871201155,1840,-169.6501183155193,-0.09220115125843441,924,-86.07746386174996,-0.09315742842180731,-258.32236248791025,,,False
M15-nyam-f0-sl0-b0-T1rr5-Rchand-A3e,15,nyam,0.0,0,0.0,3,2,A3e,2653,-256.69106522731045,-0.0967550189322693,0.260836788541274,1751,-161.63515890546688,-0.09231019926068926,902,-95.05590632184358,-0.10538348816168912,-285.3082174349548,,,False
M5-nyam-f1-sl1-b0.25-T1rr3-Rsess-A2sl,5,nyam,1.0,1,0.25,2,0,A2sl,2775,-204.2845315546635,-0.07361604740708594,0.2843243243243243,1807,-166.8615592598029,-0.09234175941328329,968,-37.42297229486062,-0.038660095345930394,-263.26499057625153,,,False
M5-ldnny-f0-sl1-b0.25-T1m15k2-Rsess-A2sl,5,ldnny,0.0,1,0.25,1,0,A2sl,3408,-299.83598067237756,-0.0879800412771061,0.29313380281690143,2272,-210.25769139953346,-0.09254299797514677,1136,-89.5782892728441,-0.07885412788102474,-301.8585196426369,,,False
M15-nyam-f1-sl0-b0-T1rr5-Rchand-A2sl,15,nyam,1.0,0,0.0,3,2,A2sl,2273,-208.8364191298647,-0.0918769991772392,0.2595688517377915,1490,-137.93315125757724,-0.09257258473662902,783,-70.90326787228746,-0.09055334338734031,-229.74409643638484,,,False
M15-nyam-f1-sl0-b0.25-T1rr5-Rsess-A2sl,15,nyam,1.0,0,0.25,3,0,A2sl,2037,-208.96319152564914,-0.10258379554523767,0.27393225331369664,1334,-123.5242508977691,-0.09259688972846258,703,-85.43894062788004,-0.12153476618475113,-234.29199334034658,,,False
M5-all-f0-sl0-b0.25-T1rr5-Rsess-A3e,5,all,0.0,0,0.25,3,0,A3e,5346,-464.34866658376984,-0.08685908465839316,0.19304152637485972,3550,-328.7348912753339,-0.09260137782403771,1796,-135.61377530843595,-0.07550878357930732,-487.15497419876687,,,False
M5-all-f0-sl0-b0-T1rr5-Rsess-A3e,5,all,0.0,0,0.0,3,0,A3e,5442,-505.1499039599312,-0.09282431164276575,0.18816611539875047,3601,-334.22618698847776,-0.09281482560079915,1841,-170.92371697145347,-0.09284286636146305,-542.735391371454,,,False
M5-nyam-f1-sl1-b0.25-T1rr5-Rsess-A2sl,5,nyam,1.0,1,0.25,3,0,A2sl,2704,-223.4755313256026,-0.0826462763778116,0.2481508875739645,1770,-164.77476878273015,-0.09309308970775715,934,-58.70076254287245,-0.06284878216581632,-303.3469514554245,,,False
M15-ldnny-f0-sl1-b0.25-T1rr5-Rsess-A2sl,15,ldnny,0.0,1,0.25,3,0,A2sl,2386,-221.6968278834539,-0.09291568645576441,0.27242246437552387,1587,-147.92947522320193,-0.09321327991380084,799,-73.76735266025194,-0.09232459657102872,-222.60183605219893,,,False
M5-nyam-f0-sl1-b0.25-T1rr5-Rchand-A2sl,5,nyam,0.0,1,0.25,3,2,A2sl,2785,-237.2403026458142,-0.08518502788000511,0.2452423698384201,1826,-170.26235803946082,-0.09324335051449113,959,-66.97794460635336,-0.06984144380224543,-317.16889741969663,,,False
M15-ldnny-f1-sl1-b0-T1rr3-Rchand-A3e,15,ldnny,1.0,1,0.0,2,2,A3e,3150,-271.70081720329495,-0.08625422768358569,0.2895238095238095,2089,-194.8346399307353,-0.09326694108699632,1061,-76.86617727255963,-0.07244691543125319,-278.922916649203,,,False
M5-nyam-f0-sl1-b0.25-T1rr5-Rsess-A2sl,5,nyam,0.0,1,0.25,3,0,A2sl,2738,-236.8526972533981,-0.0865057331093492,0.24360847333820307,1799,-168.05354187388235,-0.09341497602772782,939,-68.79915537951572,-0.07326853608042143,-316.72411738322006,,,False
M5-ldnny-f1-sl1-b0.25-T1rr3-Rchand-A2sl,5,ldnny,1.0,1,0.25,2,2,A2sl,3370,-256.4844440654461,-0.07610814363959825,0.2679525222551929,2203,-205.8958337707072,-0.09346156775792429,1167,-50.588610294738885,-0.0433492804582167,-274.18573453637737,,,False
M5-ldnny-f1-sl0-b0.25-T1m15k2-Rsess-A3e,5,ldnny,1.0,0,0.25,1,0,A3e,4155,-371.24786832221537,-0.08934966746623715,0.2620938628158845,2688,-251.83496342377038,-0.09368860246420029,1467,-119.41290489844503,-0.08139938984215749,-370.2478683222154,,,False
M1-nyam-f1-sl1-b0-T1rr3-Rsess-A3e,1,nyam,1.0,1,0.0,2,0,A3e,4297,-346.2850828298024,-0.08058763854545087,0.24970909937165464,2771,-260.2881451903663,-0.09393292861435089,1526,-85.99693763943608,-0.05635448075978774,-422.7109123513552,,,False
M1-ldnny-f1-sl1-b0.25-T1rr3-Rsess-A2sl,1,ldnny,1.0,1,0.25,2,0,A2sl,3851,-373.35064413213786,-0.09694901171958917,0.242534406647624,2500,-235.28899422577143,-0.09411559769030857,1351,-138.06164990636648,-0.10219219090034529,-379.75904425827525,,,False
